"State","Sale Year","Vehicle","Propulsion","Sales"
"Alberta",2014,"Car","BEV",59.2718204488778
"Alberta",2014,"Car","PHEV",62.9020858689722
"Alberta",2014,"SUV","BEV",17.3884167133187
"Alberta",2014,"SUV","PHEV",16.6281949049398
"Alberta",2015,"Car","BEV",90.8329177057357
"Alberta",2015,"Car","PHEV",67.0140596801947
"Alberta",2015,"SUV","BEV",26.6474120820398
"Alberta",2015,"SUV","PHEV",17.7151970453687
"Alberta",2016,"Car","BEV",103.381546134663
"Alberta",2016,"Car","PHEV",157.25521467243
"Alberta",2016,"SUV","BEV",30.3287699119548
"Alberta",2016,"SUV","PHEV",41.5704872623494
"Alberta",2017,"Car","BEV",192.837905236908
"Alberta",2017,"Car","PHEV",261.72157636295
"Alberta",2017,"SUV","BEV",56.5723446485826
"Alberta",2017,"SUV","PHEV",69.1862173164897
"Alberta",2018,"Car","BEV",388.351550506601
"Alberta",2018,"Car","PHEV",420.220284157357
"Alberta",2018,"SUV","BEV",129.054037457783
"Alberta",2018,"SUV","PHEV",176.738137301252
"Alberta",2019,"Car","BEV",622.261968905679
"Alberta",2019,"Car","PHEV",306.74196738347
"Alberta",2019,"SUV","BEV",176.535135379197
"Alberta",2019,"SUV","PHEV",182.303035382063
"Alberta",2020,"Car","BEV",653.717779156809
"Alberta",2020,"Car","PHEV",182.107741223801
"Alberta",2020,"SUV","BEV",214.306034984292
"Alberta",2020,"SUV","PHEV",129.136642657842
"Alberta",2021,"Car","BEV",984.578279968315
"Alberta",2021,"Car","PHEV",387.238373305527
"Alberta",2021,"SUV","BEV",558.606888244421
"Alberta",2021,"SUV","PHEV",378.126882168926
"Alberta",2022,"Car","BEV",1584.5190770759
"Alberta",2022,"Car","PHEV",330.783063565943
"Alberta",2022,"SUV","BEV",1346.84121551452
"Alberta",2022,"SUV","PHEV",495.84794979569
"Alberta",2023,"Car","BEV",1978.57343203608
"Alberta",2023,"Car","PHEV",489.112669645813
"Alberta",2023,"SUV","BEV",2638.38921877956
"Alberta",2023,"SUV","PHEV",1087.60871813969
"Alberta",2024,"Car","BEV",2199.61401753012
"Alberta",2024,"Car","PHEV",614.57603210835
"Alberta",2024,"SUV","BEV",3821.78587336809
"Alberta",2024,"SUV","PHEV",2038.28602952713
"British Columbia",2014,"Car","BEV",681.928342409283
"British Columbia",2014,"Car","PHEV",263.105552524447
"British Columbia",2014,"SUV","BEV",159.822230138938
"British Columbia",2014,"SUV","PHEV",37.9122843832627
"British Columbia",2015,"Car","BEV",1045.04198686956
"British Columbia",2015,"Car","PHEV",280.305032106434
"British Columbia",2015,"SUV","BEV",244.924474527966
"British Columbia",2015,"SUV","PHEV",40.3906492634406
"British Columbia",2016,"Car","BEV",1189.41523741666
"British Columbia",2016,"Car","PHEV",657.763881311118
"British Columbia",2016,"SUV","BEV",278.760954755967
"British Columbia",2016,"SUV","PHEV",94.7807109581567
"British Columbia",2017,"Car","BEV",2218.61977708789
"British Columbia",2017,"Car","PHEV",1094.72363285349
"British Columbia",2017,"SUV","BEV",519.973637335233
"British Columbia",2017,"SUV","PHEV",157.744575481596
"British Columbia",2018,"Car","BEV",4563.87411728585
"British Columbia",2018,"Car","PHEV",2190.27141755207
"British Columbia",2018,"SUV","BEV",1082.98342032545
