"Province","ICE_Total","ICE_Car","ICE_Truck"
"Alberta",2970816,900881,2069935
"British Columbia",2927069,1138884,1788185
"Manitoba",769043,254439,514604
"New Brunswick",531878,216847,315031
"Newfoundland and Labrador",341501,117391,224110
"Northwest Territories",21622,3670,17952
"Nova Scotia",589493,262200,327293
"Nunavut",0,0,0
"Ontario",8540292,3594559,4945733
"Prince Edward Island",96959,42194,54765
"Quebec",5311890,2662348,2649542
"Saskatchewan",762970,210452,552518
"Yukon",32843,8715,24128
