"State","Year","Propulsion","Fraction"
"Alberta",2021,"BEV",0.0890310370579968
"Alberta",2021,"PHEV",0.0309544904235531
"Alberta",2022,"BEV",0.116307993075832
"Alberta",2022,"PHEV",0.028682619296118
"Alberta",2023,"BEV",0.134473805653468
"Alberta",2023,"PHEV",0.0355167208284428
"Alberta",2024,"BEV",0.165982876468299
"Alberta",2024,"PHEV",0.0290096963916706
"Alberta",2025,"BEV",0.18744120874145
"Alberta",2025,"PHEV",0.0325517556486254
"Alberta",2026,"BEV",0.297563569996471
"Alberta",2026,"PHEV",0.0524266922364013
"Alberta",2027,"BEV",0.357239298408975
"Alberta",2027,"PHEV",0.0727497784025284
"Alberta",2028,"BEV",0.435924556708746
"Alberta",2028,"PHEV",0.0740633393061713
"Alberta",2029,"BEV",0.498864183508438
"Alberta",2029,"PHEV",0.091122818094756
"Alberta",2030,"BEV",0.57750419845118
"Alberta",2030,"PHEV",0.102480376518155
"Alberta",2031,"BEV",0.637320065824968
"Alberta",2031,"PHEV",0.122661691205412
"Alberta",2032,"BEV",0.680976264622944
"Alberta",2032,"PHEV",0.139005139197108
"Alberta",2033,"BEV",0.729988176751075
"Alberta",2033,"PHEV",0.149990255564073
"Alberta",2034,"BEV",0.785960286329472
"Alberta",2034,"PHEV",0.154013535074328
"Alberta",2035,"BEV",0.843431627819833
"Alberta",2035,"PHEV",0.156536290338104
"Alberta",2036,"BEV",0.850152048536328
"Alberta",2036,"PHEV",0.14981219036315
"Alberta",2037,"BEV",0.856651965107472
"Alberta",2037,"PHEV",0.143309929670462
"Alberta",2038,"BEV",0.862703992816305
"Alberta",2038,"PHEV",0.137254349160717
"Alberta",2039,"BEV",0.868126808431982
"Alberta",2039,"PHEV",0.13182928109353
"Alberta",2040,"BEV",0.872944090217096
"Alberta",2040,"PHEV",0.127008568730487
"Alberta",2041,"BEV",0.877175766246993
"Alberta",2041,"PHEV",0.122774755235961
"Alberta",2042,"BEV",0.880966666966809
"Alberta",2042,"PHEV",0.118981763054776
"Alberta",2043,"BEV",0.884343374617646
"Alberta",2043,"PHEV",0.1156029830039
"Alberta",2044,"BEV",0.887445826322306
"Alberta",2044,"PHEV",0.112498502319438
"Alberta",2045,"BEV",0.89028971374495
"Alberta",2045,"PHEV",0.109652641338131
"Alberta",2046,"BEV",0.893786633729952
"Alberta",2046,"PHEV",0.106155041939955
"Alberta",2047,"BEV",0.896207598166467
