"State","Year","Propulsion","Fraction"
"Alberta",2021,"BEV",0.0890310370579968
"Alberta",2021,"PHEV",0.0309544904235531
"Alberta",2022,"BEV",0.116307993075832
"Alberta",2022,"PHEV",0.028682619296118
"Alberta",2023,"BEV",0.134473805653468
"Alberta",2023,"PHEV",0.0355167208284428
"Alberta",2024,"BEV",0.165982876468299
"Alberta",2024,"PHEV",0.0290096963916706
"Alberta",2025,"BEV",0.0917027586781245
"Alberta",2025,"PHEV",0.0182534485183124
"Alberta",2026,"BEV",0.120280067870594
"Alberta",2026,"PHEV",0.0241582261464459
"Alberta",2027,"BEV",0.158748044238814
"Alberta",2027,"PHEV",0.0352151169427675
"Alberta",2028,"BEV",0.197954977003811
"Alberta",2028,"PHEV",0.0369363803172861
"Alberta",2029,"BEV",0.236018162433674
"Alberta",2029,"PHEV",0.0477478176596069
"Alberta",2030,"BEV",0.274984195478569
"Alberta",2030,"PHEV",0.0535875276551706
"Alberta",2031,"BEV",0.317077688445899
"Alberta",2031,"PHEV",0.0662974664189993
"Alberta",2032,"BEV",0.355770402744163
"Alberta",2032,"PHEV",0.0782047152234856
"Alberta",2033,"BEV",0.416707160211519
"Alberta",2033,"PHEV",0.0861239232398301
"Alberta",2034,"BEV",0.449648413666214
"Alberta",2034,"PHEV",0.0887309071538417
"Alberta",2035,"BEV",0.477789683736389
"Alberta",2035,"PHEV",0.0893289103053558
"Alberta",2036,"BEV",0.502299998084222
"Alberta",2036,"PHEV",0.0891909668932252
"Alberta",2037,"BEV",0.523929183082014
"Alberta",2037,"PHEV",0.088319611832175
"Alberta",2038,"BEV",0.54264345490167
"Alberta",2038,"PHEV",0.0869730056351873
"Alberta",2039,"BEV",0.558564013949359
"Alberta",2039,"PHEV",0.0854061586110192
"Alberta",2040,"BEV",0.571932595972004
"Alberta",2040,"PHEV",0.0837355266469162
"Alberta",2041,"BEV",0.58343490185924
"Alberta",2041,"PHEV",0.0821257811430541
"Alberta",2042,"BEV",0.593731773950947
"Alberta",2042,"PHEV",0.0805991957516039
"Alberta",2043,"BEV",0.602848825939263
"Alberta",2043,"PHEV",0.0791837228988273
"Alberta",2044,"BEV",0.610669839145174
"Alberta",2044,"PHEV",0.0777963215547404
"Alberta",2045,"BEV",0.618004515540184
"Alberta",2045,"PHEV",0.0765011769227074
"Alberta",2046,"BEV",0.630496195018212
"Alberta",2046,"PHEV",0.0752291321149985
