Sale Year,Global Segment,Total Sales,BEV,FCEV,PHEV
2014,Car,55092,0.8620786780583982,0,0
2014,Car,0,0,0,0
2014,Car,46257,0,0,0.8343464223228296
2014,SUV,8814,0.13792132194160173,0,0
2014,SUV,100,0,1,0
2014,SUV,9184,0,0,0.16565357767717032
2015,Car,57523,0.8022621720757033,0,0
2015,Car,72,0,0.6545454545454545,0
2015,Car,31156,0,0,0.7073192880494007
2015,SUV,14178,0.19773782792429673,0,0
2015,SUV,38,0,0.34545454545454546,0
2015,SUV,12892,0,0,0.29268071195059936
2016,Car,55473,0.658355091383812,0,0
2016,Car,1042,0,0.9630314232902033,0
2016,Car,53072,0,0,0.7272527954395965
2016,SUV,28787,0.341644908616188,0,0
2016,SUV,40,0,0.036968576709796676,0
2016,SUV,19904,0,0,0.2727472045604034
2017,Car,52911,0.4958856607310216,0,0
2017,Car,2270,0,0.9878154917319408,0
2017,Car,69206,0,0,0.743207543117335
2017,SUV,53789,0.5041143392689784,0,0
2017,SUV,28,0,0.012184508268059183,0
2017,SUV,23912,0,0,0.256792456882665
2018,Car,186074,0.787091752782278,0,0
2018,Car,2324,0,0.981418918918919,0
2018,Car,94964,0,0,0.775235311885189
2018,SUV,50333,0.21290824721772197,0,0
2018,SUV,44,0,0.018581081081081082,0
2018,SUV,27533,0,0,0.22476468811481098
2019,Car,180070,0.7698918294924965,0,0
2019,Car,1822,0,0.8721876495931068,0
2019,Car,56945,0,0,0.6967112829422272
2019,SUV,53820,0.23010817050750354,0,0
2019,SUV,267,0,0.12781235040689326,0
2019,SUV,24789,0,0,0.30328871705777277
2020,Car,126999,0.49581288577083893,0,0
2020,Car,729,0,0.7780149413020278,0
2020,Car,34140,0,0,0.47617719259093955
2020,SUV,129144,0.5041871142291611,0,0
2020,SUV,208,0,0.22198505869797225,0
2020,SUV,37556,0,0,0.5238228074090605
2021,Car,191095,0.3958434316442743,0,0
2021,Car,2911,0,0.8712960191559413,0
2021,Car,43350,0,0,0.24307229929012797
2021,SUV,291659,0.6041565683557257,0,0
2021,SUV,430,0,0.12870398084405865,0
2021,SUV,134992,0,0,0.756927700709872
2022,Car,285791,0.3768217028710815,0,0
2022,Car,2299,0,0.8492796453638715,0
2022,Car,26371,0,0,0.13931975232983243
2022,SUV,472634,0.6231782971289185,0,0
2022,SUV,408,0,0.15072035463612857,0
2022,SUV,162913,0,0,0.8606802476701676
2023,Car,321460,0.28768672878728757,0,0
2023,Car,2737,0,0.9190732034922767,0
2023,Car,19702,0,0,0.06841827450653554
2023,SUV,795936,0.7123132712127124,0,0
2023,SUV,241,0,0.0809267965077233,0
2023,SUV,268262,0,0,0.9315817254934644
2024,Car,260803,0.2229737239432381,0,0
2024,Car,449,0,0.8134057971014492,0
2024,Car,23289,0,0,0.07208007452824057
2024,SUV,908855,0.7770262760567619,0,0
2024,SUV,103,0,0.18659420289855072,0
2024,SUV,299810,0,0,0.9279199254717594
2025,Car,18671,0.21171094556133846,0,0
2025,Car,17,0,0.68,0
2025,Car,2250,0,0,0.09727626459143969
2025,SUV,69520,0.7882890544386616,0,0
2025,SUV,8,0,0.32,0
2025,SUV,20880,0,0,0.9027237354085603
