Chemistry,Component Mass,Total Mass,Cell Mass,Pack Mass,...6,...7,...8
NMC 811,7794921,17096400,0.7,507,3540942,147700000,0.053841076506432
NMC 811,5287629,,,,2399278,,
NMC 811,765260,,,,212040,,
NMC 811,1806631,,,,500195,,
NMC 811,60521,,,,61596,,
NMC 811,42737,,,,45840,,
NMC 811,80413,,,,69787,,
NMC 811,1085691,,,,942924,,
NMC 811,172597,,,,179725,,
NMC 333,10129859,20610394,0.9,557,,,
NMC 333,5493979,,,,,,
NMC 333,985605,,,,,,
NMC 333,2314096,,,,,,
NMC 333,64067,,,,,,
NMC 333,58793,,,,,,
NMC 333,104104,,,,,,
NMC 333,1265839,,,,,,
NMC 333,194052,,,,,,
NMC 532,9227760,19316478,0.8,557,,,
NMC 532,5471583,,,,,,
NMC 532,900214,,,,,,
NMC 532,2117763,,,,,,
NMC 532,62801,,,,,,
NMC 532,52499,,,,,,
NMC 532,94947,,,,,,
NMC 532,1202267,,,,,,
NMC 532,186644,,,,,,
NMC 622,9069331,19111321,0.8,528,,,
NMC 622,5487650,,,,,,
NMC 622,885109,,,,,,
NMC 622,2083056,,,,,,
NMC 622,62617,,,,,,
NMC 622,51447,,,,,,
NMC 622,93333,,,,,,
NMC 622,1193198,,,,,,
NMC 622,185580,,,,,,
NMC 95,7781397,17509863,0.8,498,,,
NMC 95,5679081,,,,,,
NMC 95,761764,,,,,,
NMC 95,1799579,,,,,,
NMC 95,61227,,,,,,
NMC 95,43161,,,,,,
NMC 95,80191,,,,,,
NMC 95,1125831,,,,,,
NMC 95,177632,,,,,,
NCA,8752510,18710221,0.8,521,,,
NCA,5606038,,,,,,
NCA,834101,,,,,,
NCA,1965962,,,,,,
NCA,62132,,,,,,
NCA,49265,,,,,,
NCA,87904,,,,,,
NCA,1169521,,,,,,
NCA,182788,,,,,,
LFP,12078579,25370605,1.1,521,,,
LFP,5962255,,,,,,
LFP,1522620,,,,,,
LFP,3546076,,,,,,
LFP,72027,,,,,,
LFP,78814,,,,,,
LFP,162076,,,,,,
LFP,1704232,,,,,,
LFP,243926,,,,,,
LMO,13718986,25738162,1.1,656,,,
LMO,5133035,,,,,,
LMO,1440051,,,,,,
LMO,3355452,,,,,,
LMO,69453,,,,,,
LMO,86319,,,,,,
LMO,152939,,,,,,
LMO,1554748,,,,,,
LMO,227179,,,,,,
LMO-LTO,21481064,45702047,2,656,9259142,20434591,0.0484232014218009
LMO-LTO,16162024,,,,6966437,,
LMO-LTO,2202246,,,,581139,,
LMO-LTO,2311023,,,,609844,,
LMO-LTO,92617,,,,92617,,
LMO-LTO,81467,,,,81467,,
LMO-LTO,236971,,,,195415,,
LMO-LTO,2772013,,,,2285908,,
LMO-LTO,362622,,,,362622,,
