Battery Chem,Scrap kg/Gwh,,,,,NMC 811,NMC 333,NMC 532,NMC 622,NMC 95,NCA,LFP,LMO,LMO-LTO
NMC 811,359909.66,,,"Positive active material, kg/yr",,"8,214,930","10,129,859","9,227,760","9,069,331","7,781,397","8,752,510","12,078,579","13,718,986","21,481,064"
NMC 333,412207.88,,,"Negative active material, kg/yr",,"5,566,287","5,493,979","5,471,583","5,487,650","5,679,081","5,606,038","5,962,255","5,133,035","16,162,024"
NMC 532,386329.56,,,"Positive current collector, kg/yr",,"803,532","985,605","900,214","885,109","761,764","834,101","1,522,620","1,440,051","2,202,246"
NMC 622,382226.42,,,"Negative current collector, kg/yr",,"1,895,506","2,314,096","2,117,763","2,083,056","1,799,579","1,965,962","3,546,076","3,355,452","2,311,023"
NMC 95,350197.26,,,"Positive terminal, kg/yr",,"61,596","64,067","62,801","62,617","61,227","62,132","72,027","69,453","92,617"
NCA,374204.42,,,"Negative terminal, kg/yr",,"45,840","58,793","52,499","51,447","43,161","49,265","78,814","86,319","81,467"
LFP,"25,370,605",,,"Separator, kg/yr",,"84,627","104,104","94,947","93,333","80,191","87,904","162,076","152,939","236,971"
LMO,"25,738,162",,,"Electrolyte, kg/yr",,"1,143,440","1,265,839","1,202,267","1,193,198","1,125,831","1,169,521","1,704,232","1,554,748","2,772,013"
LMO-LTO,"45,702,047",,,"Cell container, kg/yr",,"179,725","194,052","186,644","185,580","177,632","182,788","243,926","227,179","362,622"
NMCA,378215.42,,,,,,,,,,,,,
