Sales Region,Sales Sub-Region,Sales Country,Vehicle Production Region,Vehicle Production Country,OEM Group,Brand,Make Model,Global Segment,LCV Details,Architecture,Propulsion,Fast-Charging,Battery kWh,ED Wh/kg Cell,Cathode Chemistry,Cathode Mix,Cell Type,Cell Supplier,Cathode Supplier,Reg_2013-01-01,Reg_2013-02-01,Reg_2013-03-01,Reg_2013-04-01,Reg_2013-05-01,Reg_2013-06-01,Reg_2013-07-01,Reg_2013-08-01,Reg_2013-09-01,Reg_2013-10-01,Reg_2013-11-01,Reg_2013-12-01,Reg_2014-01-01,Reg_2014-02-01,Reg_2014-03-01,Reg_2014-04-01,Reg_2014-05-01,Reg_2014-06-01,Reg_2014-07-01,Reg_2014-08-01,Reg_2014-09-01,Reg_2014-10-01,Reg_2014-11-01,Reg_2014-12-01,Reg_2015-01-01,Reg_2015-02-01,Reg_2015-03-01,Reg_2015-04-01,Reg_2015-05-01,Reg_2015-06-01,Reg_2015-07-01,Reg_2015-08-01,Reg_2015-09-01,Reg_2015-10-01,Reg_2015-11-01,Reg_2015-12-01,Reg_2016-01-01,Reg_2016-02-01,Reg_2016-03-01,Reg_2016-04-01,Reg_2016-05-01,Reg_2016-06-01,Reg_2016-07-01,Reg_2016-08-01,Reg_2016-09-01,Reg_2016-10-01,Reg_2016-11-01,Reg_2016-12-01,Reg_2017-01-01,Reg_2017-02-01,Reg_2017-03-01,Reg_2017-04-01,Reg_2017-05-01,Reg_2017-06-01,Reg_2017-07-01,Reg_2017-08-01,Reg_2017-09-01,Reg_2017-10-01,Reg_2017-11-01,Reg_2017-12-01,Reg_2018-01-01,Reg_2018-02-01,Reg_2018-03-01,Reg_2018-04-01,Reg_2018-05-01,Reg_2018-06-01,Reg_2018-07-01,Reg_2018-08-01,Reg_2018-09-01,Reg_2018-10-01,Reg_2018-11-01,Reg_2018-12-01,Reg_2019-01-01,Reg_2019-02-01,Reg_2019-03-01,Reg_2019-04-01,Reg_2019-05-01,Reg_2019-06-01,Reg_2019-07-01,Reg_2019-08-01,Reg_2019-09-01,Reg_2019-10-01,Reg_2019-11-01,Reg_2019-12-01,Reg_2020-01-01,Reg_2020-02-01,Reg_2020-03-01,Reg_2020-04-01,Reg_2020-05-01,Reg_2020-06-01,Reg_2020-07-01,Reg_2020-08-01,Reg_2020-09-01,Reg_2020-10-01,Reg_2020-11-01,Reg_2020-12-01,Reg_2021-01-01,Reg_2021-02-01,Reg_2021-03-01,Reg_2021-04-01,Reg_2021-05-01,Reg_2021-06-01,Reg_2021-07-01,Reg_2021-08-01,Reg_2021-09-01,Reg_2021-10-01,Reg_2021-11-01,Reg_2021-12-01,Reg_2022-01-01,Reg_2022-02-01,Reg_2022-03-01,Reg_2022-04-01,Reg_2022-05-01,Reg_2022-06-01,Reg_2022-07-01,Reg_2022-08-01,Reg_2022-09-01,Reg_2022-10-01,Reg_2022-11-01,Reg_2022-12-01,Reg_2023-01-01,Reg_2023-02-01,Reg_2023-03-01,Reg_2023-04-01,Reg_2023-05-01,Reg_2023-06-01,Reg_2023-07-01,Reg_2023-08-01,Reg_2023-09-01,Reg_2023-10-01,Reg_2023-11-01,Reg_2023-12-01,Reg_2024-01-01,Reg_2024-02-01,Reg_2024-03-01,Reg_2024-04-01,Reg_2024-05-01,Reg_2024-06-01,Reg_2024-07-01,Reg_2024-08-01,Reg_2024-09-01,Reg_2024-10-01,Reg_2024-11-01,Reg_2024-12-01,Reg_2025-01-01,Mwh_2013-01-01,Mwh_2013-02-01,Mwh_2013-03-01,Mwh_2013-04-01,Mwh_2013-05-01,Mwh_2013-06-01,Mwh_2013-07-01,Mwh_2013-08-01,Mwh_2013-09-01,Mwh_2013-10-01,Mwh_2013-11-01,Mwh_2013-12-01,Mwh_2014-01-01,Mwh_2014-02-01,Mwh_2014-03-01,Mwh_2014-04-01,Mwh_2014-05-01,Mwh_2014-06-01,Mwh_2014-07-01,Mwh_2014-08-01,Mwh_2014-09-01,Mwh_2014-10-01,Mwh_2014-11-01,Mwh_2014-12-01,Mwh_2015-01-01,Mwh_2015-02-01,Mwh_2015-03-01,Mwh_2015-04-01,Mwh_2015-05-01,Mwh_2015-06-01,Mwh_2015-07-01,Mwh_2015-08-01,Mwh_2015-09-01,Mwh_2015-10-01,Mwh_2015-11-01,Mwh_2015-12-01,Mwh_2016-01-01,Mwh_2016-02-01,Mwh_2016-03-01,Mwh_2016-04-01,Mwh_2016-05-01,Mwh_2016-06-01,Mwh_2016-07-01,Mwh_2016-08-01,Mwh_2016-09-01,Mwh_2016-10-01,Mwh_2016-11-01,Mwh_2016-12-01,Mwh_2017-01-01,Mwh_2017-02-01,Mwh_2017-03-01,Mwh_2017-04-01,Mwh_2017-05-01,Mwh_2017-06-01,Mwh_2017-07-01,Mwh_2017-08-01,Mwh_2017-09-01,Mwh_2017-10-01,Mwh_2017-11-01,Mwh_2017-12-01,Mwh_2018-01-01,Mwh_2018-02-01,Mwh_2018-03-01,Mwh_2018-04-01,Mwh_2018-05-01,Mwh_2018-06-01,Mwh_2018-07-01,Mwh_2018-08-01,Mwh_2018-09-01,Mwh_2018-10-01,Mwh_2018-11-01,Mwh_2018-12-01,Mwh_2019-01-01,Mwh_2019-02-01,Mwh_2019-03-01,Mwh_2019-04-01,Mwh_2019-05-01,Mwh_2019-06-01,Mwh_2019-07-01,Mwh_2019-08-01,Mwh_2019-09-01,Mwh_2019-10-01,Mwh_2019-11-01,Mwh_2019-12-01,Mwh_2020-01-01,Mwh_2020-02-01,Mwh_2020-03-01,Mwh_2020-04-01,Mwh_2020-05-01,Mwh_2020-06-01,Mwh_2020-07-01,Mwh_2020-08-01,Mwh_2020-09-01,Mwh_2020-10-01,Mwh_2020-11-01,Mwh_2020-12-01,Mwh_2021-01-01,Mwh_2021-02-01,Mwh_2021-03-01,Mwh_2021-04-01,Mwh_2021-05-01,Mwh_2021-06-01,Mwh_2021-07-01,Mwh_2021-08-01,Mwh_2021-09-01,Mwh_2021-10-01,Mwh_2021-11-01,Mwh_2021-12-01,Mwh_2022-01-01,Mwh_2022-02-01,Mwh_2022-03-01,Mwh_2022-04-01,Mwh_2022-05-01,Mwh_2022-06-01,Mwh_2022-07-01,Mwh_2022-08-01,Mwh_2022-09-01,Mwh_2022-10-01,Mwh_2022-11-01,Mwh_2022-12-01,Mwh_2023-01-01,Mwh_2023-02-01,Mwh_2023-03-01,Mwh_2023-04-01,Mwh_2023-05-01,Mwh_2023-06-01,Mwh_2023-07-01,Mwh_2023-08-01,Mwh_2023-09-01,Mwh_2023-10-01,Mwh_2023-11-01,Mwh_2023-12-01,Mwh_2024-01-01,Mwh_2024-02-01,Mwh_2024-03-01,Mwh_2024-04-01,Mwh_2024-05-01,Mwh_2024-06-01,Mwh_2024-07-01,Mwh_2024-08-01,Mwh_2024-09-01,Mwh_2024-10-01,Mwh_2024-11-01,Mwh_2024-12-01,Mwh_2025-01-01
Americas,Northern America,USA,Americas,USA,Honda Motor,Acura,Acura ZDX BEV,SUV-D,SUV-D,BEV-3,BEV,CCS,102,NA,NMC,NA,Pouch,LG Energy Solution,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,255,694,1003,979,1212,1317,1848,1384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.466,26.01,70.788,102.306,99.858,123.624,134.334,188.496,141.168
Americas,Northern America,USA,Europe,Italy,Stellantis,Alfa Romeo,Alfa Romeo Tonale PHEV,SUV-C,SUV-C,SUSW,PHEV,NA,15.5,NA,NMC,NA,Pouch,LG Energy Solution,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,97,190,237,319,326,339,568,238,298,192,264,306,317,477,479,166,139,211,296,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31,1.5035,2.945,3.6735,4.9445,5.053,5.2545,8.804,3.689,4.619,2.976,4.092,4.743,4.9135,7.3935,7.4245,2.573,2.1545,3.2705,4.588,2.728
Americas,Northern America,USA,Europe,Germany,VW Group,Audi,Audi A3 PHEV,Car-C,Car-C,MQB,PHEV,NA,8.8,NA,NMC,NMC 111,Prismatic,Panasonic-Sanyo,Nichia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,327,248,332,326,361,353,349,346,312,348,394,589,387,400,414,301,294,324,218,129,85,17,38,270,145,199,214,189,267,238,208,224,234,172,143,158,29,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4312,2.8776,2.1824,2.9216,2.8688,3.1768,3.1064,3.0712,3.0448,2.7456,3.0624,3.4672,5.1832,3.4056,3.52,3.6432,2.6488,2.5872,2.8512,1.9184,1.1352,0.748,0.1496,0.3344,2.376,1.276,1.7512,1.8832,1.6632,2.3496,2.0944,1.8304,1.9712,2.0592,1.5136,1.2584,1.3904,0.2552,0.044,0.0528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Americas,Northern America,USA,Europe,Germany,VW Group,Audi,Audi A7 PHEV,Car-E,Car-E,MLB-Evo,PHEV,NA,14.1,NA,NMC,NMC 622,Pouch,LG Energy Solution,Nichia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14,12,25,44,80,116,172,85,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0705,0.1974,0.1692,0.3525,0.6204,1.128,1.6356,2.4252,1.1985,0.3102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Americas,Northern America,USA,Europe,Germany,VW Group,Audi,Audi A7 PHEV,Car-E,Car-E,MLB-Evo,PHEV,NA,17.9,NA,NMC,NA,Prismatic,Samsung SDI,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4,6,7,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2685,0.0716,0.1074,0.1253,0,0,0.0179,0,0.0358,0.0358,0,0,0,0,0,0,0,0,0,0,0,0.0179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Americas,Northern America,USA,Europe,Germany,VW Group,Audi,Audi A8 PHEV,Car-F,Car-F,MLB-Evo,PHEV,NA,"14,1 / 17,9",NA,NMC,NA,Prismatic,Samsung SDI,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,5,6,13,15,16,17,35,3,3,10,2,5,14,6,2,5,3,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0282,0.0141,0.0423,0.0705,0.0846,0.1833,0.2115,0.2256,0.2397,0.4935,0.0423,0.0423,0.141,0.0282,0.0705,0.1974,0.0846,0.0282,0.0705,0.0423,0,0.0423,0,0,0.0179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Americas,Northern America,USA,Europe,Germany,VW Group,Audi,Audi e-tron GT BEV,Car-E,Car-E,J1,BEV,CCS,93.4,NA,NMC,NMC 622,Pouch,LG Energy Solution,Nichia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,138,249,100,137,377,126,149,367,187,222,360,259,197,94,53,49,212,207,221,298,346,348,366,214,156,268,154,412,212,80,609,87,124,310,183,20,363,290,403,259,166,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.015,12.8892,23.2566,9.34,12.7958,35.2118,11.7684,13.9166,34.2778,17.4658,20.7348,33.624,24.1906,18.3998,8.7796,4.9502,4.5766,19.8008,19.3338,20.6414,27.8332,32.3164,32.5032,34.1844,19.9876,14.5704,25.0312,14.3836,38.4808,19.8008,7.472,56.8806,8.1258,11.5816,28.954,17.0922,1.868,33.9042,27.086,37.6402,24.1906,15.5044,7.0984
Americas,Northern America,USA,Europe,Belgium,VW Group,Audi,Audi e-tron Quattro BEV,SUV-E,SUV-E,MLB-Evo,BEV,CCS,95,255,NMC,NMC 622,Pouch,LG Energy Solution,LG Energy Solution,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,856,726,678,593,434,462,621,746,534,592,585,314,336,511,762,816,718,550,611,873,470,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.035,81.32,68.97,64.41,56.335,41.23,43.89,58.995,70.87,50.73,56.24,55.575,29.83,31.92,48.545,72.39,77.52,68.21,52.25,58.045,82.935,44.65,8.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Americas,Northern America,USA,Europe,Belgium,VW Group,Audi,Audi e-tron Quattro BEV,SUV-E,SUV-E,MLB-Evo,BEV,CCS,"71,5 / 95,0",NA,NMC,NA,Prismatic,Samsung SDI,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,850,2877,1450,705,405,168,121,8,691,614,1076,760,860,1260,1052,1513,1373,1139,680,503,475,489,445,100,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.003,60.775,205.7055,103.675,50.4075,28.9575,12.012,8.6515,0.572,49.4065,43.901,76.934,70.68,79.98,117.18,97.836,140.709,127.689,105.927,63.24,46.779,44.175,45.477,41.385,9.3,4.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Americas,Northern America,USA,Europe,Germany,VW Group,Audi,Audi Q4 e-tron BEV,SUV-C,SUV-C,MEB,BEV,CCS,55 / 63 / 82,NA,NMC,NMC 721,Pouch,LG Energy Solution,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,40,7,0,0,0,0,0,0,0,202,910,1082,658,653,614,611,952,1002,844,649,846,1176,1258,927,875,996,602,1224,852,765,976,689,688,1256,1031,867,1164,1242,591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.275,3,0.525,0,0,0,0,0,0,0,15.15,68.25,81.15,49.35,48.975,46.05,45.825,71.4,75.15,63.3,48.675,63.45,88.2,94.35,69.525,65.625,74.7,45.15,91.8,63.9,57.375,73.2,51.675,51.6,94.2,77.325,65.025,87.3,93.15,44.325
