State,Segment,Propulsion,Year,BESS_retire_vector,BESS_retire_total,Country,Scenario,Source,Type,BESS_stock_vector,BESS_stock_total,Vehicle
Alabama,Car,BEV,2020,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,Car,BEV,2021,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,Car,BEV,2022,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,Car,BEV,2023,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,Car,BEV,2024,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,Car,BEV,2025,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,Car,BEV,2026,0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,1,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,Car,BEV,2027,0|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,2,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,Car,BEV,2028,0|0|0|0|0|0|0|0|0|0|1|0|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,4,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,Car,BEV,2029,0|0|0|0|0|0|0|0|0|0|1|2|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,7,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,Car,BEV,2030,0|0|0|0|0|0|0|0|0|1|1|2|4|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0,12,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,Car,BEV,2031,0|0|0|0|0|0|0|0|0|1|1|1|4|5|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0,16,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,Car,BEV,2032,0|0|0|0|0|0|1|1|0|1|2|3|3|5|6|2|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0,27,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,Car,BEV,2033,0|0|0|0|0|0|1|1|3|1|2|4|5|4|6|7|2|1|1|1|0|0|0|0|0|0|0|0|0|0|0,39,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,Car,BEV,2034,0|0|0|0|0|0|1|2|4|6|2|5|8|7|5|7|7|1|1|1|1|0|0|0|0|0|0|0|0|0|0,58,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,Car,BEV,2035,0|0|0|0|0|0|1|2|5|8|15|4|9|11|8|5|7|6|1|1|1|0|0|0|0|0|0|0|0|0|0,84,United States,ACCII,LDV,Retire,NA,NA,NA
