State,Segment,Propulsion,Year,BESS_retire_vector,BESS_retire_total
Alabama,Car,BEV,2020,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0
Alabama,Car,BEV,2021,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0
Alabama,Car,BEV,2022,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0
Alabama,Car,BEV,2023,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0
Alabama,Car,BEV,2024,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0
Alabama,Car,BEV,2025,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0
Alabama,Car,BEV,2026,0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,1
Alabama,Car,BEV,2027,0|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,2
Alabama,Car,BEV,2028,0|0|0|0|0|0|0|0|0|0|1|0|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,4
Alabama,Car,BEV,2029,0|0|0|0|0|0|0|0|0|0|1|2|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,7
Alabama,Car,BEV,2030,0|0|0|0|0|0|0|0|0|0|1|2|3|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0,10
Alabama,Car,BEV,2031,0|0|0|0|0|0|0|0|0|1|1|1|4|4|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0,15
Alabama,Car,BEV,2032,0|0|0|0|0|0|1|1|0|1|2|2|3|5|5|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0,24
Alabama,Car,BEV,2033,0|0|0|0|0|0|1|1|3|1|2|4|5|3|6|5|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0,35
Alabama,Car,BEV,2034,0|0|0|0|0|0|1|2|4|6|2|4|8|6|4|6|5|1|1|1|0|0|0|0|0|0|0|0|0|0|0,51
Alabama,Car,BEV,2035,0|0|0|0|0|0|1|2|5|8|15|4|9|10|7|5|6|5|1|1|0|0|0|0|0|0|0|0|0|0|0,79
Alabama,Car,BEV,2036,0|0|0|0|0|1|1|3|6|11|19|32|7|12|12|8|5|6|4|1|0|0|0|0|0|0|0|0|0|0|0,128
Alabama,Car,BEV,2037,0|0|0|0|0|1|1|3|7|13|25|42|66|10|14|14|8|4|5|3|1|0|0|0|0|0|0|0|0|0|0,217
Alabama,Car,BEV,2038,0|0|0|0|0|1|2|3|8|15|30|54|86|86|12|16|14|7|3|4|2|0|0|0|0|0|0|0|0|0|0,343
Alabama,Car,BEV,2039,0|0|0|0|0|1|2|4|8|18|36|66|110|112|103|13|16|12|6|3|3|2|0|0|0|0|0|0|0|0|0,515
Alabama,Car,BEV,2040,0|0|0|0|0|1|2|4|9|19|41|78|136|144|135|114|13|14|10|5|2|2|1|0|0|0|0|0|0|0|0,730
Alabama,Car,BEV,2041,0|0|0|0|0|1|2|5|11|22|45|89|160|177|174|149|114|12|12|8|3|1|1|1|0|0|0|0|0|0|0,987
Alabama,Car,BEV,2042,0|0|0|0|0|1|2|5|12|25|50|97|184|208|214|192|149|103|10|9|6|2|1|1|0|0|0|0|0|0|0,1271
Alabama,Car,BEV,2043,0|0|0|0|0|1|3|6|13|28|58|108|200|240|252|236|192|135|86|7|7|4|2|1|1|0|0|0|0|0|0,1580
Alabama,Car,BEV,2044,0|0|0|0|0|1|3|6|14|30|63|127|222|261|290|278|236|174|112|66|5|5|3|1|0|0|0|0|0|0|0,1897
Alabama,Car,BEV,2045,0|0|0|0|0|1|3|7|15|33|68|137|259|290|316|320|278|214|144|86|47|4|3|2|1|0|0|0|0|0|0,2228
Alabama,Car,BEV,2046,0|0|0|0|1|1|3|7|16|34|73|146|279|338|351|349|320|252|177|110|62|33|3|2|1|0|0|0|0|0|0,2558
Alabama,Car,BEV,2047,0|0|0|0|1|1|3|7|16|36|77|157|298|364|409|387|349|290|208|136|80|43|22|2|1|1|0|0|0|0|0,2888
Alabama,Car,BEV,2048,0|0|0|0|1|1|3|7|17|38|80|164|318|388|440|452|387|316|240|160|98|55|29|15|1|1|0|0|0|0|0,3211
Alabama,Car,BEV,2049,0|0|0|0|1|1|3|8|17|39|84|172|331|415|470|486|452|351|261|184|116|68|37|19|10|1|1|0|0|0|0,3527
Alabama,Car,BEV,2050,0|0|0|0|1|1|3|8|18|40|87|179|346|432|501|519|486|409|290|200|133|80|46|25|12|6|0|0|0|0|0,3822
Alabama,Car,PHEV,2020,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0
Alabama,Car,PHEV,2021,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0
Alabama,Car,PHEV,2022,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0
Alabama,Car,PHEV,2023,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0
Alabama,Car,PHEV,2024,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0
Alabama,Car,PHEV,2025,0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,1
Alabama,Car,PHEV,2026,0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,1
Alabama,Car,PHEV,2027,0|0|0|0|0|0|0|0|0|0|0|1|1|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,4
Alabama,Car,PHEV,2028,0|0|0|0|0|0|0|0|0|0|1|1|1|1|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,6
Alabama,Car,PHEV,2029,0|0|0|0|0|0|0|0|0|0|0|1|2|2|1|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,8
Alabama,Car,PHEV,2030,0|0|0|0|0|0|0|0|0|0|0|1|2|2|2|1|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0,10
Alabama,Car,PHEV,2031,0|0|0|0|0|0|0|0|0|0|0|0|1|3|3|2|1|2|0|0|0|0|0|0|0|0|0|0|0|0|0,12
Alabama,Car,PHEV,2032,0|0|0|0|0|0|0|0|0|0|0|1|1|2|4|3|2|1|2|0|0|0|0|0|0|0|0|0|0|0|0,16
Alabama,Car,PHEV,2033,0|0|0|0|0|0|0|0|1|0|0|0|1|1|2|4|3|2|1|1|0|0|0|0|0|0|0|0|0|0|0,16
