State,Segment,Propulsion,Year,BESS_retire_vector,BESS_retire_total
Alberta,Car,BEV,2020,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0
Alberta,Car,BEV,2021,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0
Alberta,Car,BEV,2022,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0
Alberta,Car,BEV,2023,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0
Alberta,Car,BEV,2024,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0
Alberta,Car,BEV,2025,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0
Alberta,Car,BEV,2026,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0
Alberta,Car,BEV,2027,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0
Alberta,Car,BEV,2028,0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,5
Alberta,Car,BEV,2029,0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,6
Alberta,Car,BEV,2030,0|0|0|0|0|0|0|0|1|1|1|2|3|2|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0,13
Alberta,Car,BEV,2031,0|0|0|0|0|0|1|0|1|1|2|3|5|4|2|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0,22
Alberta,Car,BEV,2032,0|0|0|0|0|1|1|1|1|2|3|4|5|6|5|3|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0,34
Alberta,Car,BEV,2033,0|0|0|0|0|1|1|3|3|2|4|7|8|7|8|5|3|1|1|0|0|0|0|0|0|0|0|0|0|0|0,54
Alberta,Car,BEV,2034,0|0|0|0|0|1|2|3|6|8|4|8|13|11|8|9|5|2|1|0|0|0|0|0|0|0|0|0|0|0|0,81
Alberta,Car,BEV,2035,0|0|0|0|0|1|2|4|8|15|19|9|16|18|13|9|9|5|2|1|0|0|0|0|0|0|0|0|0|0|0,131
Alberta,Car,BEV,2036,0|0|0|0|0|1|2|5|10|18|34|41|18|21|21|14|9|8|4|1|0|0|0|0|0|0|0|0|0|0|0,207
Alberta,Car,BEV,2037,0|0|0|0|0|1|2|5|11|23|42|74|84|24|26|23|14|8|6|3|1|0|0|0|0|0|0|0|0|0|0,347
Alberta,Car,BEV,2038,0|0|0|0|0|1|2|6|13|26|53|92|152|110|29|29|23|13|7|5|2|1|0|0|0|0|0|0|0|0|0,564
Alberta,Car,BEV,2039,0|0|0|0|0|1|3|6|14|30|60|116|189|198|133|32|29|21|11|5|4|1|0|0|0|0|0|0|0|0|0,853
Alberta,Car,BEV,2040,0|0|0|0|1|1|3|6|14|32|68|130|238|246|240|147|32|26|18|8|4|2|1|0|0|0|0|0|0|0|0,1217
Alberta,Car,BEV,2041,0|0|0|0|1|1|3|7|15|34|74|150|268|310|297|265|147|29|21|13|6|3|2|1|0|0|0|0|0|0|0,1647
Alberta,Car,BEV,2042,0|0|0|0|1|1|3|7|16|36|78|162|308|349|375|329|265|133|24|16|10|4|2|1|0|0|0|0|0|0|0,2120
Alberta,Car,BEV,2043,0|0|0|0|1|1|3|8|18|38|82|170|333|401|422|415|329|240|110|18|12|7|3|1|1|0|0|0|0|0|0,2613
Alberta,Car,BEV,2044,0|0|0|0|1|2|4|8|19|41|87|178|348|434|485|466|415|297|198|84|13|8|5|2|1|0|0|0|0|0|0,3096
Alberta,Car,BEV,2045,0|0|0|0|1|2|4|9|20|43|94|189|365|454|524|536|466|375|246|152|61|9|6|3|1|0|0|0|0|0|0,3560
Alberta,Car,BEV,2046,0|0|0|0|1|2|4|9|21|45|97|202|386|476|548|579|536|422|310|189|110|42|6|4|2|1|0|0|0|0|0,3992
Alberta,Car,BEV,2047,0|0|0|0|1|2|4|10|22|47|100|207|411|503|576|606|579|485|349|238|137|76|28|4|2|1|0|0|0|0|0,4388
