State,Segment,Propulsion,Year,BESS_retire_vector,BESS_retire_total
Alberta,Car,BEV,2020,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0
Alberta,Car,BEV,2021,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0
Alberta,Car,BEV,2022,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0
Alberta,Car,BEV,2023,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0
Alberta,Car,BEV,2024,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0
Alberta,Car,BEV,2025,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0
Alberta,Car,BEV,2026,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0
Alberta,Car,BEV,2027,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0
Alberta,Car,BEV,2028,0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,5
Alberta,Car,BEV,2029,0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,6
Alberta,Car,BEV,2030,0|0|0|0|0|0|0|0|1|1|1|2|3|2|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0,13
Alberta,Car,BEV,2031,0|0|0|0|0|0|0|0|1|1|2|2|5|4|2|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0,20
Alberta,Car,BEV,2032,0|0|0|0|0|0|0|1|1|2|3|4|5|6|4|3|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0,31
Alberta,Car,BEV,2033,0|0|0|0|0|0|1|1|2|2|3|6|8|7|8|5|3|1|1|0|0|0|0|0|0|0|0|0|0|0|0,48
Alberta,Car,BEV,2034,0|0|0|0|0|0|1|1|2|4|4|8|13|10|8|8|5|2|1|0|0|0|0|0|0|0|0|0|0|0|0,67
Alberta,Car,BEV,2035,0|0|0|0|0|0|1|2|3|6|9|9|16|17|12|9|8|4|2|1|0|0|0|0|0|0|0|0|0|0|0,99
Alberta,Car,BEV,2036,0|0|0|0|0|0|1|2|4|8|13|19|18|21|20|14|9|8|4|1|0|0|0|0|0|0|0|0|0|0|0,142
Alberta,Car,BEV,2037,0|0|0|0|0|0|1|2|5|10|18|29|40|23|25|22|14|8|6|3|1|0|0|0|0|0|0|0|0|0|0,207
Alberta,Car,BEV,2038,0|0|0|0|0|1|1|3|6|12|23|39|59|52|28|27|22|12|7|5|2|1|0|0|0|0|0|0|0|0|0,300
Alberta,Car,BEV,2039,0|0|0|0|0|1|1|3|7|14|27|51|81|77|63|31|27|20|10|5|3|1|0|0|0|0|0|0|0|0|0,422
Alberta,Car,BEV,2040,0|0|0|0|0|1|2|4|7|16|32|60|104|105|93|69|31|25|17|8|4|2|1|0|0|0|0|0|0|0|0,581
Alberta,Car,BEV,2041,0|0|0|0|0|1|2|4|9|18|36|70|123|136|127|103|69|28|21|13|6|3|2|1|0|0|0|0|0|0|0,772
Alberta,Car,BEV,2042,0|0|0|0|0|1|2|4|9|20|40|79|143|160|164|141|103|63|23|16|9|4|2|1|0|0|0|0|0|0|0,984
Alberta,Car,BEV,2043,0|0|0|0|0|1|2|5|10|22|47|88|162|186|194|182|141|93|52|18|11|6|3|1|1|0|0|0|0|0|0,1225
Alberta,Car,BEV,2044,0|0|0|0|0|1|2|5|11|23|50|101|179|211|225|214|182|127|77|40|13|8|4|2|1|0|0|0|0|0|0,1476
Alberta,Car,BEV,2045,0|0|0|0|0|1|2|5|11|25|53|108|207|234|256|249|214|164|105|59|29|9|5|3|1|0|0|0|0|0|0,1740
Alberta,Car,BEV,2046,0|0|0|0|0|1|2|5|12|27|56|114|220|270|283|282|249|194|136|81|43|20|6|4|2|1|0|0|0|0|0,2008
Alberta,Car,BEV,2047,0|0|0|0|0|1|2|6|13|28|59|121|232|287|326|312|282|225|160|104|58|30|13|4|2|1|0|0|0|0|0,2266
