State,Segment,Propulsion,Year,BESS_stock_vector,BESS_stock_total
Alberta,Car,BEV,2020,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0
Alberta,Car,BEV,2021,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0
Alberta,Car,BEV,2022,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0
Alberta,Car,BEV,2023,0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,1
Alberta,Car,BEV,2024,0|0|1|1|1|2|1|1|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,9
Alberta,Car,BEV,2025,0|0|1|2|2|3|4|3|3|1|3|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,25
Alberta,Car,BEV,2026,0|4|1|3|4|4|5|7|5|5|3|5|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,50
Alberta,Car,BEV,2027,0|7|10|3|5|8|8|8|12|10|9|5|6|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,95
Alberta,Car,BEV,2028,0|9|18|20|6|10|14|13|13|19|16|13|8|5|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,167
Alberta,Car,BEV,2029,0|11|23|35|35|11|17|24|21|21|30|25|18|7|5|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,286
Alberta,Car,BEV,2030,0|12|28|45|62|59|19|28|36|33|32|45|36|16|6|4|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0,463
Alberta,Car,BEV,2031,0|14|32|55|79|103|94|31|44|56|51|47|62|32|14|5|3|2|0|0|0|0|0|0|0|0|0|0|0|0|0,724
Alberta,Car,BEV,2032,0|15|36|62|97|131|168|149|50|67|84|74|65|55|28|12|4|2|1|0|0|0|0|0|0|0|0|0|0|0|0,1100
Alberta,Car,BEV,2033,0|16|39|71|110|163|212|268|233|77|102|121|102|58|48|23|9|3|2|1|0|0|0|0|0|0|0|0|0|0|0,1658
Alberta,Car,BEV,2034,0|18|41|77|126|184|264|335|419|356|115|148|167|91|50|39|18|7|2|1|1|0|0|0|0|0|0|0|0|0|0,2459
Alberta,Car,BEV,2035,0|18|46|81|136|210|299|420|521|640|529|166|204|149|78|41|30|13|5|1|1|0|0|0|0|0|0|0|0|0|0,3588
Alberta,Car,BEV,2036,0|22|47|88|143|229|342|475|656|795|953|761|229|183|128|64|32|22|9|3|1|0|0|0|0|0|0|0|0|0|0,5182
Alberta,Car,BEV,2037,0|23|55|93|153|241|370|543|740|1002|1184|1373|1047|205|157|105|50|24|16|6|2|1|0|0|0|0|0|0|0|0|0,7390
Alberta,Car,BEV,2038,0|26|60|107|164|256|391|589|848|1129|1493|1705|1890|937|176|128|81|37|17|11|4|1|0|0|0|0|0|0|0|0|0,10050
Alberta,Car,BEV,2039,0|28|66|118|186|275|415|620|918|1295|1680|2150|2346|1692|804|144|100|60|26|12|7|3|1|0|0|0|0|0|0|0|0,12946
Alberta,Car,BEV,2040,0|29|71|128|205|309|447|659|966|1403|1929|2419|2960|2100|1452|658|112|74|43|18|8|5|2|1|0|0|0|0|0|0|0,15998
Alberta,Car,BEV,2041,0|32|75|136|221|340|496|706|1023|1474|2089|2779|3328|2649|1803|1188|511|83|52|29|12|5|3|1|0|0|0|0|0|0|0,19035
Alberta,Car,BEV,2042,0|32|80|144|233|363|541|779|1095|1557|2191|3007|3824|2979|2274|1474|923|378|59|36|20|8|3|2|1|0|0|0|0|0|0,22003
Alberta,Car,BEV,2043,0|34|83|153|250|382|574|838|1197|1659|2309|3150|4134|3423|2557|1860|1145|683|269|40|24|13|5|2|1|0|0|0|0|0|0,24785
Alberta,Car,BEV,2044,0|34|86|162|263|409|603|885|1271|1801|2453|3312|4326|3701|2938|2091|1445|848|485|184|27|16|8|3|1|1|0|0|0|0|0,27353
Alberta,Car,BEV,2045,0|36|88|167|280|430|646|925|1331|1887|2644|3508|4541|3872|3177|2402|1625|1070|602|333|124|18|10|5|2|1|1|0|0|0|0,29725
Alberta,Car,BEV,2046,0|36|92|172|289|457|677|987|1389|1962|2736|3755|4794|4065|3324|2598|1867|1203|759|413|223|81|12|7|3|1|1|0|0|0|0,31903
