State,Segment,Propulsion,Year,BESS_stock_vector,BESS_stock_total
Alberta,Car,BEV,2020,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0
Alberta,Car,BEV,2021,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0
Alberta,Car,BEV,2022,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0
Alberta,Car,BEV,2023,0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,1
Alberta,Car,BEV,2024,0|0|1|1|1|2|1|1|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,9
Alberta,Car,BEV,2025,0|0|1|2|2|3|4|3|3|1|3|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,25
Alberta,Car,BEV,2026,0|2|1|3|4|4|5|7|5|5|3|5|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,48
Alberta,Car,BEV,2027,0|2|4|3|5|8|8|8|12|10|9|5|6|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,84
Alberta,Car,BEV,2028,0|4|7|9|6|10|14|13|13|19|16|13|8|5|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,140
Alberta,Car,BEV,2029,0|5|10|14|17|11|17|24|21|21|29|25|18|7|5|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,227
Alberta,Car,BEV,2030,0|6|13|20|24|28|19|27|35|32|31|43|35|16|6|4|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0,341
Alberta,Car,BEV,2031,0|7|16|24|34|40|46|30|42|54|49|45|59|31|14|5|3|2|0|0|0|0|0|0|0|0|0|0|0|0|0,501
Alberta,Car,BEV,2032,0|8|17|30|43|57|65|72|48|65|80|71|63|53|27|12|4|2|1|0|0|0|0|0|0|0|0|0|0|0|0,718
Alberta,Car,BEV,2033,0|9|19|33|52|72|91|104|111|74|98|116|98|56|45|22|9|3|2|1|0|0|0|0|0|0|0|0|0|0|0,1015
Alberta,Car,BEV,2034,0|10|22|38|59|86|117|144|163|169|110|141|159|88|48|37|17|7|2|1|1|0|0|0|0|0|0|0|0|0|0,1419
Alberta,Car,BEV,2035,0|10|26|43|67|98|139|185|224|249|251|159|196|142|76|39|29|13|5|1|1|0|0|0|0|0|0|0|0|0|0,1953
Alberta,Car,BEV,2036,0|11|27|51|76|112|160|220|287|342|371|360|218|175|122|62|31|21|9|3|1|0|0|0|0|0|0|0|0|0|0,2659
Alberta,Car,BEV,2037,0|13|29|54|89|126|181|254|341|439|507|534|494|195|150|100|48|23|15|6|2|1|0|0|0|0|0|0|0|0|0,3601
Alberta,Car,BEV,2038,0|14|33|57|96|148|204|288|395|520|654|729|735|442|168|123|78|36|16|10|4|1|0|0|0|0|0|0|0|0|0,4751
Alberta,Car,BEV,2039,0|15|37|65|102|159|239|324|450|602|773|942|1004|658|380|137|96|57|25|11|7|3|1|0|0|0|0|0|0|0|0,6087
Alberta,Car,BEV,2040,0|16|39|71|114|170|256|377|502|687|897|1112|1297|898|565|311|106|71|41|17|7|5|2|1|0|0|0|0|0|0|0,7562
Alberta,Car,BEV,2041,0|18|42|77|124|189|274|405|584|764|1021|1291|1528|1161|771|462|241|79|50|28|12|5|3|1|0|0|0|0|0|0|0,9130
Alberta,Car,BEV,2042,0|19|46|82|134|205|303|432|625|886|1134|1467|1775|1368|996|631|359|179|56|34|19|8|3|2|1|0|0|0|0|0|0,10764
Alberta,Car,BEV,2043,0|20|47|88|142|221|327|474|667|947|1312|1627|2016|1589|1174|815|490|266|127|38|23|12|5|2|1|0|0|0|0|0|0,12430
Alberta,Car,BEV,2044,0|20|49|91|151|235|351|508|726|1008|1400|1879|2231|1804|1364|960|633|363|189|87|26|15|8|3|1|1|0|0|0|0|0,14103
Alberta,Car,BEV,2045,0|21|51|96|157|247|373|542|772|1087|1485|2001|2574|1997|1549|1115|746|469|257|129|58|17|10|5|2|1|1|0|0|0|0,15762
Alberta,Car,BEV,2046,0|22|54|99|166|259|391|576|821|1152|1589|2118|2737|2304|1714|1266|867|552|333|177|87|38|11|6|3|1|1|0|0|0|0,17344
Alberta,Car,BEV,2047,0|23|54|104|172|272|410|602|868|1218|1676|2251|2889|2450|1978|1401|984|642|392|228|118|57|25|7|4|2|1|0|0|0|0,18828
