State,Segment,Year,ret_ICE,ret_BEV,ret_PHEV,ret_EV,Growth_seg,add_BEV,add_PHEV,add_ICE,Demand_total
Alberta,Car,2020,57880.15225727853,0,0,0,0,5153.129980540262,1791.6506187617238,50935.371657976546,57880.15225727853
Alberta,SUV,2020,94554.54018043443,0,0,0,0,8418.288770806104,2926.8876085187244,83209.3638011096,94554.54018043443
British Columbia,Car,2020,73171.4614065325,26,11,37,0,6515.866557628648,2265.4496187422487,64405.1452301616,73186.4614065325
British Columbia,SUV,2020,81684.2125151515,5,0,5,0,7272.43015148974,2528.4931740557336,71883.28918960603,81684.2125151515
Manitoba,Car,2020,16347.295658571658,0,0,0,0,1455.4166855763235,506.0222069142476,14385.856766081088,16347.295658571658
Manitoba,SUV,2020,23507.08819118102,0,0,0,0,2092.8604398746365,727.6499362995311,20686.577815006855,23507.08819118102
New Brunswick,Car,2020,13932.070247384592,0,0,0,0,1240.3866624895122,431.2601350529354,12260.423449842145,13932.070247384592
New Brunswick,SUV,2020,14390.602288275932,0,0,0,0,1281.210245614388,445.45376072159866,12663.938281939945,14390.602288275932
Newfoundland and Labrador,Car,2020,7542.182545346374,0,0,0,0,671.4883336929097,233.4644173726137,6637.229794280851,7542.182545346374
Newfoundland and Labrador,SUV,2020,10237.334988701174,0,0,0,0,911.4405507541813,316.89148787045553,9009.002950076536,10237.334988701174
Northwest Territories,Car,2020,235.7915848865857,0,0,0,0,20.99276933200141,7.298808356326225,207.50000719825806,235.7915848865857
Northwest Territories,SUV,2020,820.0465740804224,0,0,0,0,73.00959692623739,25.38412382423996,721.6528533299451,820.0465740804224
Nova Scotia,Car,2020,16845.92739979912,0,0,0,0,1499.8103866078388,521.4570983729526,14824.659914818327,16845.92739979912
Nova Scotia,SUV,2020,14950.729911458538,0,0,0,0,1331.0789887911662,462.7922258693722,13156.858696798,14950.729911458538
Nunavut,Car,2020,0,0,0,0,0,0,0,0,0
Nunavut,SUV,2020,0,0,0,0,0,0,0,0,0
Ontario,Car,2020,230944.62222843067,27,27,54,0,20563.1088717427,7149.42314143994,203253.09021524803,230965.62222843067
Ontario,SUV,2020,225920.8669210389,5,3,8,0,20114.058106058834,6993.296266078536,198814.51254890152,225921.8669210389
Prince Edward Island,Car,2020,2710.896493924958,0,0,0,0,241.35392621102653,83.91441956044379,2385.628148153488,2710.896493924958
