State,Year,ret_ICE,ret_BEV,ret_PHEV,ret_EV,Growth_seg,add_BEV,add_PHEV,add_ICE,Demand_total
Alberta,2020,152434.69243771298,0,0,0,0,868.023814141101,311.244383881643,213717,214896.26819802274
Alberta,2021,152650.0473369027,0,0,0,0,1543.185168212736,765.365255474453,224361,226669.5504236872
Alberta,2022,152972.5598351446,0,0,0,0,2931.3602925904197,826.631013361633,202073,205830.99130595205
Alberta,2023,153297.26085005046,4,4,8,0,4616.96265081564,1576.7213877855029,225248,231441.68403860115
Alberta,2024,153798.71744842167,12,5,17,0,6021.39989089821,2652.86206163548,237276,245950.2619525337
Alberta,2025,154489.63618623512,16,10,26,0,28962.597616202038,5029.755233026226,120523.28333700684,154515.63618623512
Alberta,2026,154997.8935488218,43,26,69,27000.872515753756,54176.734451457436,9545.210737636611,118345.82087548153,182067.76606457555
Alberta,2027,155636.6616279785,82,48,130,36001.16335433834,68507.00325409797,13951.0667721984,109309.75495602046,191767.82498231682
Alberta,2028,156378.9594452735,145,81,226,45901.483276781386,88277.53127427684,14998.303379009296,99230.60806876875,202506.4427220549
Alberta,2029,157196.60982038008,247,136,383,45001.45419292292,101060.43709326701,18459.75744552633,83060.86947450967,202581.06401330302
Alberta,2030,158022.37602077058,416,218,634,47101.52205525933,118826.05000339722,21086.146866415704,65845.70120621697,205757.8980760299
Alberta,2031,158789.31825805656,679,317,996,46441.50072709646,131432.48985049152,25296.130388631238,49498.198746030306,206226.81898515305
Alberta,2032,159426.89487586435,1049,427,1476,45841.48133785749,140788.01304582093,28738.530793807666,37217.83237409324,206744.37621372184
Alberta,2033,159871.64160041913,1615,573,2188,45241.46194861852,151327.35461824777,31093.145500034516,24880.60343075534,207301.10354903765
Alberta,2034,160042.61617332135,2498,766,3264,44461.43674260785,163297.43835992063,31999.0923050923,12471.522250916298,207768.05291592923
Alberta,2035,159853.4056472059,3833,1062,4895,44581.44062045564,176555.41298880914,32767.71759178534,6.715687067017898,209329.8462676615
