State,Year,ret_ICE,ret_BEV,ret_PHEV,ret_EV,Growth_seg,add_BEV,add_PHEV,add_ICE,Demand_total
Alberta,2020,152434.69243771298,0,0,0,0,868.023814141101,311.244383881643,213717,214896.26819802274
Alberta,2021,152650.0473369027,0,0,0,0,1543.185168212736,765.365255474453,224361,226669.5504236872
Alberta,2022,152972.5598351446,0,0,0,0,2931.3602925904197,826.631013361633,202073,205830.99130595205
Alberta,2023,153297.26085005046,4,4,8,0,4616.96265081564,1576.7213877855029,225248,231441.68403860115
Alberta,2024,153798.71744842167,12,5,17,0,6021.39989089821,2652.86206163548,237276,245950.2619525337
Alberta,2025,154489.63618623512,16,10,26,0,14169.5100971832,2820.443210399731,137525.68287865218,154515.63618623512
Alberta,2026,155067.70797065843,38,25,63,27000.872515753756,21906.798862284213,4399.975909800359,155824.80571432764,182131.58048641222
Alberta,2027,155877.3046102136,68,45,113,36001.16335433834,30478.27004991153,6761.0019963852965,154752.1959182551,191991.46796455194
Alberta,2028,156865.25001149566,114,77,191,45901.483276781386,40176.493425826484,7496.524025070117,155284.7158373804,202957.73328827703
Alberta,2029,158031.97378993314,184,126,310,45001.45419292292,47992.74221547782,9709.204921604818,145641.48084577342,203343.42798285605
Alberta,2030,159317.93887864068,303,201,504,47101.52205525933,56900.681430549594,11088.51668529898,138934.26281805144,206923.46093390003
Alberta,2031,160697.2435489035,487,289,776,46441.50072709646,65925.12650885427,13784.220776652935,128205.39699049275,207914.74427599995
Alberta,2032,162112.8523488523,736,373,1109,45841.48133785749,74378.54642475807,16349.738474641681,118335.04878731,209063.33368670975
Alberta,2033,163522.14387457553,1106,493,1599,45241.46194861852,87659.60408727835,18117.252916447404,104585.74881946831,210362.60582319406
Alberta,2034,164863.57045134957,1684,633,2317,44461.43674260785,95164.4927998964,18779.187290179732,97698.32710388128,211642.00719395743
Alberta,2035,166111.9181066322,2550,850,3400,44581.44062045564,102291.5981562766,19124.72643870439,92677.03413210686,214093.35872708785
