Year,LIB_recycling,LIB_available,LIB_reuse_EV,LIB_repurpose,LIB_new_add,EV_stock
2020,250,154,0,154,287,282010
2021,525,470,149,470,689,427491
2022,1306,1207,414,1207,1721,602141
2023,3320,2583,899,2583,3175,803551
2024,7707,4761,1791,4761,5204,1027112
2025,16830,6775,2680,6775,5640,1262106
2026,27162,10747,4474,10747,4500,1642043
2027,43027,12069,5324,12069,5421,2104928
2028,56801,14684,6727,14684,6030,2701333
2029,69612,17716,8179,17716,7390,3382620
2030,83345,21698,9899,21698,10264,4163267
2031,99988,27855,12362,27855,16167,5025164
2032,121686,38176,16541,38176,18743,5924541
2033,159593,47439,20635,47439,22462,6832635
2034,208657,57844,25587,57844,23712,7723095
2035,265202,66796,30327,66796,25307,8579249
2036,321228,75961,35355,75961,25850,9309853
2037,375159,84124,39896,84124,26082,9914452
2038,426103,91015,43673,91015,27069,10395732
2039,471771,97567,47154,97567,27839,10763794
2040,512995,103362,50159,103362,27858,11010166
2041,550692,107478,52504,107478,25644,11142012
2042,584750,108283,53495,108283,24808,11164760
2043,607285,108657,54196,108657,23744,11094357
2044,618252,108435,54455,108435,22831,10948860
2045,621492,107602,54213,107602,21772,10740287
2046,620589,105741,53309,105741,21247,10476627
2047,615637,103587,52256,103587,20434,10163976
2048,607072,101019,51036,101019,19408,9808862
2049,595669,97931,49596,97931,18229,9417730
2050,581574,94367,47966,94367,16933,8996468
