Year,LIB_recycling,LIB_available,LIB_reuse_EV,LIB_repurpose,LIB_new_add,EV_stock
2020,165,85,0,85,184,182550
2021,278,168,0,168,317,268417
2022,399,313,73,313,485,392784
2023,595,540,170,540,757,578510
2024,1002,905,293,905,1269,828526
2025,1608,1505,506,1505,2053,961331
2026,2503,2341,808,2341,2840,1140352
2027,4146,3332,1169,3332,4033,1387167
2028,6485,4811,1690,4811,5645,1713336
2029,9915,6731,2412,6731,7592,2106408
2030,14756,9137,3351,9137,9092,2559716
2031,22158,11501,4299,11501,11376,3087287
2032,31506,14539,5490,14539,15286,3683649
2033,41847,19150,7372,19150,18262,4374364
2034,55850,23682,9305,23682,21058,5109894
2035,73673,28134,11266,28134,22133,5878018
2036,97037,31267,12656,31267,21550,6670901
2037,125409,32727,13722,32727,29634,7486009
2038,147114,40971,17229,40971,36174,8317621
2039,170163,50282,21212,50282,42255,9163102
2040,197009,59842,25347,59842,47861,10007804
2041,230558,69064,29378,69064,53792,10849316
2042,271822,78460,33541,78460,60006,11680922
2043,320768,88237,37958,88237,65471,12495244
2044,376955,97757,42445,97757,70470,13284910
2045,438184,106950,47030,106950,72845,14043733
2046,504264,114222,51091,114222,75321,14778241
2047,570665,121084,55149,121084,77280,15476124
2048,635049,127639,59213,127639,78663,16136238
2049,695830,133846,63212,133846,79844,16758694
2050,752103,139640,66887,139640,81159,17342641
