"State","Segment","Year","ret_ICE","ret_BEV","ret_PHEV","ret_EV","Growth_seg","add_BEV","add_PHEV","add_ICE","Demand_total","exp_ICE","exp_BEV","exp_PHEV"
"Alabama","Car",2020,126196.203265583,0,0,0,0,403.89597580029,136.973983731452,73043,73583.8699595317,8312.02743329685,0,0
"Alabama","Car",2021,119368.216586529,0,1,1,0,673.735338576306,213.909861285856,76463,77350.6451998622,9125.99576521818,0,0.0764524764312183
"Alabama","Car",2022,113723.436701408,2,1,3,0,1079.2950484892,137.495012248035,72933,74149.7900607372,8761.08781374009,0.154077085038208,0.077038542519104
"Alabama","Car",2023,108980.787828755,4,4,8,0,1230.31812701214,99.6774660831488,77823,79152.9955930953,9124.23211535369,0.334893233830936,0.334893233830936
"Alabama","Car",2024,104976.681283551,6,6,12,0,1032.56225580149,120.88893820179,76417,77570.4511940033,9495.49861097141,0.542720449620043,0.542720449620043
"Alabama","Car",2025,101519.201676246,12,8,20,6118.3933888168,8550.32279367839,1898.47713869948,97208.7951326853,107657.595065063,7987.81685357014,0.944193814176434,0.629462542784289
"Alabama","Car",2026,98580.3404120106,27,24,51,6118.3933888168,11087.0121007872,2456.07771415384,91206.6439858863,104749.733800827,7756.57896803562,2.12443608189698,1.88838762835287
"Alabama","Car",2027,95933.8887473142,50,42,92,6118.3933888168,14338.0874118777,3496.02104651014,84310.1736777432,102144.282136131,7548.34869375868,3.93414089240181,3.30467834961752
"Alabama","Car",2028,93476.6669503023,79,66,145,6118.3933888168,17570.456677465,3596.71481251497,78572.8888491391,99740.060339119,7355.00755869217,6.21594260999486,5.19306597797039
"Alabama","Car",2029,91139.5600948185,120,96,216,6118.3933888168,20638.6337598867,4570.87601418256,72264.4437095661,97473.9534836353,7171.11740569075,9.44193814176434,7.55355051341147
"Alabama","Car",2030,88876.2823630458,191,135,326,6118.3933888168,23722.1104898432,5046.81075927322,66551.7545027462,95320.6757518626,6993.03633618216,15.0284182089749,10.6221804094849
"Alabama","Car",2031,86678.8596021903,281,166,447,1789.42422043506,25761.7332694379,5871.93270464031,57281.6178485472,88915.2838226254,6820.13692135464,22.1098718152982,13.061347762774
"Alabama","Car",2032,84549.0197072266,396,191,587,1789.42422043506,28494.5775944084,6810.32359387349,51620.5427393798,86925.4439276617,6652.55511685373,31.1583958678223,15.0284182089749
"Alabama","Car",2033,82540.4301934645,554,221,775,1789.42422043506,33042.649737419,7407.93272288952,44654.271953591,85104.8544138996,6494.51363401091,43.590281087812,17.388902744416
"Alabama","Car",2034,80690.7498412335,780,249,1029,1789.42422043506,35190.0103635423,7509.99900699534,40809.1646911309,83509.1740616686,6348.97557177923,61.3725979214682,19.592021644161
"Alabama","Car",2035,79046.3726375969,1087,283,1370,1789.42422043506,37030.9042401984,7470.04372555153,37704.848892282,82205.7968580319,6219.59133979202,85.5282230008153,22.2672374509942
"Alabama","Car",2036,77618.942488312,1476,339,1815,1789.42422043506,38638.3107142507,7380.52220051066,35204.5337939857,81223.366708747,6107.27711336505,116.135839143701,26.6734752504843
"Alabama","Car",2037,76386.2026881198,2468,532,3000,1789.42422043506,40353.742189705,7309.06400342435,33512.8207154255,81175.6269085548,6010.2816722125,194.189194448953,41.8592590951552
"Alabama","Car",2038,75293.6444768541,3860,831,4691,1789.42422043506,42170.7163095827,7252.83907711161,32350.5133105949,81774.0686972892,5924.31611348711,303.71567689342,65.385421631718
"Alabama","Car",2039,74259.8690321696,5754,1266,7020,1789.42422043506,44187.6655470101,7238.01709928983,31643.6106063047,83069.2932526046,5842.97574847722,452.7409338976,99.6124473956138
"Alabama","Car",2040,73189.9551442005,8095,1770,9865,1789.42422043506,46274.0611062488,7248.15307944302,31322.1651789437,84844.3793646355,5758.79190891706,636.937410479853,139.268587591024
"Alabama","Car",2041,72027.0930726311,10782,2365,13147,-204.626077448018,47333.3772403309,7119.21203862501,30516.8777162271,84969.4669951831,5667.29464435738,848.358142037526,186.084864210605
"Alabama","Car",2042,70643.7265525697,13681,2996,16677,-204.626077448318,49450.8866365278,7161.82167743817,30503.3921611554,87116.1004751213,5558.44746844231,1076.45963097898,235.733722272716
"Alabama","Car",2043,68988.0924576993,16612,3648,20260,-204.626077448018,51344.1489743618,7185.83378184277,30513.4836240467,89043.4663802513,5428.17751253263,1307.07897009158,287.034919509636
"Alabama","Car",2044,67036.5833706802,19536,4315,23851,-204.626077448318,53076.5459187096,7188.16651845349,30418.2448560688,90682.9572932319,5274.62727850992,1537.14752947923,339.516359014276
