"State","Year","add_BEV","add_PHEV","add_ICE","ret_ICE","ret_BEV","ret_PHEV","Growth_from_pop","exp_ICE","exp_BEV","exp_PHEV","ret_EV","Demand_total","Export_All"
"Alabama",2020,814.613712938006,287.653390088173,175973,250920.627625492,0,0,0,16527.1148135403,0,0,0,177075.267103026,16527.1148135403
"Alabama",2021,1705.51520251318,880.025662778367,184213,242282.180986063,0,1,0,18523.0727315411,0,0.0764524764312183,1,186798.540865292,18523.1491840176
"Alabama",2022,2987.16962370833,986.902502686934,175709,234951.547396313,2,1,0,18100.3247740202,0.154077085038208,0.0770385425191041,3,179683.072126395,18100.5558896477
"Alabama",2023,4435.16939938242,1456.88365867262,187489,228587.97121794,4,4,0,19138.1412240072,0.334893233830936,0.334893233830936,8,193381.053058055,19138.8110104749
"Alabama",2024,5004.80494063411,1677.14779698829,184103,223060.424778874,9,6,0,20176.5756714047,0.814080674430064,0.542720449620043,15,190784.952737622,20177.9324725288
"Alabama",2025,18500.3089658181,4107.72955337431,210330.391909791,218164.088105937,20,14,14740.3423230462,17165.7652054224,1.57365635696072,1.10155944987251,34,232938.430428983,17168.4404212292
"Alabama",2026,24211.1146486597,5363.42691636232,199171.291073543,213923.490315519,46,36,14740.3423230462,16832.1030219121,3.61940962100966,2.8325814425293,82,228745.832638565,16838.5550129757
"Alabama",2027,31582.4116348864,7700.66275950052,185709.46972282,210111.201794161,81,60,14740.3423230462,16532.1414186019,6.37330824569093,4.72096907088217,141,224992.544117207,16543.2356959185
"Alabama",2028,39039.5733281538,7991.49471417688,174580.098408314,206642.824127598,130,98,14740.3423230462,16259.2396904356,10.2287663202447,7.71091614910754,228,221611.166450644,16277.1793729049
"Alabama",2029,46275.7823187425,10248.7822546367,162030.767413902,203461.989664235,210,143,14740.3423230462,16008.96267175,16.5233917480876,11.2516429522692,353,218555.331987281,16036.7377064504
"Alabama",2030,53704.2677750823,11425.4284643949,150665.904968586,200509.258885017,339,207,14740.3423230462,15776.6334936945,26.6734752504843,16.2873432945435,546,215795.601208063,15819.5943122395
"Alabama",2031,58768.5606882961,13395.2568292302,130672.816135775,197747.579444434,509,269,4311.05420886703,15559.3367733165,40.0495542846504,21.1656780011217,778,202836.633653301,15620.5520056023
"Alabama",2032,65729.1130198938,15709.5337778091,119074.321302828,195112.913891664,754,335,4311.05420886703,15352.0338635374,59.3268446574193,26.3587439790921,1089,200512.968100531,15437.7194521739
"Alabama",2033,77074.812731099,17279.6380398846,104159.916829219,192614.313391336,1137,452,4311.05420886703,15155.436935495,89.4623638932171,35.5646336673123,1589,198514.367600203,15280.4639330556
"Alabama",2034,82956.8142630298,17704.0468673547,96203.3901251391,190222.197046657,1724,607,4311.05420886703,14967.2184808753,135.649177970014,47.7604704337579,2331,196864.251255524,15150.6281292791
"Alabama",2035,88143.6216280134,17780.7353398347,89747.7931606923,187941.095919673,2589,831,4311.05420886703,14787.735016408,203.709815408566,65.385421631718,3420,195672.15012854,15056.8302534482
"Alabama",2036,92725.2721232701,17711.9785208875,84484.8005949756,185743.997030266,3739,1128,4311.05420886703,14614.8610846986,294.195055933807,88.7542185325848,4867,194922.051239133,14997.810359165
"Alabama",2037,97220.7209947162,17609.0848989646,80739.490707049,183583.242391863,6041,1634,4311.05420886703,14444.8468210708,475.322902619986,128.567724363691,7675,195569.29660073,15048.7374480545
"Alabama",2038,101703.556098308,17491.7476036186,78020.0701628943,181391.319655954,9195,2318,4311.05420886703,14272.3801637043,723.488510112692,182.386771771748,11513,197215.373864821,15178.2554455888
"Alabama",2039,106399.153569018,17428.3679246013,76194.4163082463,179080.883592999,13375,3255,4311.05420886703,14090.5885438133,1052.38268871748,256.112572095358,16630,200021.937801866,15399.0838046261
"Alabama",2040,111091.069584067,17400.786938833,75195.7521823777,176553.554496411,18514,4309,4311.05420886703,13891.7311688644,1456.73368963854,339.044262107188,22823,203687.608705278,15687.5091206102
"Alabama",2041,113230.447608988,17030.5102393993,73002.1799605058,173771.11991026,24432,5553,-492.982101366524,13672.8013751482,1922.37860566322,436.925687510145,29985,203263.137808893,16032.1056683216
"Alabama",2042,117996.132381273,17089.0213749543,72784.9902061595,170566.126063754,30904,6893,-492.982101367248,13420.6234281195,2431.61380277571,542.360663426513,37797,207870.143962387,16394.5978943217
"Alabama",2043,122405.500266363,17131.1745635634,72744.7684396516,166877.425370945,37569,8328,-492.982101366524,13130.3860634113,2956.03478373287,655.270507038445,45897,212281.443269578,16741.6913541826
"Alabama",2044,126653.003262016,17152.6398666551,72585.0184539316,162671.64368397,44365,9847,-492.982101367248,12799.4633090265,3490.76321382812,774.789707349612,54212,216390.661582603,17065.0162302042
"Alabama",2045,130634.20233665,17167.7800835985,72522.4754923506,157957.440013966,51474,11386,-492.982101366524,12428.536480361,4050.11936590981,895.88256401774,62860,220324.457912599,17374.5384102885
"Alabama",2046,134193.312377108,17124.8976232158,72371.3549197127,152781.547021403,58546,12855,-492.982101366524,12021.2826348262,4606.56425373112,1011.4676234365,71401,223689.564920037,17639.3145119939
"Alabama",2047,137282.022639845,17050.6375986398,72077.0182743111,147209.660614163,65524,14169,-492.982101367248,11582.8709115754,5155.61295667472,1114.85684608882,79693,226409.678512796,17853.340714339
"Alabama",2048,140019.856752387,16932.3656413329,71442.1948316287,141352.399326715,72267,15268,-492.982101366524,11122.0050886068,5686.17119742403,1201.32926290382,87535,228394.417225349,18009.5055489346
"Alabama",2049,142313.797250057,16785.9388683147,70512.4252439412,135321.14346368,78662,16122,-492.982101367248,10647.4488821407,6189.34781756222,1268.52438934604,94784,229612.161362313,18105.3210890489
"Alabama",2050,144074.278643452,16568.1563963753,69449.6274216493,129243.044562843,84633,16709,-492.982101366524,10169.2069334638,6659.16292293284,1314.71120342284,101342,230092.062461477,18143.0810598195
"Alaska",2020,252.811152291105,54.7911219215567,21077,24983.8727077909,0,0,0,1645.5854452302,0,0,0,21384.6022742127,1645.5854452302
"Alaska",2021,471.738247503646,133.337221633086,21218,24886.4691752786,0,0,0,1902.63219807923,0,0,0,21823.0754691367,1902.63219807923
"Alaska",2022,686.705660622604,157.007216336558,19840,24808.0730955216,0,0,0,1911.17779398638,0,0,0,20683.7128769592,1911.17779398638
"Alaska",2023,921.150567564041,226.068153931958,20925,24736.7154429401,0,0,0,2071.03965726046,0,0,0,22072.218721496,2071.03965726046
"Alaska",2024,1039.45948767016,260.247071946459,20547,24678.7034926409,1,0,0,2232.2728425943,0.0904534082700071,0,1,21846.7065596166,2232.36329600257
"Alaska",2025,2395.51952918728,508.439186050601,22861.3096164385,24627.7689903493,3,1,1133.4993413271,1937.78226147117,0.236048453544108,0.0786828178480361,4,25765.2683316764,1938.09699274256
"Alaska",2026,3178.9580218455,673.549719713424,21891.8905203792,24595.8989206109,10,5,1133.49934132717,1935.27463457914,0.786828178480361,0.393414089240181,15,25744.3982619381,1936.45487684686
"Alaska",2027,4122.74202262959,962.285077551333,20649.3282618421,24567.8560206959,23,10,1133.4993413271,1933.06814019319,1.80970481050483,0.786828178480361,33,25734.355362023,1935.66467318218
"Alaska",2028,5166.12029487694,1011.94131221564,19550.2473347539,24537.8096005194,40,17,1133.4993413271,1930.70400318746,3.14731271392145,1.33760790341661,57,25728.3089418465,1935.1889238048
"Alaska",2029,6179.79531565706,1309.95241955196,18238.1368358558,24499.3852297376,65,30,1133.49934132717,1927.68066542031,5.11438316012235,2.36048453544108,95,25727.8845710648,1935.15553311587
"Alaska",2030,7234.39247165678,1474.19343547024,17008.3429720343,24443.4295378342,102,38,1133.4993413271,1923.27791390671,8.02564742049969,2.98994707822537,140,25716.9288791613,1934.29350840544
"Alaska",2031,7906.54359339582,1726.39565910211,14576.262292325,24361.5769203391,141,52,-345.375375516197,1916.83751931396,11.0942773165731,4.09150652809788,193,24209.2015448229,1932.02330315863
"Alaska",2032,8897.97298277868,2038.31361751108,13212.2969522431,24240.9589280491,191,62,-345.375375516271,1907.34695579742,15.0284182089749,4.87833470657824,253,24148.5835525329,1927.25370871297
"Alaska",2033,10465.0118048072,2249.99975604971,11360.3160116051,24078.7029479783,266,76,-345.375375516271,1894.58019807274,20.9296295475776,5.97989415645075,342,24075.327572462,1921.48972177677
"Alaska",2034,11288.1020126243,2312.12517572202,10393.6926891144,23868.295252977,376,95,-345.375375516197,1878.02472773314,29.5847395108616,7.47486769556343,471,23993.9198774608,1915.08433493956
"Alaska",2035,12006.0807434322,2325.58039060506,9582.34320312345,23610.3797126769,521,128,-345.375375516197,1857.73120625552,40.9937480988268,10.0714006845486,649,23914.0043371607,1908.7963550389
"Alaska",2036,12618.9737582755,2315.0974298176,8894.21143184929,23304.6579954586,700,169,-345.375375516271,1833.67616006745,55.0779724936253,13.2973962163181,869,23828.2826199424,1902.05152877739
"Alaska",2037,13183.2211054906,2293.25747230019,8360.68251185745,22951.5364651644,1003,228,-345.375375516197,1805.89156302109,78.9188663015803,17.9396824693522,1231,23837.1610896482,1902.75011179202
"Alaska",2038,13716.9626990977,2266.00194642979,7942.38160719902,22551.7216282428,1403,316,-345.375375516271,1774.43300503464,110.391993440795,24.8637704399794,1719,23925.3462527265,1909.68876891542
"Alaska",2039,14247.5522522386,2242.81547587789,7622.69426054124,22105.4373641739,1927,426,-345.375375516197,1739.31810157647,151.621789993166,33.5188804032634,2353,24113.0619886577,1924.4587719729
"Alaska",2040,14772.8993258914,2224.60271988067,7399.43110506488,21612.3085263532,2573,557,-345.375375516271,1700.51733505461,202.450890322997,43.8263295413561,3130,24396.9331508369,1946.79455491896
"Alaska",2041,14962.6127851662,2164.62104774725,7093.49380231793,21073.7000729005,3329,715,-896.972437669124,1658.13810422018,261.935100616112,56.2582147613458,4044,24220.7276352314,1976.33141959764
"Alaska",2042,15506.1261110665,2160.6528616241,6972.93560034303,20485.6870107028,4167,884,-896.972437669199,1611.87157955501,327.871301972767,69.555610977664,5051,24639.7145730336,2009.29849250544
"Alaska",2043,16020.374543633,2157.80091548493,6886.28806315042,19848.4359599376,5047,1066,-896.972437669199,1561.73087120418,397.112181679038,83.8758838260065,6113,25064.4635222684,2042.71893670923
"Alaska",2044,16539.7543013636,2156.46614894588,6796.075793663,19163.2686816416,5961,1265,-896.972437669124,1507.81997905059,469.028277192143,99.5337645777657,7226,25492.2962439725,2076.38202082049
"Alaska",2045,17036.8705388834,2156.73916332008,6739.57975337056,18434.1618932431,6927,1469,-896.972437669124,1450.45180242726,545.035879233346,115.585059418765,8396,25933.189455574,2111.07274107937
"Alaska",2046,17501.3007167716,2152.22317179809,6683.33537631561,17667.8317025545,7899,1667,-896.972437669199,1390.15478362185,621.515578181637,131.164257352676,9566,26336.8592648853,2142.83461915617
"Alaska",2047,17912.2964019572,2144.57627940107,6611.18680565638,16872.0319246839,8854,1839,-896.972437669199,1327.53901465615,696.657669226512,144.697702022538,10693,26668.0594870147,2168.8943859052
"Alaska",2048,18280.7335937948,2132.37967473657,6517.19366986009,16058.2793760606,9784,1985,-896.972437669124,1263.51067109945,769.832689825186,156.185393428352,11769,26930.3069383915,2189.52875435299
"Alaska",2049,18577.7931859868,2114.93648027187,6396.24647965649,15237.9485835843,10652,2096,-896.972437669124,1198.96473277991,838.129375717281,164.919186209484,12748,27088.9761459152,2202.01329470667
"Alaska",2050,18799.8943851687,2088.15699199028,6267.74481730997,14423.7686321382,11455,2174,-896.972437669199,1134.90275996475,901.311678449254,171.056446001631,13629,27155.796194469,2207.27088441563
"Arizona",2020,8089.95687331537,1534.15141380359,239949,313531.065341536,13,6,0,20651.0081038261,0.85625679566169,0.395195444151549,19,249573.108287119,20652.2595560659
"Arizona",2021,14769.0359026142,4133.45387062566,248745,307156.042596282,23,10,0,23482.8401072985,1.75840695791802,0.764524764312183,33,267647.48977324,23485.3630390207
"Arizona",2022,22592.6162344837,4575.63887609397,239516,301375.766586292,38,18,0,23217.5498083857,2.92746461572595,1.38669376534387,56,266684.255110578,23221.8639667667
