"State","Year","add_BEV","add_PHEV","add_ICE","ret_ICE","ret_BEV","ret_PHEV","Growth_from_pop","exp_ICE","exp_BEV","exp_PHEV","ret_EV","Demand_total","Export_All"
"Alabama",2020,729.035921091373,253.300134589502,175973,250520.491513516,0,0,0,16617.9005300996,0,0,0,176955.336055681,16617.9005300996
"Alabama",2021,1563.25412541254,748.002796136248,184213,242353.710376731,0,1,0,18640.3446695204,0,0.0769137994237619,1,186524.256921549,18640.4215833198
"Alabama",2022,2817.65937845474,822.648755432635,175709,235293.942744843,1,1,0,18224.7362999399,0.0774551868498508,0.0774551868498508,2,179349.308133887,18224.8912103136
"Alabama",2023,4236.56177057848,1277.68604651163,187489,229077.064112914,3,5,0,19274.9438265964,0.25242523385618,0.420708723093633,8,193003.24781709,19275.6169605534
"Alabama",2024,4621.43986051351,1433.57879436965,184103,223621.277359023,8,6,0,20322.6643406623,0.727038663965214,0.54527899797391,14,190158.018654883,20323.9366583243
"Alabama",2025,18546.8323361954,4118.05940374462,210859.317061393,218752.866478286,17,14,14740.3423230462,17309.384085786,1.34516879342274,1.10778606517167,31,233524.208801333,17311.8370406446
"Alabama",2026,24271.5961076048,5376.82522080035,199668.838189358,214517.917194717,34,25,14740.3423230462,16974.2828141398,2.69033758684548,1.97818940209226,59,229317.259517764,16978.9513411288
"Alabama",2027,31658.451286998,7719.20332328112,186156.594649024,210698.906936257,56,39,14740.3423230462,16672.0937893491,4.43114426068667,3.08597546726393,95,225534.249259303,16679.610909077
"Alabama",2028,39127.0538353859,8009.40218476479,174971.300316004,207218.414013108,91,58,14740.3423230462,16396.6908207639,7.20060942361584,4.58939941285406,149,222107.756336155,16408.4808296004
"Alabama",2029,46370.8792169693,10269.8435388373,162363.741220638,204024.121653399,152,88,14740.3423230462,16143.9342090375,12.027391564721,6.96322669536477,240,219004.463976445,16162.9248272976
"Alabama",2030,53795.2494264718,11444.7845489779,150921.151588828,201058.843241231,238,124,14740.3423230462,15909.2989158694,18.8323631079184,9.81181943437763,362,216161.185564278,15937.9430984117
"Alabama",2031,58856.9376970235,13415.4008095462,130869.323800363,198286.608098066,365,179,4311.05420886703,15689.9386686566,28.8815652705471,14.1638361189806,544,203141.662306933,15732.9840700462
"Alabama",2032,65805.8441093982,15727.8728301254,119213.32671437,195643.989445026,550,242,4311.05420886703,15480.8346601281,43.5201668460298,19.1488734122531,792,200747.043653893,15543.5037003864
"Alabama",2033,77105.4519325603,17286.5071361863,104201.323049524,193140.227909404,824,318,4311.05420886703,15282.7180787227,65.2011226929611,25.1625691946136,1142,198593.282118271,15373.0817706103
"Alabama",2034,82886.1700054316,17688.9704778075,96121.4653654409,190745.551639813,1218,422,4311.05420886703,15093.2331500048,96.3773876699352,33.3918371073174,1640,196696.60584868,15223.0023747821
"Alabama",2035,87893.6539710365,17730.3107184028,89493.2762125471,188464.186693119,1785,557,4311.05420886703,14912.7142716107,141.242723309388,44.0740598786157,2342,195117.240901986,15098.0310547987
"Alabama",2036,92250.3225778642,17621.2557227323,84052.0596957853,186268.583787515,2603,741,4311.05420886703,14738.9815356479,205.969080545847,58.6335338780147,3344,193923.637996382,15003.5841500717
"Alabama",2037,96028.7867488657,17393.1960317106,79749.6177357151,184110.546307424,3758,992,4311.05420886703,14568.2212607506,297.361430922509,78.4945554750211,4750,193171.600516291,14944.0772471481
"Alabama",2038,99494.2228993357,17111.7697525849,76325.2195813629,181920.158024416,5354,1346,4311.05420886703,14394.901145234,423.64904235208,106.505717408648,6700,192931.212233283,14925.0559049948
"Alabama",2039,102789.010064955,16837.0200882803,73609.1252805064,179608.101224875,7502,1814,4311.05420886703,14211.9536949185,593.615075779847,143.537423015815,9316,193235.155433742,14949.1061937142
"Alabama",2040,105616.408903469,16543.261627193,71490.0427193019,176629.659041097,10293,2416,4311.05420886703,13976.2767844107,814.460140629427,191.172223818196,12709,193649.713249964,14981.9091488583
"Alabama",2041,106007.930941408,15944.2022130793,68345.663337387,173835.778593241,13787,3168,-492.982101366524,13755.2037967043,1090.93189146584,250.676161033132,16955,190297.796491874,15096.8118492032
"Alabama",2042,109064.891055592,15795.536827289,67275.8239368951,170608.233921143,17967,4054,-492.982101367248,13499.8160100993,1421.68515949567,320.783193443282,22021,192136.251819776,15242.2843630383
"Alabama",2043,111955.974790108,15668.7186718708,66534.6854824292,166883.361045775,22711,5058,-492.982101366524,13205.0758482515,1797.0663804367,400.227279831307,27769,194159.378944408,15402.3695085195
"Alabama",2044,114753.096299473,15541.0332460608,65765.1646468381,162625.276293739,27798,6129,-492.982101367248,12868.143923064,2199.58835997443,484.97291381694,33927,196059.294192372,15552.7051968554
"Alabama",2045,117145.518783641,15395.1145127663,65034.1400878428,157839.755485616,33007,7221,-492.982101366524,12489.4772612192,2611.76390379438,571.38022690033,40228,197574.77338425,15672.6213919139
"Alabama",2046,119163.427359123,15206.8792237713,64265.6369538104,152569.925638071,38247,8312,-492.982101366524,12072.4883990095,3026.39240247291,657.708412407636,46559,198635.943536705,15756.5892138901
"Alabama",2047,120755.831029229,14998.0592739632,63400.2914034656,146878.163808025,43414,9355,-492.982101367248,11622.1130817523,3435.24458809734,740.238474262926,52769,199154.181706658,15797.5961441125
"Alabama",2048,122070.252237691,14761.750174288,62283.7856414429,140871.770154789,48416,10321,-492.982101366524,11146.8417109672,3831.04072366796,816.675712759771,58737,199115.788053422,15794.558147395
"Alabama",2049,123041.0768179,14512.7179069496,60963.3422668917,134659.119093109,53190,11161,-492.982101367248,10655.2496914027,4208.7957718915,883.142876670071,64351,198517.136991742,15747.1883399643
"Alabama",2050,123575.510798094,14210.8529637801,59568.3925276254,128364.738390866,57659,11824,-492.982101366524,10157.1906034863,4562.41690940952,935.604459613558,69483,197354.756289499,15655.2119725094
"Arizona",2020,7240.08087152812,1350.93405114401,239949,313048.825165298,10,6,0,20765.6236271626,0.663334980292541,0.398000988175525,16,248540.014922672,20766.6849631311
"Arizona",2021,13537.1155115512,3513.34646670056,248745,307183.940443624,21,10,0,23626.6839814817,1.615189787899,0.769137994237619,31,265795.461978252,23629.0683092639
"Arizona",2022,21310.5732301519,3814.09877518767,239516,301702.181674273,33,19,0,23368.3988545885,2.55602116604508,1.47164855014716,52,264640.67200534,23372.4265243047
"Arizona",2023,29264.8651536882,5639.44186046512,254068,296538.264368631,56,27,0,24951.2469101858,4.71193769864869,2.27182710470562,83,288972.307014153,24958.2306749892
"Arizona",2024,31923.4845749318,6327.52019583843,249480,291822.815380228,97,49,0,26520.808726076,8.81534380057822,4.45311181678693,146,287731.00477077,26534.0771816934
"Arizona",2025,29768.971183256,6046.11353421691,298020.567118634,287546.41274329,160,76,46053.2390928162,22752.850651937,12.6604121733905,6.01369578236049,236,333835.651836107,22771.5247598928
"Arizona",2026,39211.1367055251,7940.30107298401,283275.747592527,284001.946278219,253,119,46053.2390928169,22472.385612046,20.0192767491737,9.41618155395918,372,330427.185371036,22501.8210703491
"Arizona",2027,51415.8479407035,11452.0745425764,264747.441663313,280990.125053776,393,179,46053.2390928162,22234.0674989584,31.0971374008904,14.1638361189806,572,327615.364146593,22279.3284724783
"Arizona",2028,63567.4095564484,11894.6320048759,249954.694945714,278483.497414222,611,269,46053.2390928162,22035.7241296961,48.346948987135,21.2853179665128,880,325416.736507038,22105.3563966497
"Arizona",2029,75506.1875467318,15318.3880088664,232982.92739496,276441.263857741,924,389,46053.2390928169,21874.127138575,73.1138803013301,30.7806270965556,1313,323807.502950558,21978.0216459729
