"State","Segment","Year","LIB_recycling","LIB_available","LIB_reuse_EV","EV_stock","LIB_recycling_vector","LIB_available_vector","LIB_reuse_vector","EV_stock_vector"
"Alabama","Car",2020,63.4640217725224,17.4202466040467,11,6102,"0|0|0|0|0|2|6|10|7|9|10|16|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|0|0|0|0|0|0|1|2|2|2|2|7|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|0|0|0|0|0|1|2|2|2|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","650|731|333|287|212|261|644|720|324|275|199|237|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
"Alabama","Car",2021,90.6461674923539,28.1681944281527,13,7283,"1|0|2|1|1|2|3|10|16|11|13|13|21|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|0|0|0|0|0|0|0|2|3|2|3|6|9|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|0|0|0|0|0|0|2|3|2|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","1229|650|730|332|286|212|259|640|712|319|268|193|224|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
"Alabama","Car",2022,124.1513021705,43.2817338796974,18,11513,"1|1|1|2|1|2|2|3|14|23|15|18|17|24|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|2|1|0|0|0|0|0|1|3|5|3|8|8|11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|2|1|0|0|0|1|1|3|5|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","1226|1229|650|729|332|285|211|258|632|701|312|259|182|208|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
"Alabama","Car",2023,164.312373714158,63.1286074846508,24,18772,"3|1|2|2|3|2|3|4|6|21|33|21|23|19|24|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|2|2|2|0|2|0|0|0|2|4|7|9|10|9|11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|2|2|2|0|2|0|2|2|4|7|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","4299|1226|1228|650|729|332|284|210|253|622|683|300|244|168|185|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
"Alabama","Car",2024,209.505957131915,92.6837845108852,28,29456,"5|4|2|3|3|5|3|4|4|8|30|45|26|26|19|21|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|4|4|2|2|2|2|1|1|2|2|7|21|12|12|9|11|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|4|4|2|2|2|2|1|2|2|7|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","7360|4296|1226|1226|648|727|330|282|203|245|605|658|283|225|149|158|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
"Alabama","Car",2025,257.987940914604,125.969067984356,38,39918,"7|8|7|3|4|4|7|5|6|7|13|41|57|30|26|17|16|0|0|0|0|0|0|0|0|0|0|0|0|0","0|8|6|5|4|2|2|2|2|2|2|3|20|26|14|12|8|8|0|0|0|0|0|0|0|0|0|0|0|0|0","1|6|6|5|4|2|2|2|2|3|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1","10831|7358|4294|1225|1225|647|724|327|274|195|235|581|622|260|199|126|128|0|0|0|0|0|0|0|0|0|0|0|0|0"
"Alabama","Car",2026,306.993749940912,156.073839977366,55,53542,"7|11|12|10|4|7|6|10|7|9|10|16|51|66|30|23|13|11|0|0|0|0|0|0|0|0|0|0|0|0","0|10|9|8|6|4|4|2|3|2|2|2|8|24|31|15|12|7|6|0|0|0|0|0|0|0|0|0|0|0|0","2|9|7|8|6|4|4|2|3|2|5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2","10666|10827|7353|4290|1222|1222|644|720|318|263|182|220|548|572|230|168|101|96|0|0|0|0|0|0|0|0|0|0|0|0"
"Alabama","Car",2027,360.160267094559,185.238530952257,76,71608,"9|11|17|18|17|7|11|10|16|11|14|14|21|58|66|27|18|9|7|0|0|0|0|0|0|0|0|0|0|0","0|12|11|12|9|8|5|5|3|4|3|3|8|10|27|33|14|9|5|3|0|0|0|0|0|0|0|0|0|0|0","0|15|11|9|9|8|5|5|3|4|3|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","13897|10662|10820|7345|4283|1219|1218|640|701|304|248|166|202|502|507|194|133|76|69|0|0|0|0|0|0|0|0|0|0|0"
"Alabama","Car",2028,425.346787522795,213.257154594582,106,93193,"12|15|17|27|29|26|11|18|14|23|15|17|17|24|59|59|21|12|6|3|0|0|0|0|0|0|0|0|0|0","0|13|14|14|14|12|10|6|6|5|6|3|8|9|11|28|30|11|6|3|2|0|0|0|0|0|0|0|0|0|0","2|11|17|14|11|12|10|6|6|5|6|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2","18417|13892|10655|10809|7334|4272|1215|1209|623|677|287|228|146|176|443|429|154|98|52|43|0|0|0|0|0|0|0|0|0|0"
"Alabama","Car",2029,517.070402253822,241.368684403423,135,119134,"14|19|22|27|42|44|40|18|27|21|33|21|22|19|24|52|45|14|8|3|2|0|0|0|0|0|0|0|0|0","0|12|16|16|16|18|16|13|7|8|6|7|9|11|10|11|27|24|8|4|2|1|0|0|0|0|0|0|0|0|0","0|13|15|20|17|15|15|12|7|8|8|5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","22027|18410|13884|10645|10792|7316|4255|1208|1186|600|646|264|203|120|145|373|343|115|67|35|27|0|0|0|0|0|0|0|0|0"
"Alabama","Car",2030,658.328213883751,278.953824030949,167,149033,"17|22|29|34|42|65|69|62|27|39|30|45|26|26|19|21|41|31|9|4|2|1|0|0|0|0|0|0|0|0","0|11|15|18|18|19|22|20|17|8|10|7|21|12|12|10|11|21|17|5|3|0|0|0|0|0|0|0|0|0|0","0|11|15|18|23|22|20|19|12|8|12|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","26469|22017|18399|13869|10628|10766|7287|4230|1184|1154|567|606|236|174|93|113|297|256|80|44|22|16|0|0|0|0|0|0|0|0"
"Alabama","Car",2031,877.075294525227,327.889213448411,210,182371,"19|27|35|46|54|65|101|105|93|40|55|40|56|29|26|17|16|27|19|5|2|0|0|0|0|0|0|0|0|0","0|10|14|17|20|21|24|30|28|23|11|13|19|26|14|12|9|8|15|10|3|1|0|0|0|0|0|0|0|0|0","0|10|14|17|20|29|31|28|27|11|11|13|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","30516|26458|22004|18380|13847|10601|10724|7243|4181|1154|1110|528|554|203|141|66|81|220|177|53|29|14|9|0|0|0|0|0|0|0"
"Alabama","Car",2032,1205.01080266135,405.154329395681,262,220055,"22|30|42|54|71|83|99|155|158|136|55|75|50|64|30|23|13|11|17|10|2|1|0|0|0|0|0|0|0|0","0|9|12|17|20|25|26|30|39|38|32|13|34|23|30|14|11|7|6|10|5|1|0|0|0|0|0|0|0|0|0","0|9|12|17|20|25|39|41|41|34|9|13|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","34070|30504|26441|21981|18351|13813|10561|10658|7165|4107|1110|1052|476|487|165|106|42|54|150|117|34|19|8|6|0|0|0|0|0|0"
"Alabama","Car",2033,1679.30397429416,519.794154201758,344,263802,"25|34|49|66|86|111|130|152|232|233|194|75|94|57|66|27|18|9|6|9|5|1|0|0|0|0|0|0|0|0","0|11|13|17|22|26|31|33|39|55|53|43|35|43|27|31|14|9|5|3|6|3|0|0|0|0|0|0|0|0|0","0|11|13|17|22|26|31|57|56|61|46|5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","38564|34057|30485|26414|21947|18305|13760|10497|10547|7047|3998|1051|973|410|402|126|72|26|35|99|76|22|11|6|3|0|0|0|0|0"
"Alabama","Car",2034,2342.18068388245,728.61835918384,434,310423,"29|40|54|76|103|133|172|198|230|343|333|264|94|107|58|59|21|12|6|3|4|2|0|0|0|0|0|0|0|0","0|16|16|19|24|29|34|42|46|55|78|75|118|43|50|28|29|11|6|3|2|3|2|0|0|0|0|0|0|0|0","0|16|16|19|24|29|34|48|79|84|81|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","44859|38548|34035|30455|26373|21893|18235|13676|10382|10376|6869|3837|969|865|326|305|86|46|15|22|63|48|14|7|4|2|0|0|0|0"
"Alabama","Car",2035,3229.10485928737,1058.78259169603,536,359312,"32|46|62|85|119|160|205|261|298|338|490|454|333|107|110|52|45|14|7|2|2|2|1|0|0|0|0|0|0|0","0|24|24|24|28|33|40|48|59|66|78|111|205|150|50|52|26|24|8|4|2|1|1|0|0|0|0|0|0|0|0","0|24|24|24|28|33|40|61|77|102|117|6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","48102|44842|38523|34000|30407|26308|21808|18125|13524|10206|10117|6606|3608|856|726|233|214|55|28|9|14|40|30|8|4|2|1|0|0|0"
"Alabama","Car",2036,4365.5199459224,1543.54193898417,657,409917,"34|50|72|97|133|185|247|313|394|439|483|670|571|382|110|98|41|31|9|4|2|1|1|0|0|0|0|0|0|0","0|40|36|34|36|40|49|58|70|87|97|111|305|259|175|52|49|21|17|5|2|0|0|0|0|0|0|0|0|0|0","0|40|36|34|36|40|49|58|121|105|131|7|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","50903|48083|44813|38485|33947|30332|26207|21676|17914|13290|9943|9736|6228|3291|708|553|154|138|34|16|4|8|25|18|5|3|2|0|0|0"
"Alabama","Car",2037,5754.65899396316,2156.1297921188,859,461623,"36|53|78|113|151|207|285|378|472|582|626|660|842|654|390|98|76|27|19|5|2|0|0|0|0|0|0|0|0|0","0|66|57|51|49|51|58|70|86|103|129|139|306|385|303|185|49|40|15|10|3|1|0|0|0|0|0|0|0|0|0","0|66|57|51|49|51|58|70|116|178|147|16|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","53388|50882|48051|44769|38424|33863|30214|26048|21405|17594|12940|9553|9187|5707|2875|522|379|96|86|21|10|3|5|15|11|3|1|0|0|0"
"Alabama","Car",2038,7381.44226819281,2937.71529018183,1139,513871,"38|57|84|123|176|235|319|436|568|695|832|854|828|962|667|348|76|52|16|10|2|1|0|0|0|0|0|0|0|0","0|103|91|80|71|70|73|83|102|126|151|188|391|382|448|319|173|40|28|10|5|1|0|0|0|0|0|0|0|0|0","0|103|91|80|71|70|73|83|153|174|225|15|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","55554|53367|50850|48004|44698|38330|33732|30031|25699|21001|17119|12426|8994|8430|5026|2367|352|243|56|51|12|6|1|2|9|6|1|1|0|0"
"Alabama","Car",2039,9221.93705621543,3919.02690024273,1490,566020,"40|60|89|131|191|274|363|488|656|837|993|1134|1073|947|981|596|270|52|31|9|5|1|0|0|0|0|0|0|0|0","0|151|137|121|105|97|97|104|121|149|186|223|529|492|443|472|298|141|28|17|6|3|0|0|0|0|0|0|0|0|0","0|151|137|121|105|97|97|104|121|284|242|33|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","57487|55532|53333|50799|47929|44588|38181|33528|29598|25186|20405|16427|11693|8228|7442|4193|1786|222|147|32|29|7|3|1|1|5|4|1|0|0"
"Alabama","Car",2040,11255.1589443268,5071.61569361572,1935,617176,"42|63|94|138|203|296|424|554|734|964|1196|1352|1424|1228|965|876|463|183|31|17|4|2|0|0|0|0|0|0|0|0","0|208|195|175|153|135|128|133|146|172|213|275|629|660|572|464|438|242|100|17|10|3|2|0|0|0|0|0|0|0|0","0|208|195|175|153|135|128|133|146|191|438|32|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","59214|57465|55496|53279|50719|47810|44415|37950|33002|28970|24444|19555|15453|10696|7232|6242|3256|1192|133|85|18|17|4|2|0|1|3|2|0|0"
"Alabama","Car",2041,13469.4540701245,6395.79434725955,2436,665771,"44|66|99|146|216|316|457|647|834|1080|1371|1629|1698|1628|1252|862|679|312|109|17|8|2|1|0|0|0|0|0|0|0","0|271|262|238|211|186|169|166|182|204|245|301|776|784|762|601|432|356|171|62|10|4|1|0|0|0|0|0|0|0|0","0|271|262|238|211|186|169|166|182|204|419|127|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","60506|59191|57427|55441|53196|50594|47625|44146|37320|32258|28079|23397|18369|14134|9407|6025|4900|2285|755|75|47|9|10|2|1|0|0|1|2|0"
