"Year","Export_ICE","Export_BEV","Export_PHEV","Export_All"
2020,836605.232793707,35.2894209515632,23.482058302356,836664.004272961
2021,968107.445928784,71.9144024612174,46.6866762502235,968226.047007495
2022,973277.979237366,124.78030601511,79.2366561473973,973481.996199529
2023,1055495.97856807,229.706962809124,139.507012577849,1055865.19254346
2024,1138510.49247431,415.139077124137,246.82962641619,1139172.46117785
2025,990143.319216802,589.737824551746,338.74515321428,991071.802194568
2026,989244.835960843,939.956476298161,528.176570358635,990712.9690075
2027,988285.904858418,1455.39350690732,788.427168097894,990529.725533423
2028,987097.761733199,2195.8693638985,1143.15609168108,990436.787188779
2029,985400.337949809,3222.9453014648,1586.507900478,990209.791151752
2030,982806.9209187,4608.46915869022,2119.11561509732,989534.505692488
2031,978922.413547526,6436.47442137565,2714.31324239884,988073.2012113
2032,973357.167392175,8848.36206798262,3381.91260181694,985587.442061974
2033,965829.924912454,12011.0912840477,4133.38719188375,981974.403388385
2034,956055.278492186,16108.2380460851,4980.13138355532,977143.647921827
2035,943949.206558638,21324.8026269785,5973.97373916647,971247.982924783
2036,929421.00913658,27827.1111916558,7162.54905951959,964410.669387756
2037,912484.79854939,35842.0225007489,8609.63417093812,956936.455221076
2038,893121.601212759,45666.9771127565,10410.2612922986,949198.839617814
2039,871326.909339474,57376.8297146536,12580.8098318503,941284.548885978
2040,846198.013024246,70952.431433028,15081.8742567036,932232.318713978
2041,819706.613814792,86257.3663267115,17905.3835540979,923869.363695601
2042,790926.454376049,103080.838533017,21003.2281577744,915010.52106684
2043,760012.178012053,121102.223113654,24351.5115397558,905465.912665463
2044,727206.132334176,139929.996822159,27893.2618452618,895029.391001597
2045,692857.394022157,159129.195372802,31516.8300644383,883503.419459397
2046,657398.831095204,178133.186193246,35078.4413915413,870610.458679991
2047,621270.122667331,196405.167807339,38375.5292317965,856050.819706467
2048,585013.739232058,213403.51195679,41195.0821503867,839612.333339234
2049,549118.126529368,228673.393334268,43347.273092287,821138.792955923
2050,514080.289739872,241835.86997791,44709.770824872,800625.930542654
