"Year","Export_ICE","Export_BEV","Export_PHEV","Export_All"
2020,826415.266817512,34.6782756239494,23.2726830708253,826473.217776207
2021,956345.298010835,70.4831260042732,46.3262194778629,956462.107356317
2022,961487.68736242,122.254386710973,78.4491310191947,961688.39088015
2023,1042751.91122671,225.230305263935,138.165786964731,1043115.30731893
2024,1124819.19354816,406.968182144761,244.361583285589,1125470.52331359
2025,978168.02078038,578.778638327342,334.809167462902,979081.608586171
2026,977807.886559426,917.834856540301,521.83669864138,979247.558114608
2027,977630.041329375,1414.50384703319,780.356250779166,979824.901427187
2028,977457.634013952,2127.37918033921,1132.1536212423,980717.166815534
2029,977069.025486983,3114.50388337583,1575.10528465575,981758.634655015
2030,976134.580322648,4444.30266267175,2102.84066489443,982681.723650214
2031,974357.769160971,6183.70589208438,2690.27070289782,983231.745755953
2032,971326.545511662,8446.04690736988,3337.86729319369,983110.459712226
2033,966903.628232429,11386.4217099933,4056.48400992109,982346.533952344
2034,960857.878020507,15179.5099243229,4873.09749025168,980910.485435082
2035,953236.275985531,19980.0143063838,5836.39151963519,979052.68181155
2036,944034.2823107,25894.5830194552,6987.42092198886,976916.286252144
2037,933257.516204704,32975.9896015611,8345.29742568795,974578.803231953
2038,920898.754302185,41252.2331280166,9923.2340775104,972074.221507712
2039,906915.300157993,50702.3929414233,11705.5797089514,969323.272808367
2040,890318.917706968,61387.8153303932,13706.6484540204,965413.381491382
2041,872902.599196348,73467.6073998775,15974.4162563754,962344.622852601
2042,853519.880262307,87101.662745707,18557.3309542023,959178.873962217
2043,832100.669595512,102307.83471085,21474.0323813486,955882.53668771
2044,808625.505572791,118886.669208229,24684.8813974803,952197.0561785
2045,783188.898294071,136493.683232562,28069.5448980126,947752.126424646
2046,755997.4060215,154643.454612934,31477.4885285823,942118.349163017
2047,727305.676808065,172861.650699836,34709.7300966403,934877.057604541
2048,697530.153771731,190655.534957171,37563.6695515913,925749.358280493
2049,667085.72342811,207506.023404378,39862.4250946041,914454.171927092
2050,636446.301454791,222942.086653639,41504.3821040293,900892.77021246
