State,Segment,Propulsion,Year,BESS_retire_vector,BESS_retire_total
Mexico,Car,BEV,2020,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0
Mexico,Car,BEV,2021,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0
Mexico,Car,BEV,2022,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0
Mexico,Car,BEV,2023,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0
Mexico,Car,BEV,2024,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0
Mexico,Car,BEV,2025,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0
Mexico,Car,BEV,2026,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0
Mexico,Car,BEV,2027,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0
Mexico,Car,BEV,2028,0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,1
Mexico,Car,BEV,2029,0|0|0|0|0|0|0|0|0|0|0|0|1|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,3
Mexico,Car,BEV,2030,0|0|0|0|1|0|1|1|1|1|1|1|1|2|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,13
Mexico,Car,BEV,2031,0|0|0|1|1|3|1|1|1|1|1|1|1|2|3|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,20
Mexico,Car,BEV,2032,0|0|0|1|2|4|7|2|3|3|3|3|2|2|3|3|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0,42
Mexico,Car,BEV,2033,0|0|0|1|2|5|9|17|6|8|7|7|5|4|4|3|4|4|0|0|0|0|0|0|0|0|0|0|0|0|0,86
Mexico,Car,BEV,2034,0|0|0|1|3|6|12|22|40|13|18|15|14|9|6|5|4|4|4|0|0|0|0|0|0|0|0|0|0|0|0,176
Mexico,Car,BEV,2035,0|0|0|1|3|7|14|29|53|94|30|38|30|25|14|8|6|4|4|3|0|0|0|0|0|0|0|0|0|0|0,363
