State,Segment,Propulsion,Year,BESS_stock_vector,BESS_stock_total
Mexico,Car,BEV,2020,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0
Mexico,Car,BEV,2021,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0
Mexico,Car,BEV,2022,0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,1
Mexico,Car,BEV,2023,0|1|1|0|0|0|1|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,5
Mexico,Car,BEV,2024,0|1|2|2|1|1|1|2|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,13
Mexico,Car,BEV,2025,0|4|3|3|3|2|2|2|3|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,26
Mexico,Car,BEV,2026,0|6|10|7|5|4|3|3|3|4|6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,51
Mexico,Car,BEV,2027,0|42|17|20|13|9|6|4|4|4|6|8|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,133
Mexico,Car,BEV,2028,0|59|108|33|34|22|15|10|6|6|6|8|11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,318
Mexico,Car,BEV,2029,0|76|152|213|58|57|35|26|16|10|8|8|11|14|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,684
Mexico,Car,BEV,2030,0|93|195|296|375|96|91|57|41|24|15|12|11|14|15|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,1335
Mexico,Car,BEV,2031,0|109|238|381|522|626|156|147|91|64|35|21|17|14|15|16|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,2452
Mexico,Car,BEV,2032,0|126|281|464|671|873|1011|249|228|139|94|48|28|20|15|16|15|0|0|0|0|0|0|0|0|0|0|0|0|0|0,4278
Mexico,Car,BEV,2033,0|156|325|549|818|1120|1409|1598|387|345|203|132|64|34|22|16|15|12|0|0|0|0|0|0|0|0|0|0|0|0|0,7205
Mexico,Car,BEV,2034,0|187|401|635|966|1367|1810|2229|2467|586|504|285|176|78|38|23|15|12|9|0|0|0|0|0|0|0|0|0|0|0|0,11788
Mexico,Car,BEV,2035,0|218|479|785|1118|1613|2208|2863|3443|3711|856|703|375|216|88|38|21|11|9|7|0|0|0|0|0|0|0|0|0|0|0,18762
