State,Segment,Propulsion,Year,BESS_stock_vector,BESS_stock_total
Mexico,Car,BEV,2020,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0
Mexico,Car,BEV,2021,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0
Mexico,Car,BEV,2022,0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,1
Mexico,Car,BEV,2023,0|1|1|0|0|0|1|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,5
Mexico,Car,BEV,2024,0|1|2|2|1|1|1|2|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,13
Mexico,Car,BEV,2025,0|4|3|3|3|2|2|2|3|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,26
Mexico,Car,BEV,2026,0|6|10|7|5|4|3|3|3|4|6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,51
Mexico,Car,BEV,2027,0|47|17|20|13|9|6|4|4|4|6|8|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,138
Mexico,Car,BEV,2028,0|61|120|33|34|22|15|10|6|6|6|8|11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,332
Mexico,Car,BEV,2029,0|82|157|233|58|57|35|26|16|10|8|8|11|14|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,715
Mexico,Car,BEV,2030,0|100|211|306|411|96|91|57|41|24|15|12|11|14|15|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,1404
Mexico,Car,BEV,2031,0|119|255|411|540|687|156|147|91|64|35|21|17|14|15|16|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,2588
Mexico,Car,BEV,2032,0|138|307|498|723|901|1110|249|228|139|94|48|28|20|15|16|15|0|0|0|0|0|0|0|0|0|0|0|0|0|0,4529
Mexico,Car,BEV,2033,0|162|355|601|876|1207|1457|1755|387|345|203|132|64|34|22|16|15|12|0|0|0|0|0|0|0|0|0|0|0|0|0,7643
Mexico,Car,BEV,2034,0|184|415|693|1056|1461|1950|2303|2710|586|504|285|176|78|38|23|15|12|9|0|0|0|0|0|0|0|0|0|0|0|0,12498
Mexico,Car,BEV,2035,0|215|473|812|1222|1762|2359|3083|3555|4076|856|703|375|216|88|38|21|11|9|7|0|0|0|0|0|0|0|0|0|0|0,19881
