State,Year,add_BEV,add_PHEV,add_ICE,ret_BEV,ret_PHEV,ret_ICE,stock_BEV,stock_PHEV,stock_ICE,stock_Total,import_from_US,Scenario
Mexico,2022,5631,4575,1084522,2.2028690844120407,0.7342896948040136,1510917.6003818912,10169.328847268294,6090.442949089432,25276107.221806284,25292366.99360264,78110,ACCII
Mexico,2023,14172,5778,1343764,4.5407512947900415,1.5297309293183163,1506476.465951472,24345.69559935684,11875.176922371922,25207193.755854808,25243414.628376536,93832,ACCII
Mexico,2024,24290,7994,1472038,9.449554310685699,4.2991846921116625,1495931.640745557,48641.22796034742,19876.36928086287,25286238.11510925,25354755.71235046,102998,ACCII
Mexico,2025,1072641.3757639797,523205.6754948578,14362623.46132954,20.59459364979247,9.150065416997037,1481594.0544357407,1121258.9477114272,543077.5799377223,38245676.52200305,39910013.0496522,78483,ACCII
Mexico,2026,223921.3882524002,109222.84357612005,2046457.4240894818,41.9299469749002,17.579685260064025,1519754.0269481312,1345136.773919057,652303.1234105686,38850741.91914441,40848181.816474035,78525,ACCII
Mexico,2027,289109.01122761436,141019.61655474856,1959474.8598974317,499.48477099252545,239.36677533879754,1519524.7343049496,1632691.3396643503,792599.4478818767,39369010.04473688,41794300.8322831,78598,ACCII
Mexico,2028,355523.1177189684,173414.63527612426,1875324.7606189656,873.2792714046121,419.72235091446095,1524433.8122596995,1985472.4925546455,964731.61142862,39798162.99309614,42748367.09707941,78710,ACCII
Mexico,2029,424116.3813491941,206872.58836551342,1795891.6830341676,1482.813109966653,714.3686792242021,1536115.7193802758,2404883.9051498407,1169386.7489631001,40136112.956750035,43710383.61086298,78840,ACCII
Mexico,2030,495897.99992178724,241885.73542656025,1721495.3824794777,2457.625627986706,1186.3335728932639,1555759.0195133507,2892943.7728541917,1407531.2810634216,40379874.31971614,44680349.37363376,79006,ACCII
Mexico,2031,622570.9299016814,303673.3910163316,1577118.7085901306,3995.4452003202423,1931.7272659875107,1584181.3720673057,3502670.3844017377,1704998.3447510814,40450595.656239,45658264.385391824,79108,ACCII
Mexico,2032,757341.2748382523,369410.748303143,1434048.0294526853,6392.641334396687,3094.4851100639316,1621589.3633993277,4239328.935252417,2064327.3885923366,40340472.32229236,46644128.64613711,79135,ACCII
Mexico,2033,902850.7088330853,440386.34501636605,1290561.0909533945,10102.235026899245,4894.506856935615,1668153.964499459,5109464.666744115,2488686.0403792365,40039790.44874629,47637941.15586964,79206,ACCII
Mexico,2034,1062308.5234297363,518165.58743982075,1144481.2526986445,15740.372200052196,7630.658161832158,1723705.5679112645,6121019.135407609,2981875.6456481284,39536810.13353368,48639704.91458942,79337,ACCII
Mexico,2035,1239388.40717559,604540.4022522847,992884.7435380864,24107.757789553652,11690.822580830194,1787569.7875812058,7283432.696411494,3548447.136394373,38817537.08949056,49649416.922296435,79629,ACCII
Mexico,2036,1437920.233386903,701378.8988710965,831949.6625447777,36118.66483322054,17517.797765577947,1858319.272969183,8607740.890294002,4193758.8096305532,37865577.47906615,50667077.17899071,79988,ACCII
Mexico,2037,1660544.5251002929,809969.053567029,656718.7993925791,52565.503389699734,25495.788006927593,1933508.8632525138,10106741.23711801,4923919.032347975,36662028.41520621,51692688.68467219,80657,ACCII
Mexico,2038,1907155.6651299153,930259.3491113867,461904.76976021205,73655.68238790588,35727.71893947398,2009499.9257330068,11794298.151360596,5745614.028746938,35186336.25923342,52726248.43934096,81522,ACCII
Mexico,2039,2172750.363517492,1059809.3149410672,243310.94353989183,98433.92358606383,47755.135834627996,2081493.4030680805,13683891.128705502,6665319.514586218,33418546.79970523,53767757.44299695,82689,ACCII
Mexico,2040,2447843.307302433,1193992.2699611976,0,124620.0959423868,60475.610421773774,2143853.0124093387,15785896.40014416,7687917.508200154,31343401.787295878,54817215.69564019,84109,ACCII
Mexico,2041,2544329.1121268366,1241055.4560636932,0,149614.88264824386,72622.59339784797,2190712.5581996627,17926522.382422682,8728560.58575177,29219540.229096215,55874623.19727066,85789,ACCII
Mexico,2042,2625265.8501563766,1280534.2246902855,0,172530.75699984285,83749.25692895739,2217871.312410645,20092687.68518447,9780810.346018339,27066482.91668558,56939980.94788839,87671,ACCII
Mexico,2043,2695958.578703591,1315016.2404206377,0,195336.79774908154,94796.15474958904,2221618.279353155,22268720.456411928,10837101.853749,24907463.637332417,58013285.947493345,89635,ACCII
Mexico,2044,2763787.3622615887,1348101.3006479482,0,221772.72379643627,107571.08670787557,2200057.560236139,24437640.54802314,11889276.570966125,22767625.077096287,59094542.19608554,91620,ACCII
Mexico,2045,2833970.162740789,1382334.587152198,0,254945.7152088607,123585.06836765216,2153257.591476151,26582519.841966145,12929166.366078734,20672060.485620137,60183746.69366501,93615,ACCII
Mexico,2046,2908934.6615366433,1418900.257763853,0,296169.51884396886,143479.14049194232,2082954.0087649822,28687576.589157358,13949164.374219202,18644158.47685516,61280899.44023172,95459,ACCII
Mexico,2047,2989403.162209358,1458150.6327743637,0,345338.50015981635,167206.83344257838,1992056.444529251,30738980.735987566,14942589.667472184,16704432.032325905,62386002.43578565,97097,ACCII
Mexico,2048,3075795.0103245154,1500290.2576962032,0,401708.69594948844,194408.98850188399,1884307.2991587012,32725387.33370898,15903970.613450658,14869696.733167203,63499054.680326834,98393,ACCII
Mexico,2049,3168404.064872319,1545462.4690581907,0,464357.94744711026,224640.884833942,1763777.7944050855,34638167.18725003,16829151.047843136,13152738.938762117,64620057.17385529,99319,ACCII
Mexico,2050,3267232.181227078,1593668.17186212,0,532301.7274583627,257427.34997971554,1634641.9080925179,36471459.71128652,17715329.17441483,11562218.0306696,65749006.91637095,99877,ACCII
