Year,LIB_recycling,LIB_repurpose,LIB_reuse_EV,LIB_available,EV_retired,EV_stock
2022,0,3,0,0,2.9371587792160545,16383.771796357725
2023,2,10,3,3,6.821325368164412,36565.317621992086
2024,16,24,12,12,16.24540132092168,69249.59254675188
2025,43,47,30,34,35.925325152279456,104372.69298361952
2026,91,97,55,71,72.20688164667848,372486.5348892071
2027,189,185,69,129,130.6817567772211,730201.3571702564
2028,450,451,169,311,316.2190005612018,1183827.672783948
2029,934,926,304,626,640.4687775391055,1740138.2473226935
2030,1711,1701,579,1157,1179.3463339719356,2406157.0222538547
2031,2981,2956,1004,2014,2047.341817668053,3258153.0133185512
2032,4972,4910,1668,3348,3416.229989084809,4308687.827349702
2033,8085,7972,2725,5457,5568.445221591798,5570286.11570696
2034,12859,12646,4339,8679,8889.866086555247,7055147.012316698
2035,20040,19649,6767,13539,13922.632163821154,8774588.944854151
2036,30579,29877,10350,20690,21398.895849955712,10738444.56298397
2037,45703,44413,15485,30959,32258.451067042013,12954373.922958631
2038,66767,64445,22645,45301,47624.57085048806,15427374.33357868
2039,95056,91018,32319,64647,68692.97871342926,18159694.11152537
2040,131548,124755,44858,89706,96498.95817876994,21152070.515883617
2041,176570,165688,60373,120739,131616.39435973373,24169181.618271805
2042,229862,213475,78818,157614,174004.85154676912,27194466.817016713
2043,290930,267727,99978,199952,223162.69799961758,30211697.54975468
2044,359697,328581,123840,247680,278800.65310573694,33203874.504878998
2045,436552,396494,150529,301053,341120.81064222206,36152184.61513634
2046,522017,471804,180208,360414,410627.25743576244,39035870.27660974
2047,616126,554375,212943,425877,487634.7519726062,41833188.47201935
2048,718300,643452,248528,497060,571911.1906008719,44522783.783885166
2049,827328,737835,286576,573136,662636.9093647943,47085054.98205891
2050,941540,835976,326489,652971,758544.3952413022,49503264.79353967
