Year,LIB_recycling,LIB_repurpose,LIB_reuse_EV,LIB_available,EV_retired,EV_stock
2022,0,3,0,0,5.874317558432109,16259.771796357727
2023,1,9,3,3,12.140964448216716,36221.87252172876
2024,12,23,10,10,27.509588378885947,68517.57663718016
2025,32,42,21,25,59.49569736829024,301828.2012972409
2026,72,85,45,59,119.0285364890478,627603.4581775148
2027,269,271,101,185,374.379069099017,1045113.7187114744
2028,618,615,223,423,847.2632132928812,1553996.38942779
2029,1219,1207,414,822,1656.8661642911636,2154190.758484415
2030,2189,2177,743,1477,2985.9865848915883,2845884.6367293773
2031,3754,3730,1272,2532,5114.1439386311295,3699023.4593474907
2032,6201,6156,2094,4182,8462.754586544732,4714048.481619203
2033,10019,9922,3383,6755,13712.599817394417,5891090.920450705
2034,15845,15647,5348,10690,21793.450536139684,7229593.664982269
2035,24542,24129,8290,16572,33987.02648260587,8727997.422409091
2036,37160,36320,12564,25130,51956.58799231417,10383427.555965023
2037,54863,53228,18593,37187,77670.39875364606,12191732.087568264
2038,78703,75629,26747,53481,113139.54744787126,14147805.575418934
2039,109304,103843,37246,74496,159913.82071340605,16246202.174939943
2040,146534,137501,50101,100197,218464.67907601834,18481827.91641293
2041,189639,175795,65052,130094,287898.18637629953,20668090.97235401
2042,237672,217944,81756,163496,366448.0399085698,22794453.392634626
2043,289933,263591,99945,199885,452454.17960797425,24849238.315748185
2044,346412,312915,119616,239218,545431.1816503687,26818889.663791724
2045,407495,366296,140870,281736,645905.0101225668,28688147.770992443
2046,473432,423795,163830,327666,754617.3660875196,30440896.250834137
2047,543994,485041,188449,376879,871674.2706751131,32061332.926365197
2048,618427,549208,214421,428857,996157.7391997983,33535185.446271427
2049,695523,615203,241404,482810,1126280.0577999689,34850596.61038196
2050,773897,681769,268888,537752,1259779.5009952416,35998923.99076303
