Year,LIB_recycling,LIB_repurpose,LIB_reuse_EV,LIB_available,EV_retired,EV_stock
2022,0,3,0,0,5.874317558432109,16259.771796357727
2023,1,9,3,3,12.140964448216716,36221.87252172876
2024,12,23,10,10,27.509588378885947,68517.57663718016
2025,32,42,21,25,59.49569736829024,325059.891313832
2026,72,85,45,59,119.0285364890478,661149.9465109342
2027,284,286,103,193,393.1915046957507,1111012.4693411812
2028,641,643,236,440,885.1611679018765,1654265.3739260703
2029,1284,1273,433,865,1742.5558929471938,2309219.1004774007
2030,2306,2299,788,1560,3148.2068724764226,3066612.0323853306
2031,3979,3951,1343,2681,5412.536105618724,3949829.3567799036
2032,6585,6542,2217,4439,8982.294823308617,4949132.686577881
2033,10633,10536,3591,7171,14546.353818863648,6106896.14736432
2034,16783,16575,5664,11320,23072.636847747523,7343517.411386396
2035,25965,25531,8761,17529,35935.982618429654,8639601.157624196
2036,39224,38350,13257,26529,54827.42944806248,9979500.013093859
2037,57751,56029,19581,39149,81767.01591194,11347287.145382702
2038,82594,79337,28059,56125,118775.22286290575,12725871.851085104
2039,114213,108429,38920,77858,167299.1442191781,14098211.766601006
2040,152258,142661,52079,104155,227506.48130389553,15448575.50354458
2041,195541,180815,67104,134224,297920.3241394668,16764856.053149268
2042,242468,221499,83481,166959,375867.47495618823,18038340.964124016
2043,291642,263686,100665,201339,458581.9063420542,19261445.63726504
2044,342090,306730,118329,236667,544064.0697443018,20426363.332701102
2045,393194,350141,136244,272490,631110.6303968108,21527951.547808856
2046,444323,393323,154180,308376,718769.8705871445,22577547.902579926
2047,494615,435463,171867,343737,805809.1519281238,23557490.08567072
2048,543072,475681,188948,377886,890561.4019931373,24466851.618509624
2049,588687,513208,205051,410093,971164.8190117738,25306565.846781246
2050,630871,547707,219962,439916,1046160.7766290063,26077091.554875374
