Year,add_BEV,add_PHEV,add_ICE,add_Total,Import_Supply,Import_Used,Import_Unabsorbed,Total_Vehicle_Need,Surviving_Stock,Target_Fleet,End_Stock,Stock_Gap,ret_BEV,ret_PHEV,ret_ICE,ret_Total,stock_BEV,stock_PHEV,stock_ICE,stock_Total,import_from_US,import_ICE,import_EV
2022,5631,4575,1084522,1094728,78110,78110,0,NA,NA,37143202.24311019,25292366.99360264,-11850835.249507546,2.2028690844120407,0.7342896948040136,1510917.6003818912,1510920.5375406705,10169.328847268294,6090.442949089432,25276107.221806284,25292366.99360264,78110,78094,16
2023,14172,5778,1343764,1363714,93832,93832,0,NA,NA,38057523.262970276,25243414.628376536,-12814108.63459374,4.5407512947900415,1.5297309293183163,1506476.465951472,1506482.536433696,24345.69559935684,11875.176922371922,25207193.755854808,25243414.628376536,93832,93799,32
2024,24290,7994,1472038,1504322,102998,102998,0,NA,NA,38979793.53181762,25354755.71235046,-13625037.81946716,9.449554310685699,4.2991846921116625,1495931.640745557,1495945.3894845597,48641.22796034742,19876.36928086287,25286238.11510925,25354755.71235046,102998,102938,60
2025,1072641.3757639797,523205.6754948578,14362623.46132954,15958470.512588378,78483,78483,0,16036953.512588378,23873059.537063826,39910013.049652204,39910013.0496522,-7.450580596923828e-9,20.59459364979247,9.150065416997037,1481594.0544357407,1481623.7990948076,1121258.9477114272,543077.5799377223,38245676.52200305,39910013.0496522,78483,78409,74
2026,223921.3882524002,109222.84357612005,2046457.4240894818,2379601.655918002,78525,78525,0,2458126.655918002,38390055.16055603,40848181.816474035,40848181.816474035,0,41.9299469749002,17.579685260064025,1519754.0269481312,1519813.536580366,1345136.773919057,652303.1234105686,38850741.91914441,40848181.816474035,78525,78362,163
2027,289109.01122761436,141019.61655474856,1959474.8598974317,2389603.4876797944,78598,78598,0,2468201.4876797944,39326098.344603315,41794299.83228311,41794300.8322831,0.9999999925494194,499.48477099252545,239.36677533879754,1519524.7343049496,1520263.585851281,1632691.3396643503,792599.4478818767,39369010.04473688,41794300.8322831,78598,78318,281
2028,355523.1177189684,173414.63527612426,1875324.7606189656,2404262.5136140585,78710,78710,0,2482972.5136140585,40265394.58346536,42748367.09707942,42748367.09707941,-7.450580596923828e-9,873.2792714046121,419.72235091446095,1524433.8122596995,1525726.8138820184,1985472.4925546455,964731.61142862,39798162.99309614,42748367.09707941,78710,78262,448
2029,424116.3813491941,206872.58836551342,1795891.6830341676,2426880.6527488753,78840,78840,0,2505720.6527488753,41204662.9581141,43710383.61086298,43710383.61086298,0,1482.813109966653,714.3686792242021,1536115.7193802758,1538312.9011694666,2404883.9051498407,1169386.7489631001,40136112.956750035,43710383.61086298,78840,78174,666
2030,495897.99992178724,241885.73542656025,1721495.3824794777,2459279.1178278252,79006,79006,0,2538285.1178278252,42142064.25580595,44680349.37363377,44680349.37363376,-1.4901161193847656e-8,2457.625627986706,1186.3335728932639,1555759.0195133507,1559402.9787142307,2892943.7728541917,1407531.2810634216,40379874.31971614,44680349.37363376,79006,78025,981
2031,622570.9299016814,303673.3910163316,1577118.7085901306,2503363.0295081437,79108,79108,0,2582471.0295081437,43075793.35588368,45658264.385391824,45658264.385391824,0,3995.4452003202423,1931.7272659875107,1584181.3720673057,1590108.5445336134,3502670.3844017377,1704998.3447510814,40450595.656239,45658264.385391824,79108,77784,1324
2032,757341.2748382523,369410.748303143,1434048.0294526853,2560800.0525940806,79135,79135,0,2639935.0525940806,44004193.59354303,46644128.64613711,46644128.64613711,0,6392.641334396687,3094.4851100639316,1621589.3633993277,1631076.4898437883,4239328.935252417,2064327.3885923366,40340472.32229236,46644128.64613711,79135,77418,1717
2033,902850.7088330853,440386.34501636605,1290561.0909533945,2633798.144802846,79206,79206,0,2713004.144802846,44924938.011066794,47637942.15586964,47637941.15586964,-1,10102.235026899245,4894.506856935615,1668153.964499459,1683150.7063832937,5109464.666744115,2488686.0403792365,40039790.44874629,47637941.15586964,79206,76911,2294
2034,1062308.5234297363,518165.58743982075,1144481.2526986445,2724955.3635682017,79337,79337,0,2804292.3635682017,45835412.55102122,48639704.91458942,48639704.91458942,0,15740.372200052196,7630.658161832158,1723705.5679112645,1747076.5982731488,6121019.135407609,2981875.6456481284,39536810.13353368,48639704.91458942,79337,76244,3093
2035,1239388.40717559,604540.4022522847,992884.7435380864,2836813.552965961,79629,79629,0,2916442.5529659614,46732974.36933047,49649416.922296435,49649416.922296435,0,24107.757789553652,11690.822580830194,1787569.7875812058,1823368.3679515896,7283432.696411494,3548447.136394373,38817537.08949056,49649416.922296435,79629,75412,4217
2036,1437920.233386903,701378.8988710965,831949.6625447777,2971248.7948027775,79988,79988,0,3051236.7948027775,47615841.38418792,50667078.1789907,50667077.17899071,-0.9999999925494194,36118.66483322054,17517.797765577947,1858319.272969183,1911955.7355679816,8607740.890294002,4193758.8096305532,37865577.47906615,50667077.17899071,79988,74410,5577
2037,1660544.5251002929,809969.053567029,656718.7993925791,3127232.378059901,80657,80657,0,3207889.3780599013,48484799.306612305,51692688.68467221,51692688.68467219,-1.4901161193847656e-8,52565.503389699734,25495.788006927593,1933508.8632525138,2011570.1546491412,10106741.23711801,4923919.032347975,36662028.41520621,51692688.68467219,80657,73241,7416
2038,1907155.6651299153,930259.3491113867,461904.76976021205,3299319.784001514,81522,81522,0,3380841.7840015143,49345406.65533944,52726248.43934096,52726248.43934096,0,73655.68238790588,35727.71893947398,2009499.9257330068,2118883.3270603865,11794298.151360596,5745614.028746938,35186336.25923342,52726248.43934096,81522,71903,9619
2039,2172750.363517492,1059809.3149410672,243310.94353989183,3475870.621998451,82689,82689,0,3558559.6219984517,50209197.82099849,53767757.44299694,53767757.44299695,7.450580596923828e-9,98433.92358606383,47755.135834627996,2081493.4030680805,2227682.4624887723,13683891.128705502,6665319.514586218,33418546.79970523,53767757.44299695,82689,70393,12296
2040,2447843.307302433,1193992.2699611976,0,3641835.577263631,84109,84109,0,3725944.577263631,51091271.11837656,54817215.69564019,54817215.69564019,0,124620.0959423868,60475.610421773774,2143853.0124093387,2328948.718773499,15785896.40014416,7687917.508200154,31343401.787295878,54817215.69564019,84109,68708,15401
2041,2544329.1121268366,1241055.4560636932,0,3785384.56819053,85789,85789,0,3871173.56819053,52003449.62908014,55874623.19727067,55874623.19727066,-7.450580596923828e-9,149614.88264824386,72622.59339784797,2190712.5581996627,2412950.0342457546,17926522.382422682,8728560.58575177,29219540.229096215,55874623.19727066,85789,66851,18938
2042,2625265.8501563766,1280534.2246902855,0,3905800.074846662,87671,87671,0,3993471.0748466626,52946508.873041734,56939979.9478884,56939980.94788839,0.9999999925494194,172530.75699984285,83749.25692895739,2217871.312410645,2474151.3263394455,20092687.68518447,9780810.346018339,27066482.91668558,56939980.94788839,87671,64814,22858
