Year,add_BEV,add_PHEV,add_ICE,add_Total,Import_Supply,Import_Used,Import_Unabsorbed,Total_Vehicle_Need,Surviving_Stock,Target_Fleet,End_Stock,Stock_Gap,ret_BEV,ret_PHEV,ret_ICE,ret_Total,stock_BEV,stock_PHEV,stock_ICE,stock_Total,import_from_US,import_ICE,import_EV
2022,5631,4575,1084522,1094728,78110,78110,0,NA,NA,37143202.24311019,25292366.99360264,-11850835.249507546,2.2028690844120407,0.7342896948040136,1510917.6003818912,1510920.5375406705,10169.328847268294,6090.442949089432,25276107.221806284,25292366.99360264,78110,78094,16
2023,14172,5778,1343764,1363714,93832,93832,0,NA,NA,38057523.262970276,25243414.628376536,-12814108.63459374,4.5407512947900415,1.5297309293183163,1506476.465951472,1506482.536433696,24345.69559935684,11875.176922371922,25207193.755854808,25243414.628376536,93832,93799,32
2024,24290,7994,1472038,1504322,102998,102998,0,NA,NA,38979793.53181762,25354755.71235046,-13625037.81946716,9.449554310685699,4.2991846921116625,1495931.640745557,1495945.3894845597,48641.22796034742,19876.36928086287,25286238.11510925,25354755.71235046,102998,102938,60
2025,1179435.7736097525,575297.116610643,14203737.622367982,15958470.512588378,78483,78483,0,16036953.512588378,23873059.537063826,39910013.049652204,39910013.0496522,-7.450580596923828e-9,20.59459364979247,9.150065416997037,1481594.0544357407,1481623.7990948076,1228053.3455572,595169.0210535075,38086790.68304149,39910013.0496522,78483,78409,74
2026,230953.89815318887,112653.11316687283,2035312.0534504284,2378919.06477049,78531,78531,0,2457450.06477049,38390731.751703545,40848181.816474035,40848180.816474035,-1,41.9299469749002,17.579685260064025,1519077.4358006178,1519136.9454328527,1458962.6816656184,707824.8341171066,38681393.30069131,40848180.816474035,78531,78368,162
2027,311444.67541347153,151914.35409893878,1925543.206818069,2388902.2363304794,78627,78627,0,2467529.2363304794,39326770.59595263,41794299.83228311,41794299.83228311,0,542.7184183443256,260.45794176775524,1518628.17404128,1519431.3504013922,1768700.8222753736,858942.6765396402,39166656.333468094,41794299.83228311,78627,78348,279
2028,379435.8080558828,185078.60385249363,1838785.6428343097,2403300.0547426865,78772,78772,0,2482072.0547426865,40266295.04233673,42748367.09707942,42748368.09707941,0.9999999925494194,944.01407424619,454.23530583876334,1523167.2677412918,1524565.5171213767,2145145.2985396865,1042619.0899786206,39560603.70856111,42748368.09707941,78772,78329,444
2029,462650.0901379976,225668.29734309088,1737336.6796091248,2425655.0670902133,78947,78947,0,2504602.0670902133,41205781.543772765,43710383.61086298,43710383.61086298,0,1602.799219642994,772.9222869841425,1534379.5079218997,1536755.2294285267,2602666.675832472,1265866.054782174,39841850.88024833,43710383.61086298,78947,78290,657
2030,542782.9729013884,264754.96694476344,1650184.0215700406,2457721.9614161924,79171,79171,0,2536892.9614161924,42143456.41221758,44680349.37363377,44680349.37363376,-1.4901161193847656e-8,2655.193285230051,1282.7608375348955,1553349.9551435478,1557287.9092663128,3136914.138908809,1526544.288050136,40016890.94667481,44680349.37363376,79171,78206,965
2031,644595.3007502396,314416.2880250936,1542484.8608662444,2501496.449641578,79349,79349,0,2580845.449641578,43077418.935750246,45658264.385391824,45658264.38539182,-7.450580596923828e-9,4319.6615376838545,2089.9882423658178,1580891.2273121173,1587300.877092167,3767522.5512113217,1834204.2539515402,40056537.580228955,45658264.38539182,79349,78053,1296
2032,746427.2263994407,364087.16838646773,1448421.2418620314,2558935.6366479397,79467,79467,0,2638402.6366479397,44005726.00948917,46644128.64613711,46644128.6461371,-7.450580596923828e-9,6916.237118580793,3350.09891565189,1617379.187755901,1627645.5237901337,4491427.687603552,2187324.3241984616,39965376.63433509,46644128.6461371,79467,77797,1670
2033,889691.4784011501,433967.6255797516,1308753.941957955,2632413.045938857,79647,79647,0,2712060.045938857,44925882.10993078,47637942.15586964,47637941.15586965,-0.9999999925494194,10921.575729301072,5294.548534217412,1663045.5686468487,1679261.6929103672,5345542.019209838,2603887.129013611,39688512.007646196,47637941.15586965,79647,77427,2219
2034,985932.1229731558,480911.2290907506,1257710.3136111076,2724553.6656750143,79898,79898,0,2804451.6656750143,45835253.248914406,48639704.91458942,48639704.914589435,1.4901161193847656e-8,16992.97726558375,8242.318191513183,1717560.2901007817,1742795.5855578787,6276380.934864358,3057735.9485685406,39305588.03115653,48639704.914589435,79898,76926,2972
2035,1082021.1845149398,527780.8944678004,1228761.3112774717,2838563.390260212,80322,80322,0,2918885.390260212,46730531.53203622,49649416.922296435,49649416.922296435,0,25997.648319586224,12613.791639373761,1780638.701174701,1819250.1411336611,7274964.03469279,3544444.2463443326,38830008.64125931,49649416.922296435,80322,76298,4024
2036,1183408.5169490436,577234.9141908649,1215975.8840968683,2976619.315236777,80821,80821,0,3057440.315236777,47609637.86375392,50667078.1789907,50667078.17899069,-7.450580596923828e-9,38887.94825990015,18870.44960170371,1851084.8895232037,1908843.2873848076,8335475.230270505,4061159.3128872328,38270443.63583296,50667078.17899069,80821,75544,5277
2037,1291350.7001931665,629886.2142196435,1216763.405672894,3138000.3200857043,81518,81518,0,3219518.3200857043,48473170.3645865,51692688.68467221,51692688.68467221,0,56477.40051661298,27406.946042699106,1926748.0594280357,2010632.405987348,9452441.881100839,4605121.821493547,37635124.98207782,51692688.68467221,81518,74666,6852
2038,1403839.4307840236,684755.1980236941,1228654.458083732,3317249.08689145,82140,82140,0,3399389.08689145,49326859.35244951,52726248.43934096,52726248.43934095,-7.450580596923828e-9,78914.63477938902,38297.954179978726,2004379.3663393143,2121591.955298682,10619799.947924837,5173381.417593879,36933067.07382224,52726248.43934095,82140,73667,8473
2039,1515784.631388339,739359.0624875948,1246794.4237074452,3501938.117583379,82886,82886,0,3584824.117583379,50182933.32541356,53767757.44299694,53767757.44299694,0,105038.62514799312,50985.50413446629,2079684.5607093205,2235708.68999178,11831906.354881994,5763130.151294587,36172720.93682036,53767757.44299694,82886,72544,10342
2040,1619995.5892366918,790190.3709071301,1265737.6923846425,3675923.6525284643,83736,83736,0,3759659.652528465,51057556.04311173,54817215.69564019,54817214.69564019,-1,132187.78729472563,64182.08260301847,2147649.115653252,2344018.9855509964,13083453.15069756,6371658.031390898,35362103.513551734,54817214.69564019,83736,71294,12441
2041,1711738.988720762,834940.3389615224,1279687.5126701316,3826366.840352416,84755,84755,0,3911121.840352416,51963501.35691825,55874623.19727067,55874623.19727068,7.450580596923828e-9,157282.84694887942,76388.47451750642,2203140.0674048103,2436811.388871196,14369540.218070861,6996516.020382753,34508566.958817065,55874623.19727068,84755,69916,14839
2042,1790744.0407501946,873476.8829999476,1286689.0054280134,3950909.9291781555,85940,85940,0,4036849.929178156,52903130.01871024,56939979.9478884,56939979.9478884,0,179021.0148623077,86957.00987059923,2241657.7891746294,2507635.813907536,15683560.76340211,7634427.009415824,33621992.175070465,56939979.9478884,85940,68394,17546
