Year,State_Province,Cumulative_black_mass_cap,Cumulative_refining_cap
2025,AL,0,0
2026,AL,0,0
2027,AL,0,0
2028,AL,0,0
2029,AL,18000,0
2030,AL,18000,0
2031,AL,18000,0
2032,AL,18000,0
2033,AL,18000,0
2034,AL,18000,0
2035,AL,18000,0
2036,AL,18000,0
2037,AL,18000,0
2038,AL,18000,0
2039,AL,18000,0
2040,AL,18000,0
2041,AL,18000,0
2042,AL,18000,0
2043,AL,18000,0
2044,AL,18000,0
2045,AL,18000,0
2046,AL,18000,0
2047,AL,18000,0
2048,AL,18000,0
2049,AL,18000,0
2050,AL,18000,0
2025,AZ,9100,0
2026,AZ,9100,0
2027,AZ,9100,0
2028,AZ,9100,0
2029,AZ,14100,0
2030,AZ,14100,0
2031,AZ,14100,0
2032,AZ,14100,0
2033,AZ,14100,0
2034,AZ,14100,0
2035,AZ,14100,0
2036,AZ,14100,0
2037,AZ,14100,0
2038,AZ,14100,0
2039,AZ,14100,0
2040,AZ,14100,0
2041,AZ,14100,0
2042,AZ,14100,0
2043,AZ,14100,0
2044,AZ,14100,0
2045,AZ,14100,0
2046,AZ,14100,0
2047,AZ,14100,0
2048,AZ,14100,0
2049,AZ,14100,0
2050,AZ,14100,0
2025,BC,0,0
2026,BC,0,0
2027,BC,0,0
2028,BC,250000,250000
2029,BC,250000,250000
2030,BC,250000,250000
2031,BC,250000,250000
2032,BC,250000,250000
2033,BC,250000,250000
2034,BC,250000,250000
2035,BC,250000,250000
2036,BC,250000,250000
2037,BC,250000,250000
2038,BC,250000,250000
2039,BC,250000,250000
2040,BC,250000,250000
2041,BC,250000,250000
2042,BC,250000,250000
2043,BC,250000,250000
2044,BC,250000,250000
2045,BC,250000,250000
2046,BC,250000,250000
2047,BC,250000,250000
2048,BC,250000,250000
2049,BC,250000,250000
2050,BC,250000,250000
2025,CA,45823.36185,45823.36185
2026,CA,45823.36185,45823.36185
2027,CA,45823.36185,45823.36185
2028,CA,45823.36185,45823.36185
2029,CA,45823.36185,45823.36185
2030,CA,45823.36185,45823.36185
2031,CA,45823.36185,45823.36185
