Year,Scenario,Mineral,Recycling Scenario,Tonne
2025,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,117.34602440849056
2025,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,117.34602440849056
2025,Decreasing Batt Cap - Benchmark Chemistry,Copper,Recycling Limited to NA 2025 Online or Planned,281.32987121090093
2025,Decreasing Batt Cap - Benchmark Chemistry,Copper,All Material is Recycled in NA,296.95930850039576
2025,Decreasing Batt Cap - Benchmark Chemistry,Graphite,Recycling Limited to NA 2025 Online or Planned,0
2025,Decreasing Batt Cap - Benchmark Chemistry,Graphite,All Material is Recycled in NA,667.6056105660709
2025,Decreasing Batt Cap - Benchmark Chemistry,Lithium,Recycling Limited to NA 2025 Online or Planned,0
2025,Decreasing Batt Cap - Benchmark Chemistry,Lithium,All Material is Recycled in NA,70.09053860490403
2025,Decreasing Batt Cap - Benchmark Chemistry,Manganese,Recycling Limited to NA 2025 Online or Planned,0
2025,Decreasing Batt Cap - Benchmark Chemistry,Manganese,All Material is Recycled in NA,51.694881606986606
2025,Decreasing Batt Cap - Benchmark Chemistry,Nickel,Recycling Limited to NA 2025 Online or Planned,476.6174116067449
2025,Decreasing Batt Cap - Benchmark Chemistry,Nickel,All Material is Recycled in NA,476.6174116067449
2025,Decreasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,117.34602440849056
2025,Decreasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,117.34602440849056
2025,Decreasing Batt Cap - High LFP Chemistry,Copper,Recycling Limited to NA 2025 Online or Planned,281.32987121090093
2025,Decreasing Batt Cap - High LFP Chemistry,Copper,All Material is Recycled in NA,296.95930850039576
2025,Decreasing Batt Cap - High LFP Chemistry,Graphite,Recycling Limited to NA 2025 Online or Planned,0
2025,Decreasing Batt Cap - High LFP Chemistry,Graphite,All Material is Recycled in NA,667.6056105660709
2025,Decreasing Batt Cap - High LFP Chemistry,Lithium,Recycling Limited to NA 2025 Online or Planned,0
2025,Decreasing Batt Cap - High LFP Chemistry,Lithium,All Material is Recycled in NA,70.09053860490403
2025,Decreasing Batt Cap - High LFP Chemistry,Manganese,Recycling Limited to NA 2025 Online or Planned,0
2025,Decreasing Batt Cap - High LFP Chemistry,Manganese,All Material is Recycled in NA,51.694881606986606
2025,Decreasing Batt Cap - High LFP Chemistry,Nickel,Recycling Limited to NA 2025 Online or Planned,476.6174116067449
2025,Decreasing Batt Cap - High LFP Chemistry,Nickel,All Material is Recycled in NA,476.6174116067449
2025,Increasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,117.37341636339883
2025,Increasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,117.37341636339883
2025,Increasing Batt Cap - Benchmark Chemistry,Copper,Recycling Limited to NA 2025 Online or Planned,281.3939777606664
2025,Increasing Batt Cap - Benchmark Chemistry,Copper,All Material is Recycled in NA,297.0269765251478
2025,Increasing Batt Cap - Benchmark Chemistry,Graphite,Recycling Limited to NA 2025 Online or Planned,0
2025,Increasing Batt Cap - Benchmark Chemistry,Graphite,All Material is Recycled in NA,667.6056105660709
2025,Increasing Batt Cap - Benchmark Chemistry,Lithium,Recycling Limited to NA 2025 Online or Planned,0
2025,Increasing Batt Cap - Benchmark Chemistry,Lithium,All Material is Recycled in NA,70.10761120903882
2025,Increasing Batt Cap - Benchmark Chemistry,Manganese,Recycling Limited to NA 2025 Online or Planned,0
2025,Increasing Batt Cap - Benchmark Chemistry,Manganese,All Material is Recycled in NA,51.72026630033233
2025,Increasing Batt Cap - Benchmark Chemistry,Nickel,Recycling Limited to NA 2025 Online or Planned,476.7299053439002
2025,Increasing Batt Cap - Benchmark Chemistry,Nickel,All Material is Recycled in NA,476.7299053439002
2025,Increasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,117.37341636339883
2025,Increasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,117.37341636339883
2025,Increasing Batt Cap - High LFP Chemistry,Copper,Recycling Limited to NA 2025 Online or Planned,281.3939777606664
2025,Increasing Batt Cap - High LFP Chemistry,Copper,All Material is Recycled in NA,297.0269765251478
2025,Increasing Batt Cap - High LFP Chemistry,Graphite,Recycling Limited to NA 2025 Online or Planned,0
2025,Increasing Batt Cap - High LFP Chemistry,Graphite,All Material is Recycled in NA,667.6056105660709
2025,Increasing Batt Cap - High LFP Chemistry,Lithium,Recycling Limited to NA 2025 Online or Planned,0
2025,Increasing Batt Cap - High LFP Chemistry,Lithium,All Material is Recycled in NA,70.10761120903882
2025,Increasing Batt Cap - High LFP Chemistry,Manganese,Recycling Limited to NA 2025 Online or Planned,0
2025,Increasing Batt Cap - High LFP Chemistry,Manganese,All Material is Recycled in NA,51.72026630033233
2025,Increasing Batt Cap - High LFP Chemistry,Nickel,Recycling Limited to NA 2025 Online or Planned,476.7299053439002
2025,Increasing Batt Cap - High LFP Chemistry,Nickel,All Material is Recycled in NA,476.7299053439002
2026,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,192.5564351221243
2026,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,192.5564351221243
2026,Decreasing Batt Cap - Benchmark Chemistry,Copper,Recycling Limited to NA 2025 Online or Planned,603.9498078226435
2026,Decreasing Batt Cap - Benchmark Chemistry,Copper,All Material is Recycled in NA,637.502574923901
2026,Decreasing Batt Cap - Benchmark Chemistry,Graphite,Recycling Limited to NA 2025 Online or Planned,0
2026,Decreasing Batt Cap - Benchmark Chemistry,Graphite,All Material is Recycled in NA,1364.4691056265478
2026,Decreasing Batt Cap - Benchmark Chemistry,Lithium,Recycling Limited to NA 2025 Online or Planned,0
2026,Decreasing Batt Cap - Benchmark Chemistry,Lithium,All Material is Recycled in NA,137.16005517940658
2026,Decreasing Batt Cap - Benchmark Chemistry,Manganese,Recycling Limited to NA 2025 Online or Planned,0
2026,Decreasing Batt Cap - Benchmark Chemistry,Manganese,All Material is Recycled in NA,85.37100124370158
