Year,Tonnes_Scrap_proj_down,Tonnes_Scrap_15_down,Tonnes_Prod_proj_down,Tonnes_Prod_15_down,Tonnes_Scrap_proj_mid,Tonnes_Scrap_15_mid,Tonnes_Prod_proj_mid,Tonnes_Prod_15_mid
2025,131417.27013807948,131417.27013807948,2496928.13262351,2496928.13262351,89816.0042360535,87370.24196562546,848752.8357655363,801486.4492384077
2026,197999.11671953966,197999.11671953966,3761983.2176712533,3761983.2176712533,101675.71388628622,96837.6487387482,1073770.1062280464,960885.192006819
2027,252625.13418584992,252625.13418584992,4799877.549531148,4799877.549531148,179581.0187035586,179581.0187035586,1530843.247628786,1530843.247628786
2028,280281.9382682136,280281.9382682136,5325356.827096056,5325356.827096056,196082.64580158851,172624.71767871862,1826261.4782202854,1578091.2795040733
2029,280281.9382682136,280281.9382682136,5325356.827096056,5325356.827096056,282998.96594118763,282998.96594118763,2571710.4565438647,2571710.4565438647
2030,287089.7669654108,287089.7669654108,5454705.572342804,5454705.572342804,278607.83588435117,264850.2282348922,2731760.0855577756,2589859.19425016
2031,287089.7669654108,287089.7669654108,5454705.572342804,5454705.572342804,296038.3633084195,249820.73342190997,3196194.9080557353,2604888.6890631416
2032,305515.9125387464,287089.7669654108,5828813.530892933,5454705.572342804,303213.8769900049,235382.59824744985,3679732.0090951407,2619326.8242376023
2033,344422.67220346926,287089.7669654108,6815858.032945935,5454705.572342804,316453.16131580435,237019.05104782392,4302853.546498211,2738426.690569612
2034,370624.8074344592,287089.7669654108,7693214.392920564,5454705.572342804,321229.4503036241,244491.1683168743,4856728.921661783,2957886.9995380766
2035,392410.88942141325,287089.7669654108,8615293.115352286,5454705.572342804,334023.34529434366,257787.74841627566,5438837.539797281,3172828.0493733077
2036,400986.60321036336,287089.7669654108,9041882.628318168,5454705.572342804,339059.44043765566,264516.3616633784,5708143.647684454,3293955.0802510963
2037,408607.6371448607,287089.7669654108,9458067.353381958,5454705.572342804,343534.8990325998,270436.0626208297,5970881.20935064,3408433.482748467
2038,415628.37174578937,293457.0559117984,9876875.893229242,5578428.071309288,347657.83133845363,275912.6232466948,6235275.186202109,3521663.5813853294
2039,422239.4415354205,302323.33585126075,10306628.928153938,5760362.142527002,351540.18763893517,281119.3536065519,6506578.426602037,3636518.6238149074
2040,428592.10396243643,311030.61932763475,10756355.490092002,5950965.6499638045,355270.7939981423,286232.713159585,6790490.961551547,3756846.684344502
2041,431447.35907073366,316201.8293315099,10971528.691157918,6070253.8386451,356947.5449646143,289269.51058851957,6926329.878213619,3832153.359342957
2042,435565.8269934341,323600.95162758004,11297512.967719637,6249497.212549938,359366.1187199704,293614.65138694784,7132123.865372119,3945309.763623195
2043,439475.75285589887,330617.9426063115,11625435.745993013,6429544.753394109,361662.2259748604,297735.3852475141,7339141.629335326,4058973.8387718927
2044,443128.5486438873,337148.71286515566,11949472.552229276,6606694.203683279,363807.3333770108,301570.58558092895,7543706.177800112,4170808.348345372
2045,446325.69898429,342837.7388908595,12248284.553089242,6769162.275058484,365684.8626064126,304911.47090468346,7732346.297858596,4273374.498304831
2046,449170.76798638864,347878.712343863,12527042.722147312,6919949.033534879,367355.63177344337,307871.7868094593,7908326.4269265765,4368566.231368951
2047,451625.46836897783,352216.5724040998,12777953.50525183,7055186.779170348,368797.1566399763,310419.1987823116,8066726.491557806,4453941.86721923
2048,453833.20160303684,356130.2035966098,13012362.914090058,7181815.918574836,370093.649840589,312717.48199539067,8214709.232876173,4533882.886962142
2049,455597.69020656165,359244.1188564781,13205985.86129463,7285863.760921702,371129.84725870844,314546.13135366485,8336943.466781208,4599568.326019653
2050,457079.80789878045,361880.0185313442,13373132.497341048,7376324.664152661,372000.2221214068,316094.0656571575,8442463.196244631,4656676.325688262
