Year,Metric,Tonnes
2025,LIB Demand (Increasing Batt Cap - Benchmark Chemistry),1.4098398156041374
2025,LIB Demand (Decreasing Batt Cap - Benchmark Chemistry),1.3316748038573833
2025,Pack Manufacturing,2.49692813262351
2025,Decreasing Batt Cap Pack Manufacturing,2.49692813262351
2025,Cell Manufacturing,0.8487528357655363
2025,Decreasing Batt Cap Cell Manufacturing,0.8014864492384076
2025,EoL Batteries (Increasing Batt Cap - Benchmark Chemistry),0.004204270788039927
2025,EoL Batteries (Decreasing Batt Cap - Benchmark Chemistry),0.004204270788039927
2025,Black Mass,0.32242336185
2025,Refining,0.18232836184999998
2026,LIB Demand (Increasing Batt Cap - Benchmark Chemistry),1.7753520140520656
2026,LIB Demand (Decreasing Batt Cap - Benchmark Chemistry),1.5894390051739387
2026,Pack Manufacturing,3.7619832176712533
2026,Decreasing Batt Cap Pack Manufacturing,3.7619832176712533
2026,Cell Manufacturing,1.0737701062280463
2026,Decreasing Batt Cap Cell Manufacturing,0.960885192006819
2026,EoL Batteries (Increasing Batt Cap - Benchmark Chemistry),0.008964279684668914
2026,EoL Batteries (Decreasing Batt Cap - Benchmark Chemistry),0.008856711103025139
2026,Black Mass,0.49552836185
2026,Refining,0.369437987779
2027,LIB Demand (Increasing Batt Cap - Benchmark Chemistry),2.309124171017272
2027,LIB Demand (Decreasing Batt Cap - Benchmark Chemistry),1.9609829695262875
2027,Pack Manufacturing,4.799877549531148
2027,Decreasing Batt Cap Pack Manufacturing,4.799877549531148
2027,Cell Manufacturing,1.5308432476287859
2027,Decreasing Batt Cap Cell Manufacturing,1.5308432476287859
2027,EoL Batteries (Increasing Batt Cap - Benchmark Chemistry),0.018467883056047983
2027,EoL Batteries (Decreasing Batt Cap - Benchmark Chemistry),0.01792794386291564
2027,Black Mass,0.53452836185
2027,Refining,0.556941492483
2028,LIB Demand (Increasing Batt Cap - Benchmark Chemistry),2.9935429201818904
2028,LIB Demand (Decreasing Batt Cap - Benchmark Chemistry),2.415289787048803
2028,Pack Manufacturing,5.325356827096056
2028,Decreasing Batt Cap Pack Manufacturing,5.325356827096056
2028,Cell Manufacturing,1.8262614782202853
2028,Decreasing Batt Cap Cell Manufacturing,1.5780912795040734
2028,EoL Batteries (Increasing Batt Cap - Benchmark Chemistry),0.03273386863556026
2028,EoL Batteries (Decreasing Batt Cap - Benchmark Chemistry),0.03132015085827669
2028,Black Mass,0.78652836185
2028,Refining,0.8453471827429999
2029,LIB Demand (Increasing Batt Cap - Benchmark Chemistry),3.6571362465054027
2029,LIB Demand (Decreasing Batt Cap - Benchmark Chemistry),2.807619312188081
2029,Pack Manufacturing,5.325356827096056
2029,Decreasing Batt Cap Pack Manufacturing,5.325356827096056
2029,Cell Manufacturing,2.571710456543865
2029,Decreasing Batt Cap Cell Manufacturing,2.571710456543865
2029,EoL Batteries (Increasing Batt Cap - Benchmark Chemistry),0.05437943538347214
2029,EoL Batteries (Decreasing Batt Cap - Benchmark Chemistry),0.05129648834844233
2029,Black Mass,0.83752836185
2029,Refining,0.8453471827429999
2030,LIB Demand (Increasing Batt Cap - Benchmark Chemistry),4.456195136359008
2030,LIB Demand (Decreasing Batt Cap - Benchmark Chemistry),3.259866852727868
2030,Pack Manufacturing,5.454705572342804
2030,Decreasing Batt Cap Pack Manufacturing,5.454705572342804
2030,Cell Manufacturing,2.7317600855577755
2030,Decreasing Batt Cap Cell Manufacturing,2.58985919425016
2030,EoL Batteries (Increasing Batt Cap - Benchmark Chemistry),0.08588360943122554
2030,EoL Batteries (Decreasing Batt Cap - Benchmark Chemistry),0.07984513540702765
2030,Black Mass,0.91838736185
2030,Refining,1.402880881403
2031,LIB Demand (Increasing Batt Cap - Benchmark Chemistry),5.219266487522941
2031,LIB Demand (Decreasing Batt Cap - Benchmark Chemistry),3.645312932159311
2031,Pack Manufacturing,5.454705572342804
2031,Decreasing Batt Cap Pack Manufacturing,5.454705572342804
2031,Cell Manufacturing,3.1961949080557353
2031,Decreasing Batt Cap Cell Manufacturing,2.6048886890631415
2031,EoL Batteries (Increasing Batt Cap - Benchmark Chemistry),0.13238176390140688
2031,EoL Batteries (Decreasing Batt Cap - Benchmark Chemistry),0.12151942872207128
2031,Black Mass,0.91838736185
2031,Refining,1.402880881403
2032,LIB Demand (Increasing Batt Cap - Benchmark Chemistry),6.007269654937696
2032,LIB Demand (Decreasing Batt Cap - Benchmark Chemistry),4.0074903197292375
2032,Pack Manufacturing,5.8288135308929325
2032,Decreasing Batt Cap Pack Manufacturing,5.454705572342804
2032,Cell Manufacturing,3.6797320090951406
2032,Decreasing Batt Cap Cell Manufacturing,2.619326824237602
2032,EoL Batteries (Increasing Batt Cap - Benchmark Chemistry),0.1935103049529375
2032,EoL Batteries (Decreasing Batt Cap - Benchmark Chemistry),0.17509480519115947
2032,Black Mass,0.91838736185
2032,Refining,1.402880881403
2033,LIB Demand (Increasing Batt Cap - Benchmark Chemistry),7.018621920087188
2033,LIB Demand (Decreasing Batt Cap - Benchmark Chemistry),4.476358261273396
2033,Pack Manufacturing,6.815858032945934
2033,Decreasing Batt Cap Pack Manufacturing,5.454705572342804
2033,Cell Manufacturing,4.302853546498211
2033,Decreasing Batt Cap Cell Manufacturing,2.738426690569612
2033,EoL Batteries (Increasing Batt Cap - Benchmark Chemistry),0.2722983512358803
2033,EoL Batteries (Decreasing Batt Cap - Benchmark Chemistry),0.24246497048956586
2033,Black Mass,0.91838736185
2033,Refining,1.402880881403
2034,LIB Demand (Increasing Batt Cap - Benchmark Chemistry),7.919574726360763
2034,LIB Demand (Decreasing Batt Cap - Benchmark Chemistry),4.834827622609036
2034,Pack Manufacturing,7.693214392920564
2034,Decreasing Batt Cap Pack Manufacturing,5.454705572342804
2034,Cell Manufacturing,4.856728921661783
2034,Decreasing Batt Cap Cell Manufacturing,2.9578869995380765
2034,EoL Batteries (Increasing Batt Cap - Benchmark Chemistry),0.37711311501145467
2034,EoL Batteries (Decreasing Batt Cap - Benchmark Chemistry),0.3307565431599546
2034,Black Mass,0.91838736185
2034,Refining,1.402880881403
2035,LIB Demand (Increasing Batt Cap - Benchmark Chemistry),8.867992909254859
2035,LIB Demand (Decreasing Batt Cap - Benchmark Chemistry),5.187020968369822
2035,Pack Manufacturing,8.615293115352285
2035,Decreasing Batt Cap Pack Manufacturing,5.454705572342804
2035,Cell Manufacturing,5.438837539797281
2035,Decreasing Batt Cap Cell Manufacturing,3.1728280493733076
2035,EoL Batteries (Increasing Batt Cap - Benchmark Chemistry),0.5170375706142579
2035,EoL Batteries (Decreasing Batt Cap - Benchmark Chemistry),0.447299167236678
2035,Black Mass,0.91838736185
2035,Refining,1.402880881403
2036,LIB Demand (Increasing Batt Cap - Benchmark Chemistry),9.31497976394646
2036,LIB Demand (Decreasing Batt Cap - Benchmark Chemistry),5.3899967332666865
2036,Pack Manufacturing,9.041882628318168
