Year,State_Province,Origin,Metric Tonnes (millions)
2050,AB,LIB Demand,0.2910798287365335
2050,AB,Pack Manufacturing,0
2050,AB,Cell Manufacturing,0
2050,AB,End of Life Batteries,0.15462689178080172
2050,AB,Black Mass,0
2050,AB,Refining,0
2050,AK,LIB Demand,0.019514401914954516
2050,AK,Pack Manufacturing,0
2050,AK,Cell Manufacturing,0
2050,AK,End of Life Batteries,0.010417491110057322
2050,AK,Black Mass,0
2050,AK,Refining,0
2050,AL,LIB Demand,0.14748828688333726
2050,AL,Pack Manufacturing,0.3270303171332421
2050,AL,Cell Manufacturing,0
2050,AL,End of Life Batteries,0.07640827737896143
2050,AL,Black Mass,0.018
2050,AL,Refining,0
2050,AR,LIB Demand,0.07991732830697265
2050,AR,Pack Manufacturing,0
2050,AR,Cell Manufacturing,0
2050,AR,End of Life Batteries,0.042257552856780886
2050,AR,Black Mass,0
2050,AR,Refining,0
2050,AZ,LIB Demand,0.2615422210834359
2050,AZ,Pack Manufacturing,0.19894344292272223
2050,AZ,Cell Manufacturing,0.4528003859610958
2050,AZ,End of Life Batteries,0.12957686073993976
2050,AZ,Black Mass,0.0141
2050,AZ,Refining,0
2050,BC,LIB Demand,0.25799421603482
2050,BC,Pack Manufacturing,0
2050,BC,Cell Manufacturing,0
2050,BC,End of Life Batteries,0.14570620424336872
2050,BC,Black Mass,0.25
2050,BC,Refining,0.25
2050,CA,LIB Demand,1.827345491614864
2050,CA,Pack Manufacturing,1.1220909729560968
2050,CA,Cell Manufacturing,0.03856747147089685
2050,CA,End of Life Batteries,1.0900979855002473
2050,CA,Black Mass,0.04582336185
2050,CA,Refining,0.04582336185
2050,CO,LIB Demand,0.2787103453342648
2050,CO,Pack Manufacturing,0
2050,CO,Cell Manufacturing,0.005957899815277576
2050,CO,End of Life Batteries,0.15994125537915996
2050,CO,Black Mass,0
2050,CO,Refining,0
2050,CT,LIB Demand,0.0919260243464541
2050,CT,Pack Manufacturing,0
2050,CT,Cell Manufacturing,0
2050,CT,End of Life Batteries,0.05177205687961866
2050,CT,Black Mass,0
2050,CT,Refining,0
2050,DC,LIB Demand,0.023844672811198443
2050,DC,Pack Manufacturing,0
2050,DC,Cell Manufacturing,0
