Year,Mineral,Total_Minerals_Exported,Scenario
2035,Cobalt,0,Decreasing Batt Cap - Benchmark Chemistry
2035,Copper,0,Decreasing Batt Cap - Benchmark Chemistry
2035,Graphite,0,Decreasing Batt Cap - Benchmark Chemistry
2035,Lithium,0,Decreasing Batt Cap - Benchmark Chemistry
2035,Manganese,0,Decreasing Batt Cap - Benchmark Chemistry
2035,Nickel,0,Decreasing Batt Cap - Benchmark Chemistry
2035,Cobalt,0,Decreasing Batt Cap - High LFP Chemistry
2035,Copper,0,Decreasing Batt Cap - High LFP Chemistry
2035,Graphite,0,Decreasing Batt Cap - High LFP Chemistry
2035,Lithium,0,Decreasing Batt Cap - High LFP Chemistry
2035,Manganese,0,Decreasing Batt Cap - High LFP Chemistry
2035,Nickel,0,Decreasing Batt Cap - High LFP Chemistry
2035,Cobalt,900.9980576871596,Increasing Batt Cap - Benchmark Chemistry
2035,Copper,5193.578180553076,Increasing Batt Cap - Benchmark Chemistry
2035,Graphite,10439.203311966392,Increasing Batt Cap - Benchmark Chemistry
2035,Lithium,979.2469400876449,Increasing Batt Cap - Benchmark Chemistry
2035,Manganese,407.38714736912465,Increasing Batt Cap - Benchmark Chemistry
2035,Nickel,4586.848620305113,Increasing Batt Cap - Benchmark Chemistry
2035,Cobalt,899.6026045165876,Increasing Batt Cap - High LFP Chemistry
2035,Copper,5375.697597054709,Increasing Batt Cap - High LFP Chemistry
2035,Graphite,10743.301825886376,Increasing Batt Cap - High LFP Chemistry
2035,Lithium,1004.1747272776673,Increasing Batt Cap - High LFP Chemistry
2035,Manganese,403.70976507647737,Increasing Batt Cap - High LFP Chemistry
2035,Nickel,4576.746687727856,Increasing Batt Cap - High LFP Chemistry
2036,Cobalt,709.8357962584795,Decreasing Batt Cap - Benchmark Chemistry
2036,Copper,3756.427174335053,Decreasing Batt Cap - Benchmark Chemistry
2036,Graphite,7664.33550188255,Decreasing Batt Cap - Benchmark Chemistry
2036,Lithium,725.4340160327736,Decreasing Batt Cap - Benchmark Chemistry
2036,Manganese,322.1622392208443,Decreasing Batt Cap - Benchmark Chemistry
2036,Nickel,3633.250625765958,Decreasing Batt Cap - Benchmark Chemistry
2036,Cobalt,723.8524317048044,Decreasing Batt Cap - High LFP Chemistry
2036,Copper,3966.469004763081,Decreasing Batt Cap - High LFP Chemistry
2036,Graphite,8044.692002122639,Decreasing Batt Cap - High LFP Chemistry
2036,Lithium,758.6744604106258,Decreasing Batt Cap - High LFP Chemistry
2036,Manganese,326.2532695766629,Decreasing Batt Cap - High LFP Chemistry
2036,Nickel,3703.4068050121587,Decreasing Batt Cap - High LFP Chemistry
2036,Cobalt,3318.4733112356216,Increasing Batt Cap - Benchmark Chemistry
2036,Copper,19036.827978071942,Increasing Batt Cap - Benchmark Chemistry
2036,Graphite,38390.31513868836,Increasing Batt Cap - Benchmark Chemistry
2036,Lithium,3603.297992166887,Increasing Batt Cap - Benchmark Chemistry
2036,Manganese,1550.5799103963684,Increasing Batt Cap - Benchmark Chemistry
2036,Nickel,17126.48055465959,Increasing Batt Cap - Benchmark Chemistry
2036,Cobalt,3233.9201461232115,Increasing Batt Cap - High LFP Chemistry
2036,Copper,19368.909802883118,Increasing Batt Cap - High LFP Chemistry
2036,Graphite,38790.38272949159,Increasing Batt Cap - High LFP Chemistry
2036,Lithium,3625.324272694665,Increasing Batt Cap - High LFP Chemistry
2036,Manganese,1499.4003471658789,Increasing Batt Cap - High LFP Chemistry
2036,Nickel,16682.042360222862,Increasing Batt Cap - High LFP Chemistry
2037,Cobalt,3299.890609214671,Decreasing Batt Cap - Benchmark Chemistry
2037,Copper,17382.00300238521,Decreasing Batt Cap - Benchmark Chemistry
2037,Graphite,35574.77479797326,Decreasing Batt Cap - Benchmark Chemistry
2037,Lithium,3369.029929082495,Decreasing Batt Cap - Benchmark Chemistry
2037,Manganese,1533.4350422956052,Decreasing Batt Cap - Benchmark Chemistry
2037,Nickel,17091.898167705567,Decreasing Batt Cap - Benchmark Chemistry
2037,Cobalt,3231.3972918413506,Decreasing Batt Cap - High LFP Chemistry
2037,Copper,17750.69874495095,Decreasing Batt Cap - High LFP Chemistry
2037,Graphite,36067.696311879816,Decreasing Batt Cap - High LFP Chemistry
2037,Lithium,3400.833084185816,Decreasing Batt Cap - High LFP Chemistry
2037,Manganese,1490.334906494511,Decreasing Batt Cap - High LFP Chemistry
2037,Nickel,16732.85091905555,Decreasing Batt Cap - High LFP Chemistry
2037,Cobalt,6248.334813324202,Increasing Batt Cap - Benchmark Chemistry
2037,Copper,35720.81039527889,Increasing Batt Cap - Benchmark Chemistry
2037,Graphite,72226.78085167705,Increasing Batt Cap - Benchmark Chemistry
2037,Lithium,6781.945774224213,Increasing Batt Cap - Benchmark Chemistry
2037,Manganese,2991.154915677516,Increasing Batt Cap - Benchmark Chemistry
2037,Nickel,32617.000719596603,Increasing Batt Cap - Benchmark Chemistry
2037,Cobalt,6026.819691948941,Increasing Batt Cap - High LFP Chemistry
2037,Copper,36286.26429861757,Increasing Batt Cap - High LFP Chemistry
2037,Graphite,72759.48796776313,Increasing Batt Cap - High LFP Chemistry
2037,Lithium,6797.063874880971,Increasing Batt Cap - High LFP Chemistry
2037,Manganese,2861.246227744315,Increasing Batt Cap - High LFP Chemistry
2037,Nickel,31451.300071481703,Increasing Batt Cap - High LFP Chemistry
2038,Cobalt,7361.404826469376,Decreasing Batt Cap - Benchmark Chemistry
2038,Copper,38260.17986151567,Decreasing Batt Cap - Benchmark Chemistry
2038,Graphite,78528.13674772935,Decreasing Batt Cap - Benchmark Chemistry
2038,Lithium,7446.833066981373,Decreasing Batt Cap - Benchmark Chemistry
2038,Manganese,3483.058826613486,Decreasing Batt Cap - Benchmark Chemistry
2038,Nickel,38209.35175720313,Decreasing Batt Cap - Benchmark Chemistry
2038,Cobalt,7138.6154580280745,Decreasing Batt Cap - High LFP Chemistry
2038,Copper,38876.57621782797,Decreasing Batt Cap - High LFP Chemistry
2038,Graphite,79145.27687429861,Decreasing Batt Cap - High LFP Chemistry
2038,Lithium,7468.771736928188,Decreasing Batt Cap - High LFP Chemistry
2038,Manganese,3351.5565625074332,Decreasing Batt Cap - High LFP Chemistry
2038,Nickel,37038.97873307472,Decreasing Batt Cap - High LFP Chemistry
