Year,State_Province,Tonnes_Scrap_proj_down,Tonnes_Scrap_15_down,Tonnes_Prod_proj_down,Tonnes_Prod_15_down,Tonnes_Scrap_proj_mid,Tonnes_Scrap_15_mid,Tonnes_Prod_proj_mid,Tonnes_Prod_15_mid
2025,AL,7020.573343984605,7020.573343984605,133390.89353570747,133390.89353570747,0,0,0,0
2026,AL,7020.573343984604,7020.573343984604,133390.89353570747,133390.89353570747,0,0,0,0
2027,AL,7020.573343984605,7020.573343984605,133390.89353570747,133390.89353570747,0,0,0,0
2028,AL,7020.573343984605,7020.573343984605,133390.89353570747,133390.89353570747,0,0,0,0
2029,AL,7020.573343984605,7020.573343984605,133390.89353570747,133390.89353570747,0,0,0,0
2030,AL,7020.573343984606,7020.573343984606,133390.8935357075,133390.8935357075,0,0,0,0
2031,AL,7020.573343984606,7020.573343984606,133390.8935357075,133390.8935357075,0,0,0,0
2032,AL,7471.171454157323,7020.573343984606,142539.434040413,133390.8935357075,0,0,0,0
2033,AL,8422.608221445089,7020.573343984606,166676.89596978494,133390.8935357075,0,0,0,0
2034,AL,9063.36255449776,7020.573343984606,188132.01343747007,133390.8935357075,0,0,0,0
2035,AL,9596.125488141091,7020.573343984606,210680.78404739394,133390.8935357075,0,0,0,0
2036,AL,9805.838388286356,7020.573343984606,221112.72314159534,133390.8935357075,0,0,0,0
2037,AL,9992.205280633934,7020.573343984606,231290.22064643828,133390.8935357075,0,0,0,0
2038,AL,10163.892285418084,7176.280806228786,241531.88165081394,136416.4380804558,0,0,0,0
2039,AL,10325.5612324896,7393.099292172225,252041.1823945507,140865.5046712116,0,0,0,0
2040,AL,10480.91101374396,7606.029634200451,263038.92134637,145526.57607659546,0,0,0,0
2041,AL,10550.7342196195,7732.487847926077,268300.8269019422,148443.68275915095,0,0,0,0
2042,AL,10651.44838446694,7913.428051088842,276272.5374466202,152826.95028632059,0,0,0,0
2043,AL,10747.062803528706,8085.023508290205,284291.65265356796,157229.88313642403,0,0,0,0
2044,AL,10836.389291934196,8244.728788208638,292215.7392149894,161561.94527067462,0,0,0,0
2045,AL,10914.57329930513,8383.849819555266,299522.97134058765,165534.9848645337,0,0,0,0
2046,AL,10984.147411294769,8507.123192291516,306339.80146237614,169222.36637023804,0,0,0,0
2047,AL,11044.175340035084,8613.2024337453,312475.64383043273,172529.50797317552,0,0,0,0
2048,AL,11098.163865148663,8708.907463982874,318207.9569834374,175626.13231500363,0,0,0,0
2049,AL,11141.313162271344,8785.056017447307,322942.8666122154,178170.5473117511,0,0,0,0
2050,AL,11177.557282264277,8849.515044288946,327030.3171332421,180382.70350459992,0,0,0,0
2025,AZ,1914.7018210867104,1914.7018210867104,36379.33460064749,36379.33460064749,0,0,0,0
2026,AZ,1930.657669595766,1930.657669595766,36682.49572231955,36682.49572231955,0,0,0,0
2027,AZ,4270.848784257301,4270.848784257301,81146.1269008887,81146.1269008887,11878.722133636436,11878.722133636436,95565.89346755676,95565.89346755676
2028,AZ,4270.848784257301,4270.848784257301,81146.12690088869,81146.12690088869,12678.71333572749,11161.92257179157,111424.08274010812,96282.69302940162
2029,AZ,4270.848784257301,4270.848784257301,81146.12690088869,81146.12690088869,15493.579916742192,15493.579916742192,137614.9973149581,137614.9973149581
2030,AZ,4270.848784257301,4270.848784257301,81146.1269008887,81146.1269008887,15223.893834812083,14472.140541113264,146232.46120720243,138636.43669058703
2031,AZ,4270.848784257301,4270.848784257301,81146.1269008887,81146.1269008887,15939.12364213484,13450.701165484332,171360.02556533748,139657.87606621598
2032,AZ,4544.9626346123705,4270.848784257301,86711.48904125123,81146.1269008887,16011.05894609868,12429.2617898554,197631.7637260188,140679.31544184493
2033,AZ,5123.753334712428,4270.848784257301,101395.1117149525,81146.1269008887,16846.968794717566,12618.147153762804,230925.91477786517,146966.1195153979
2034,AZ,5513.545553986136,4270.848784257301,114446.97484112761,81146.1269008887,17228.71817128581,13112.961561645176,260484.25431278005,158642.37058396765
2035,AZ,5837.6430052858295,4270.848784257301,128164.1436288313,81146.1269008887,17914.90186614876,13826.106109749298,291704.8827995324,170170.4504893166
2036,AZ,5965.218352874199,4270.848784257301,134510.23991113715,81146.1269008887,18185.006191346507,14186.986412624208,306148.76093775564,176666.9391392382
2037,AZ,6078.591545718976,4270.848784257301,140701.55089324992,81146.1269008887,18425.041514218283,14504.481771028677,320240.3437570737,182806.8373691857
2038,AZ,6183.034473629333,4365.570823789177,146931.8946709118,82986.66649894393,18646.169554221167,14798.20988182863,334420.7662216202,188879.78446689883
2039,AZ,6281.383083097839,4497.468736071436,153325.05262335166,85693.18200832036,18854.39461726657,15077.466001960409,348971.7579298491,195039.88328318088
2040,AZ,6375.887533360908,4627.001360805273,160015.34381904174,88528.66711326221,19054.480772225383,15351.714301935375,364199.0325315927,201493.52021155818
2041,AZ,6418.363316935194,4703.930107488362,163216.33636534814,90303.240345150145,19144.41110027431,15514.588929392306,371484.5737845866,205532.49446730793
2042,AZ,6479.6311005507205,4814.002064412378,168065.79361336055,92969.728090845,19274.128115847165,15747.63482901302,382522.0630395344,211601.48906533627
2043,AZ,6537.796538813294,4918.389300876541,172944.08869758717,95648.17890799127,19397.276802084223,15968.644958300572,393625.1879504063,217697.71192125996
2044,AZ,6592.1368192599675,5015.543346160254,177764.5746891185,98283.51670632705,19512.326810244605,16174.340873206165,404596.73788147554,223695.80843901163
2045,AZ,6639.698757077285,5100.175306896119,182209.8075655241,100700.44912592464,19613.025615790433,16353.524854099405,414714.20208412956,229196.80870500568
2046,AZ,6682.02300853765,5175.1666086440055,186356.71255627877,102943.60620856145,19702.63511791061,16512.29749581439,424152.66435648047,234302.29184065168
2047,AZ,6718.539998521342,5239.698147195058,190089.34999684652,104955.45068368176,19779.949404128525,16648.924579367744,432648.2430441301,238881.30154031806
2048,AZ,6751.383017965436,5297.918707256247,193576.5071649244,106839.2304916272,19849.485108103458,16772.189970254258,440585.1023264238,243168.8327681492
2049,AZ,6777.6321737150665,5344.242410613778,196456.91052243102,108387.08294798191,19905.060190866632,16870.267168338152,447140.9743513654,246691.78471545468
2050,AZ,6799.680680044101,5383.454985275775,198943.44292272223,109732.8112986316,19951.741599431847,16953.28858445468,452800.3859610958,249754.69700661098
2025,CA,11749.470043394027,11749.470043394027,223239.93082448645,223239.93082448645,1972.6801947136041,1918.9625211999737,18359.893449705996,17337.44523648974
