Country,Year,Scenario,Mineral,Recycling Scenario,Tonnes,Type
CA,2050,Increasing Batt Cap - Benchmark Chemistry,Cobalt,Minerals Demand,0.022774824049208275,Demand
CA,2050,Increasing Batt Cap - Benchmark Chemistry,Copper,Minerals Demand,0.14333613830171285,Demand
CA,2050,Increasing Batt Cap - Benchmark Chemistry,Graphite,Minerals Demand,0.3114861521295294,Demand
CA,2050,Increasing Batt Cap - Benchmark Chemistry,Lithium,Minerals Demand,0.032585134078065466,Demand
CA,2050,Increasing Batt Cap - Benchmark Chemistry,Manganese,Minerals Demand,0.015197126818136173,Demand
CA,2050,Increasing Batt Cap - Benchmark Chemistry,Nickel,Minerals Demand,0.14185464349591215,Demand
MX,2050,Increasing Batt Cap - Benchmark Chemistry,Cobalt,Minerals Demand,2.122510206830526e-4,Demand
MX,2050,Increasing Batt Cap - Benchmark Chemistry,Copper,Minerals Demand,0.008973159253695845,Demand
MX,2050,Increasing Batt Cap - Benchmark Chemistry,Graphite,Minerals Demand,0.016710919594167144,Demand
MX,2050,Increasing Batt Cap - Benchmark Chemistry,Lithium,Minerals Demand,0.0015884896299236376,Demand
MX,2050,Increasing Batt Cap - Benchmark Chemistry,Manganese,Minerals Demand,1.9788004541535566e-4,Demand
MX,2050,Increasing Batt Cap - Benchmark Chemistry,Nickel,Minerals Demand,0.0016916690886546095,Demand
US,2050,Increasing Batt Cap - Benchmark Chemistry,Cobalt,Minerals Demand,0.14290801165612022,Demand
US,2050,Increasing Batt Cap - Benchmark Chemistry,Copper,Minerals Demand,0.9019598513018334,Demand
US,2050,Increasing Batt Cap - Benchmark Chemistry,Graphite,Minerals Demand,1.9591325513247502,Demand
US,2050,Increasing Batt Cap - Benchmark Chemistry,Lithium,Minerals Demand,0.204895098117361,Demand
US,2050,Increasing Batt Cap - Benchmark Chemistry,Manganese,Minerals Demand,0.09537808252024788,Demand
US,2050,Increasing Batt Cap - Benchmark Chemistry,Nickel,Minerals Demand,0.8902363759751604,Demand
CA,2050,Increasing Batt Cap - Benchmark Chemistry,Cobalt,Current NA Recycling Capacity,6.566219024415143e-4,Recycling
CA,2050,Increasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.013482232148002444,Recycling
CA,2050,Increasing Batt Cap - Benchmark Chemistry,Copper,Current NA Recycling Capacity,0.003729762395465224,Recycling
CA,2050,Increasing Batt Cap - Benchmark Chemistry,Copper,All Material is Recycled in NA,0.0766347044916175,Recycling
CA,2050,Increasing Batt Cap - Benchmark Chemistry,Graphite,Current NA Recycling Capacity,0.00770557864255019,Recycling
