Year,Scenario,Mineral,Recycling Scenario,Recycle_v_Demand
2026,Increasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.004523874089146827
2026,Increasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.004523874089146827
2027,Increasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.0055871107397645
2027,Increasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.0055871107397645
2028,Increasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.007678281512174451
2028,Increasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.007678281512174451
2029,Increasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.010273943234783523
2029,Increasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.010273943234783523
2030,Increasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.013159097155278524
2030,Increasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.013159097155278524
2031,Increasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.017064890108379478
2031,Increasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.017064890108379478
2032,Increasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.02218361321166414
2032,Increasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.02218361321166414
2033,Increasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.026934640650389037
2033,Increasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.026934640650389037
2034,Increasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.032875626337548314
2034,Increasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.032875626337548314
2035,Increasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.04079076900334418
2035,Increasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.04079076900334418
2036,Increasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.04694949381209559
2036,Increasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.05436082542549825
2037,Increasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.04558997381028177
2037,Increasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.07240586914157496
2038,Increasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.044486648480499304
2038,Increasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.0943723256199657
2039,Increasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.044481082572492406
2039,Increasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.1308618924387706
2040,Increasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.041967077940899225
2040,Increasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.15865112886110394
2041,Increasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.04030164521897012
2041,Increasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.19135410952196283
2042,Increasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.038596131412178776
2042,Increasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.22434316921478734
2043,Increasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.03691400421882858
2043,Increasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.2590994121273183
2044,Increasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.035430662992301895
2044,Increasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.29664978472042114
2045,Increasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.03415396602736775
2045,Increasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.33703587877126556
2046,Increasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.03306865725568428
2046,Increasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.38008109705376564
2047,Increasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.032169608669525195
2047,Increasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.42614552515998205
2048,Increasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.03139884167891305
2048,Increasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.4734305997329596
2049,Increasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.030743755469490108
2049,Increasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.5214206790480269
2050,Increasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.03015756821385363
2050,Increasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.5667165282802686
2026,Increasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.004698271325462957
2026,Increasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.004698271325462957
2027,Increasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.00608425671508091
2027,Increasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.00608425671508091
2028,Increasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.008652374468812703
2028,Increasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.008652374468812703
2029,Increasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.011927020482482554
2029,Increasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.011927020482482554
2030,Increasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.01566331970021094
