Year,LDV,LDV_BESS,HDV,HDV_BESS,Total
2020,817,0,0,0,817
2021,1303,6,0,0,1309
2022,1632,25,0,0,1657
2023,2556,64,0,0,2620
2024,4038,161,1,0,4200
2025,6360,382,4,0,6746
2026,9630,846,134,0,10610
2027,17462,1508,411,0,19381
2028,27205,2435,850,1,30491
2029,39464,3684,1518,4,44670
2030,54305,5279,2484,13,62081
2031,73977,7092,3786,29,84884
2032,94412,9201,5419,67,109099
2033,115359,11913,7405,142,134819
2034,142668,15334,9661,277,167940
2035,178634,19575,12162,516,210887
2036,226881,24510,14880,906,267177
2037,279887,30255,17821,1507,329470
2038,333366,37303,20930,2389,393988
2039,400331,45590,24215,3584,473720
2040,478095,55194,27620,5111,566020
2041,567205,66193,31096,6942,671436
2042,666803,78526,34620,9041,788990
2043,775270,91873,38049,11357,916549
2044,884774,105928,41332,13864,1045898
2045,992295,120355,44405,16562,1173617
2046,1095140,134794,47202,19440,1296576
2047,1192096,148898,49703,22486,1413183
2048,1283023,162227,51857,25665,1522772
2049,1361938,174566,53659,28919,1619082
2050,1428196,185755,55114,32192,1701257
