Year,LDV,LDV_BESS,HDV,HDV_BESS,Total
2020,1983,0,0,0,1983
2021,3188,6,0,0,3194
2022,4254,29,0,0,4283
2023,6576,93,0,0,6669
2024,10324,283,9,0,10616
2025,16110,750,38,0,16898
2026,24474,1751,1161,0,27386
2027,43425,3203,3613,0,50241
2028,67885,5337,7463,2,80687
2029,100097,8293,13368,18,121776
2030,140894,12251,22010,79,175234
2031,197791,17089,33709,218,248807
2032,261364,23279,48732,540,333915
2033,336262,31981,67150,1199,436592
2034,443656,43894,88436,2420,578406
2035,590178,59875,112524,4560,767137
2036,789942,80191,139114,8098,1017345
2037,1025284,106202,168183,13530,1313199
2038,1304508,139537,199361,21434,1664840
2039,1654955,180503,232425,32304,2100187
2040,2073355,229384,266862,46294,2615895
2041,2553157,286382,302259,63287,3205085
2042,3089465,350958,338355,83029,3861807
2043,3668684,421879,373728,105199,4569490
2044,4267510,498026,407999,129694,5303229
2045,4873855,578083,440477,156407,6048822
2046,5484673,659726,470556,185226,6800181
2047,6074029,741216,497786,215909,7528940
2048,6630993,820487,521750,248064,8221294
2049,7134198,896071,542150,281157,8853576
2050,7577363,966851,559072,314556,9417842
