Year,State_Province,Scenario,Tonnes_Scrap
2025,AL,Decreasing Batt Cap - Benchmark Chemistry,0
2025,AL,Decreasing Batt Cap - High LFP Chemistry,0
2025,AL,Increasing Batt Cap - Benchmark Chemistry,0
2025,AL,Increasing Batt Cap - High LFP Chemistry,0
2025,AZ,Decreasing Batt Cap - Benchmark Chemistry,0
2025,AZ,Decreasing Batt Cap - High LFP Chemistry,0
2025,AZ,Increasing Batt Cap - Benchmark Chemistry,0
2025,AZ,Increasing Batt Cap - High LFP Chemistry,0
2025,CA,Decreasing Batt Cap - Benchmark Chemistry,1770.9833563064924
2025,CA,Decreasing Batt Cap - High LFP Chemistry,1770.9833563064924
2025,CA,Increasing Batt Cap - Benchmark Chemistry,1832.9358430998122
2025,CA,Increasing Batt Cap - High LFP Chemistry,1832.9358430998122
2025,CO,Decreasing Batt Cap - Benchmark Chemistry,273.58136297216663
2025,CO,Decreasing Batt Cap - High LFP Chemistry,273.58136297216663
2025,CO,Increasing Batt Cap - Benchmark Chemistry,283.1517780277773
2025,CO,Increasing Batt Cap - High LFP Chemistry,283.1517780277773
2025,FL,Decreasing Batt Cap - Benchmark Chemistry,547.1627259443333
2025,FL,Decreasing Batt Cap - High LFP Chemistry,547.1627259443333
2025,FL,Increasing Batt Cap - Benchmark Chemistry,566.3035560555546
2025,FL,Increasing Batt Cap - High LFP Chemistry,566.3035560555546
2025,GA,Decreasing Batt Cap - Benchmark Chemistry,3574.7964761696444
2025,GA,Decreasing Batt Cap - High LFP Chemistry,3574.7964761696444
2025,GA,Increasing Batt Cap - Benchmark Chemistry,3699.8498995629575
2025,GA,Increasing Batt Cap - High LFP Chemistry,3699.8498995629575
2025,IL,Decreasing Batt Cap - Benchmark Chemistry,17138.17337267013
2025,IL,Decreasing Batt Cap - High LFP Chemistry,17138.17337267013
2025,IL,Increasing Batt Cap - Benchmark Chemistry,17737.70044092352
2025,IL,Increasing Batt Cap - High LFP Chemistry,17737.70044092352
2025,IN,Decreasing Batt Cap - Benchmark Chemistry,386.6616596673289
2025,IN,Decreasing Batt Cap - High LFP Chemistry,386.6616596673289
2025,IN,Increasing Batt Cap - Benchmark Chemistry,400.1878462792586
2025,IN,Increasing Batt Cap - High LFP Chemistry,400.1878462792586
2025,KS,Decreasing Batt Cap - Benchmark Chemistry,0
2025,KS,Decreasing Batt Cap - High LFP Chemistry,0
2025,KS,Increasing Batt Cap - Benchmark Chemistry,0
2025,KS,Increasing Batt Cap - High LFP Chemistry,0
2025,KY,Decreasing Batt Cap - Benchmark Chemistry,0
