Year,State_Province,Mineral,Available Recycled Minerals (w Scrap) (Tonne),Available Recycled Minerals No R Restraint (Tonne),Minerals Recoverable in Exported Scrap/Batts (Tonne),Minerals Recoverable in Exported BM (Tonne),Minerals Lost to Pyrometalurgy (Tonne),Scrap_min,Batt_min,Battery_Scenario,Chemistry_Scenario,Scenario
2025,AB,Cobalt,0.4466833506635438,0.4466833506635438,0,0,0,0.01389334933673391,0.43279000132680984,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,AB,Copper,1.531109160997553,1.6161707810529722,0,0,0.08506162005541928,0.03432159223229627,1.5818491888206765,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,AB,Graphite,0,3.3436408373256055,0,0,3.3436408373256055,0,3.3436408373256055,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,AB,Lithium,0,0.33877934783224684,0,0,0.33877934783224684,0.008659318187636612,0.33012002964461024,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,AB,Manganese,0,0.21086491464502471,0,0,0.21086491464502471,0.012875255294437539,0.19798965935058718,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,AB,Nickel,1.9117001235186772,1.9117001235186772,0,0,0,0.057057438715982026,1.8546426848026951,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,AK,Cobalt,0.16746498846356256,0.16746498846356256,0,0,0,0.01389334933673391,0.15357163912682864,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,AK,Copper,0.39484887806649244,0.41678492684796425,0,0,0.021936048781471817,0.03432159223229627,0.38246333461566795,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,AK,Graphite,0,0.877534802080874,0,0,0.877534802080874,0,0.877534802080874,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,AK,Lithium,0,0.10022077462248291,0,0,0.10022077462248291,0.008659318187636612,0.0915614564348463,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,AK,Manganese,0,0.07341014817035567,0,0,0.07341014817035567,0.012875255294437539,0.06053489287591814,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,AK,Nickel,0.7033751690098474,0.7033751690098474,0,0,0,0.057057438715982026,0.6463177302938654,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,AL,Cobalt,0.4971812131439704,0.4971812131439704,0,0,0,0.01389334933673391,0.48328786380723654,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,AL,Copper,1.2116468376232752,1.278960550824568,0,0,0.06731371320129287,0.03432159223229627,1.244638958592272,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,AL,Graphite,0,2.8222353567195886,0,0,2.8222353567195886,0,2.8222353567195886,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,AL,Lithium,0,0.30167641346086693,0,0,0.30167641346086693,0.008659318187636612,0.2930170952732303,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,AL,Manganese,0,0.2279631972983415,0,0,0.2279631972983415,0.012875255294437539,0.21508794200390396,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,AL,Nickel,2.056791212324617,2.056791212324617,0,0,0,0.057057438715982026,1.9997337736086351,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,AR,Cobalt,0.31343037214865077,0.31343037214865077,0,0,0,0.01389334933673391,0.2995370228119169,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,AR,Copper,0.7556876691127086,0.7976703173967478,0,0,0.04198264828403919,0.03432159223229627,0.7633487251644516,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,AR,Graphite,0,1.7373698360112015,0,0,1.7373698360112015,0,1.7373698360112015,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,AR,Lithium,0,0.18930293126859857,0,0,0.18930293126859857,0.008659318187636612,0.18064361308096202,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,AR,Manganese,0,0.14687100587042268,0,0,0.14687100587042268,0.012875255294437539,0.13399575057598515,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,AR,Nickel,1.2997972526093449,1.2997972526093449,0,0,0,0.057057438715982026,1.2427398138933632,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,AZ,Cobalt,2.356504225039354,2.356504225039354,0,0,0,0.01389334933673391,2.34261087570262,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,AZ,Copper,5.775286444221055,6.096135691122224,0,0,0.3208492469011688,0.03432159223229627,6.061814098889927,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,AZ,Graphite,0,13.822502890862056,0,0,13.822502890862056,0,13.822502890862056,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,AZ,Lithium,0,1.4427839561325964,0,0,1.4427839561325964,0.008659318187636612,1.43412463794496,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,AZ,Manganese,0,0.9464667481190144,0,0,0.9464667481190144,0.012875255294437539,0.9335914928245769,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,AZ,Nickel,10.06823681165289,10.06823681165289,0,0,0,0.057057438715982026,10.011179372936905,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,BC,Cobalt,2.7508886709902636,2.7508886709902636,0,0,0,0.01389334933673391,2.7369953216535294,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,BC,Copper,7.627793594709011,8.05155990552618,0,0,0.4237663108171681,0.03432159223229627,8.017238313293884,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,BC,Graphite,0,17.89359152583698,0,0,17.89359152583698,0,17.89359152583698,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,BC,Lithium,0,1.831910279188437,0,0,1.831910279188437,0.008659318187636612,1.8232509610008,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,BC,Manganese,0,0.9807343673416303,0,0,0.9807343673416303,0.012875255294437539,0.967859112047193,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,BC,Nickel,12.271014227451774,12.271014227451774,0,0,0,0.057057438715982026,12.213956788735793,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,CA,Cobalt,40.607125440877816,40.607125440877816,0,0,0,0.01389334933673391,40.59323209154109,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,CA,Copper,93.06046569905435,98.23049157122404,0,0,5.170025872169688,0.03432159223229627,98.19616997899172,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
