Year,State_Province,Add_LIB_proj_tonnes,Add_LIB_15_tonnes,Add_LIB_proj_LFP_tonnes,Add_LIB_15_LFP_tonnes,Tonnes_Scrap_proj_down,Tonnes_Scrap_15_down,Tonnes_Prod_proj_down,Tonnes_Prod_15_down,Tonnes_Scrap_proj_mid,Tonnes_Scrap_15_mid,Tonnes_Prod_proj_mid,Tonnes_Prod_15_mid,Cumulative_black_mass_cap,Cumulative_refining_cap,Recycle_Batt_15,Recycle_Batt_15_LFP,Recycle_Batt_Proj,Recycle_Batt_Proj_LFP,Country
2050,AB,165696.63584293547,87991.0622038863,177040.63979254456,93991.9917640054,0,0,0,0,0,0,0,0,0,0,44481.52558747851,46882.639620938215,77082.2143542127,81321.90635287305,CA
2050,AK,17530.379030511973,9643.604904812943,18573.265109978387,10207.337013444492,0,0,0,0,0,0,0,0,0,0,5670.974078558614,5918.414329891544,9446.068926798911,9872.420522851526,US
2050,AL,133217.08485738287,73191.40142267545,141220.08576120448,77515.70867960835,10368.835331700395,7337.938358347596,255011.2070122972,139706.3175477852,0,0,0,0,18000,0,41691.24228418963,43525.82375158727,69524.67709990988,72687.75593306548,US
2050,AR,71766.4735088478,39148.41285397404,76033.11296926116,41431.2689750834,0,0,0,0,0,0,0,0,0,0,22796.081908573644,23782.527056862116,38259.11377015755,39976.54593911584,US
2050,AZ,237460.69809462008,130891.56196770754,251857.2885170618,138708.74163501215,6307.70816011774,4463.91250132812,155131.81759914744,84988.0098415693,18910.13044161394,15006.420268494998,353084.00142157904,193434.89331928483,14100,0,71188.30481226108,74392.68867996527,118573.2247990655,124077.23876489115,US
2050,BC,142181.7682968796,76425.6213779734,151865.0281055089,81609.23090696264,0,0,0,0,0,0,0,0,250000,250000,41774.14037208121,44012.72639598801,71365.04282987709,75266.99496057196,CA
2050,CA,1199114.1033876222,665413.45994273,1272422.803634101,705568.3498830524,35577.057894081685,25177.587399811015,874982.4049938242,479353.7160698089,1610.6786542813277,1278.178428132337,30074.08468248713,16475.90187833558,45823.36185,45823.36185,397208.163921413,415215.8582918001,655340.1661159953,686026.714636676,US
2050,CO,220067.17907223487,119519.97054289782,233550.7619959834,126724.11157558324,0,0,0,0,248.81750581070972,197.452898269671,4645.842123968146,2545.1959647274325,0,0,62765.86960426576,65624.13001651762,106134.3749951587,111130.34040895067,US
2050,CT,82773.03107406895,45628.21231651679,87717.99320590749,48309.117076718,0,0,0,0,0,0,0,0,0,0,28361.49017853395,29611.813400295385,47185.8679769213,49336.96523995107,US
2050,DC,15275.119290999268,8649.482503339354,16111.401110297074,9114.438902362124,0,0,0,0,0,0,0,0,0,0,4768.869158524478,4960.558635812788,7777.070509374054,8099.651584944964,US
2050,DE,33978.71976148875,18669.13253996165,36062.27316518691,19797.613522341042,0,0,0,0,0,0,0,0,0,0,10390.007527758104,10866.006472823352,17372.621218425713,18192.771931101197,US
2050,FL,748393.967293697,414105.4409996562,793627.7361632686,438769.9293903134,0,0,0,0,497.63501162141944,394.905796539342,9291.684247936291,5090.391929454865,15,0,221022.85829382157,230990.96149555527,367632.46756984724,384707.7110443748,US
2050,GA,331095.0655618564,182429.41257974002,351037.37107760453,193244.84378963703,39759.141975839535,28137.213454199635,977836.6094824867,535701.7578745952,45450.664394756306,36068.062750593235,848640.4946448479,464922.4628902109,32000,129143,99341.3601022628,103755.18397793615,165455.9195377639,173044.8647717716,US
2050,HI,42480.39372930548,23338.770260261077,45053.044422328356,24730.099744507945,0,0,0,0,0,0,0,0,0,0,13327.162248878296,13924.774593714305,22253.57199830949,23284.403285927085,US
2050,IA,85291.36777013174,46442.36385953078,90431.31957789518,49191.220367236914,0,0,0,0,0,0,0,0,0,0,26601.011898232493,27775.2755573636,44758.31530572525,46805.10060282655,US
2050,ID,79010.95805517206,42800.50630313296,83894.6921919748,45404.92214895861,0,0,0,0,0,0,0,0,0,0,21139.8557180897,22109.643585076352,35838.916108554244,37536.52254033479,US
