Year,Scenario,Mineral,Recycling Scenario,Tonne
2025,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,117.2705662148087
2025,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,117.2705662148087
2025,Decreasing Batt Cap - Benchmark Chemistry,Copper,Recycling Limited to NA 2025 Online or Planned,281.15327321106327
2025,Decreasing Batt Cap - Benchmark Chemistry,Copper,All Material is Recycled in NA,296.7728995005667
2025,Decreasing Batt Cap - Benchmark Chemistry,Graphite,Recycling Limited to NA 2025 Online or Planned,0
2025,Decreasing Batt Cap - Benchmark Chemistry,Graphite,All Material is Recycled in NA,667.6056105660709
2025,Decreasing Batt Cap - Benchmark Chemistry,Lithium,Recycling Limited to NA 2025 Online or Planned,0
2025,Decreasing Batt Cap - Benchmark Chemistry,Lithium,All Material is Recycled in NA,70.04350772033341
2025,Decreasing Batt Cap - Benchmark Chemistry,Manganese,Recycling Limited to NA 2025 Online or Planned,0
2025,Decreasing Batt Cap - Benchmark Chemistry,Manganese,All Material is Recycled in NA,51.6249529321823
2025,Decreasing Batt Cap - Benchmark Chemistry,Nickel,Recycling Limited to NA 2025 Online or Planned,476.3075186387303
2025,Decreasing Batt Cap - Benchmark Chemistry,Nickel,All Material is Recycled in NA,476.3075186387303
2025,Decreasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,117.2705662148087
2025,Decreasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,117.2705662148087
2025,Decreasing Batt Cap - High LFP Chemistry,Copper,Recycling Limited to NA 2025 Online or Planned,281.15327321106327
2025,Decreasing Batt Cap - High LFP Chemistry,Copper,All Material is Recycled in NA,296.7728995005667
2025,Decreasing Batt Cap - High LFP Chemistry,Graphite,Recycling Limited to NA 2025 Online or Planned,0
2025,Decreasing Batt Cap - High LFP Chemistry,Graphite,All Material is Recycled in NA,667.6056105660709
2025,Decreasing Batt Cap - High LFP Chemistry,Lithium,Recycling Limited to NA 2025 Online or Planned,0
2025,Decreasing Batt Cap - High LFP Chemistry,Lithium,All Material is Recycled in NA,70.04350772033341
2025,Decreasing Batt Cap - High LFP Chemistry,Manganese,Recycling Limited to NA 2025 Online or Planned,0
2025,Decreasing Batt Cap - High LFP Chemistry,Manganese,All Material is Recycled in NA,51.6249529321823
2025,Decreasing Batt Cap - High LFP Chemistry,Nickel,Recycling Limited to NA 2025 Online or Planned,476.3075186387303
2025,Decreasing Batt Cap - High LFP Chemistry,Nickel,All Material is Recycled in NA,476.3075186387303
2025,Increasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,117.30215730231674
2025,Increasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,117.30215730231674
2025,Increasing Batt Cap - Benchmark Chemistry,Copper,Recycling Limited to NA 2025 Online or Planned,281.2272071683237
2025,Increasing Batt Cap - Benchmark Chemistry,Copper,All Material is Recycled in NA,296.85094089989735
2025,Increasing Batt Cap - Benchmark Chemistry,Graphite,Recycling Limited to NA 2025 Online or Planned,0
2025,Increasing Batt Cap - Benchmark Chemistry,Graphite,All Material is Recycled in NA,667.6056105660709
2025,Increasing Batt Cap - Benchmark Chemistry,Lithium,Recycling Limited to NA 2025 Online or Planned,0
2025,Increasing Batt Cap - Benchmark Chemistry,Lithium,All Material is Recycled in NA,70.06319752097076
2025,Increasing Batt Cap - Benchmark Chemistry,Manganese,Recycling Limited to NA 2025 Online or Planned,0
2025,Increasing Batt Cap - Benchmark Chemistry,Manganese,All Material is Recycled in NA,51.65422904889378
2025,Increasing Batt Cap - Benchmark Chemistry,Nickel,Recycling Limited to NA 2025 Online or Planned,476.43725744366327
2025,Increasing Batt Cap - Benchmark Chemistry,Nickel,All Material is Recycled in NA,476.43725744366327
2025,Increasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,117.30215730231674
2025,Increasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,117.30215730231674
2025,Increasing Batt Cap - High LFP Chemistry,Copper,Recycling Limited to NA 2025 Online or Planned,281.2272071683237
2025,Increasing Batt Cap - High LFP Chemistry,Copper,All Material is Recycled in NA,296.85094089989735
2025,Increasing Batt Cap - High LFP Chemistry,Graphite,Recycling Limited to NA 2025 Online or Planned,0
2025,Increasing Batt Cap - High LFP Chemistry,Graphite,All Material is Recycled in NA,667.6056105660709
2025,Increasing Batt Cap - High LFP Chemistry,Lithium,Recycling Limited to NA 2025 Online or Planned,0
2025,Increasing Batt Cap - High LFP Chemistry,Lithium,All Material is Recycled in NA,70.06319752097076
2025,Increasing Batt Cap - High LFP Chemistry,Manganese,Recycling Limited to NA 2025 Online or Planned,0
2025,Increasing Batt Cap - High LFP Chemistry,Manganese,All Material is Recycled in NA,51.65422904889378
2025,Increasing Batt Cap - High LFP Chemistry,Nickel,Recycling Limited to NA 2025 Online or Planned,476.43725744366327
2025,Increasing Batt Cap - High LFP Chemistry,Nickel,All Material is Recycled in NA,476.43725744366327
2026,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,190.34120530455178
2026,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,190.34120530455178
2026,Decreasing Batt Cap - Benchmark Chemistry,Copper,Recycling Limited to NA 2025 Online or Planned,589.3702901228979
2026,Decreasing Batt Cap - Benchmark Chemistry,Copper,All Material is Recycled in NA,622.1130840186141
2026,Decreasing Batt Cap - Benchmark Chemistry,Graphite,Recycling Limited to NA 2025 Online or Planned,0
2026,Decreasing Batt Cap - Benchmark Chemistry,Graphite,All Material is Recycled in NA,1335.493406346418
2026,Decreasing Batt Cap - Benchmark Chemistry,Lithium,Recycling Limited to NA 2025 Online or Planned,0
2026,Decreasing Batt Cap - Benchmark Chemistry,Lithium,All Material is Recycled in NA,134.3642993907973
2026,Decreasing Batt Cap - Benchmark Chemistry,Manganese,Recycling Limited to NA 2025 Online or Planned,0
2026,Decreasing Batt Cap - Benchmark Chemistry,Manganese,All Material is Recycled in NA,84.23238042628083
2026,Decreasing Batt Cap - Benchmark Chemistry,Nickel,Recycling Limited to NA 2025 Online or Planned,802.0552653398908
2026,Decreasing Batt Cap - Benchmark Chemistry,Nickel,All Material is Recycled in NA,802.0552653398908
2026,Decreasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,190.35016146491893
2026,Decreasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,190.35016146491893
2026,Decreasing Batt Cap - High LFP Chemistry,Copper,Recycling Limited to NA 2025 Online or Planned,589.359572365545
2026,Decreasing Batt Cap - High LFP Chemistry,Copper,All Material is Recycled in NA,622.1017708302973
2026,Decreasing Batt Cap - High LFP Chemistry,Graphite,Recycling Limited to NA 2025 Online or Planned,0
2026,Decreasing Batt Cap - High LFP Chemistry,Graphite,All Material is Recycled in NA,1335.4895725734593
2026,Decreasing Batt Cap - High LFP Chemistry,Lithium,Recycling Limited to NA 2025 Online or Planned,0
2026,Decreasing Batt Cap - High LFP Chemistry,Lithium,All Material is Recycled in NA,134.36513253464844
2026,Decreasing Batt Cap - High LFP Chemistry,Manganese,Recycling Limited to NA 2025 Online or Planned,0
2026,Decreasing Batt Cap - High LFP Chemistry,Manganese,All Material is Recycled in NA,84.2367563291434
2026,Decreasing Batt Cap - High LFP Chemistry,Nickel,Recycling Limited to NA 2025 Online or Planned,802.0980372848236
2026,Decreasing Batt Cap - High LFP Chemistry,Nickel,All Material is Recycled in NA,802.0980372848236
2026,Increasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,190.92933871116657
2026,Increasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,190.92933871116657
2026,Increasing Batt Cap - Benchmark Chemistry,Copper,Recycling Limited to NA 2025 Online or Planned,596.7453858168652
2026,Increasing Batt Cap - Benchmark Chemistry,Copper,All Material is Recycled in NA,629.8979072511356
2026,Increasing Batt Cap - Benchmark Chemistry,Graphite,Recycling Limited to NA 2025 Online or Planned,0
2026,Increasing Batt Cap - Benchmark Chemistry,Graphite,All Material is Recycled in NA,1349.4058983739646
2026,Increasing Batt Cap - Benchmark Chemistry,Lithium,Recycling Limited to NA 2025 Online or Planned,0
2026,Increasing Batt Cap - Benchmark Chemistry,Lithium,All Material is Recycled in NA,135.62913397372728
2026,Increasing Batt Cap - Benchmark Chemistry,Manganese,Recycling Limited to NA 2025 Online or Planned,0
2026,Increasing Batt Cap - Benchmark Chemistry,Manganese,All Material is Recycled in NA,84.6163560281177
2026,Increasing Batt Cap - Benchmark Chemistry,Nickel,Recycling Limited to NA 2025 Online or Planned,805.2632683329809
2026,Increasing Batt Cap - Benchmark Chemistry,Nickel,All Material is Recycled in NA,805.2632683329809
2026,Increasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,190.93884296509717
2026,Increasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,190.93884296509717
2026,Increasing Batt Cap - High LFP Chemistry,Copper,Recycling Limited to NA 2025 Online or Planned,596.7340121608261
2026,Increasing Batt Cap - High LFP Chemistry,Copper,All Material is Recycled in NA,629.8859017253164
2026,Increasing Batt Cap - High LFP Chemistry,Graphite,Recycling Limited to NA 2025 Online or Planned,0
2026,Increasing Batt Cap - High LFP Chemistry,Graphite,All Material is Recycled in NA,1349.4018299841398
2026,Increasing Batt Cap - High LFP Chemistry,Lithium,Recycling Limited to NA 2025 Online or Planned,0
2026,Increasing Batt Cap - High LFP Chemistry,Lithium,All Material is Recycled in NA,135.63001810380058
2026,Increasing Batt Cap - High LFP Chemistry,Manganese,Recycling Limited to NA 2025 Online or Planned,0
2026,Increasing Batt Cap - High LFP Chemistry,Manganese,All Material is Recycled in NA,84.62099972477749
2026,Increasing Batt Cap - High LFP Chemistry,Nickel,Recycling Limited to NA 2025 Online or Planned,805.3086578089486
2026,Increasing Batt Cap - High LFP Chemistry,Nickel,All Material is Recycled in NA,805.3086578089486
2027,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,335.6949851491513
2027,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,335.6949851491513
2027,Decreasing Batt Cap - Benchmark Chemistry,Copper,Recycling Limited to NA 2025 Online or Planned,1186.6302602356477
2027,Decreasing Batt Cap - Benchmark Chemistry,Copper,All Material is Recycled in NA,1252.554163582072
