Year,Tonnes_Scrap_proj_down,Tonnes_Scrap_15_down,Tonnes_Prod_proj_down,Tonnes_Prod_15_down,Tonnes_Scrap_proj_mid,Tonnes_Scrap_15_mid,Tonnes_Prod_proj_mid,Tonnes_Prod_15_mid
2025,131417.27013807948,131417.27013807948,2496928.13262351,2496928.13262351,83453.45276413027,80632.75996700372,735859.5268247213,694884.0702975244
2026,197999.11671953966,197999.11671953966,3761983.2176712533,3761983.2176712533,83539.48869378732,76618.39729547263,745470.6603244939,667579.2841435657
2027,252625.13418584992,252625.13418584992,4799877.549531148,4799877.549531148,179581.0187035586,179581.0187035586,1530843.247628786,1530843.247628786
2028,280281.9382682136,280281.9382682136,5325356.827096056,5325356.827096056,172624.71767871862,172624.71767871862,1578091.2795040733,1578091.2795040733
2029,280281.9382682136,280281.9382682136,5325356.827096056,5325356.827096056,282998.96594118763,282998.96594118763,2571710.4565438647,2571710.4565438647
2030,287089.7669654108,287089.7669654108,5454705.572342804,5454705.572342804,264850.2282348922,264850.2282348922,2589859.19425016,2589859.19425016
2031,287089.7669654108,287089.7669654108,5454705.572342804,5454705.572342804,249820.73342190997,249820.73342190997,2604888.6890631416,2604888.6890631416
2032,287089.7669654108,287089.7669654108,5454705.572342804,5454705.572342804,250879.2130193633,235382.59824744985,2803925.6700365464,2619326.8242376023
2033,287089.7669654108,287089.7669654108,5454705.572342804,5454705.572342804,276746.2837615704,227748.68291380204,3347039.0309727006,2626960.7395712496
2034,308915.3648402497,287089.7669654108,5903511.797306224,5454705.572342804,284990.52818082407,220383.56741584605,3726889.050659104,2634325.8550692056
2035,334433.6002444892,287089.7669654108,6531873.669555793,5454705.572342804,299976.13340831787,220383.56741584605,4123574.119130918,2634325.8550692056
2036,347533.9570539159,287089.7669654108,6909422.9554690765,5454705.572342804,307669.328975154,220383.56741584605,4361921.114625436,2634325.8550692056
2037,357923.18142151047,287089.7669654108,7241360.2350081215,5454705.572342804,313770.4097327508,220383.56741584605,4571473.234633754,2634325.8550692056
2038,366904.63922192773,287089.7669654108,7555136.640296787,5454705.572342804,319044.7783884332,224007.22750735618,4769560.388412138,2678364.9100165954
2039,374589.3738829424,287089.7669654108,7846028.838561796,5454705.572342804,323557.6452886607,229666.0922871026,4953200.734338219,2750162.30463818
2040,381068.9765797827,287089.7669654108,8109293.3142031515,5454705.572342804,327362.7974282057,234236.65756475035,5119399.689364104,2811024.0065226345
2041,384722.66665625205,287089.7669654108,8265681.651746733,5454705.572342804,329508.4300020194,238173.81548521772,5218127.701241355,2865652.883070026
2042,390263.54538263864,287089.7669654108,8514703.718750149,5454705.572342804,332762.31569950964,244097.36048596527,5375335.418741136,2951964.182637326
2043,395606.29726305796,287089.7669654108,8769456.055401826,5454705.572342804,335899.85123988293,249801.15003510437,5536160.657462637,3040133.719595933
2044,400818.00685566355,287089.7669654108,9033089.279087367,5454705.572342804,338960.43208640016,255344.11598322663,5702592.403257051,3131014.3329637386
2045,405600.7490615816,287089.7669654108,9289366.7067508,5454705.572342804,341769.10147389444,260410.39373569685,5864380.432464639,3218965.513282062
2046,410394.2306350393,287089.7669654108,9561237.303451937,5454705.572342804,344584.0775640187,265470.75697176316,6036012.43470845,3311888.9093067874
2047,414483.1850075208,287089.7669654108,9806048.555192327,5454705.572342804,346985.3194621583,269776.76057556254,6190561.86306832,3395291.2975458866
2048,418199.2412923495,289672.5018774227,10039666.711348237,5504223.007517451,349167.5766443434,273690.14070341305,6338045.086293164,3474817.8988078074
2049,421368.55868592963,295338.99569386616,10247890.566231905,5616077.782413633,351028.7609522886,277017.79396830755,6469496.878293663,3545431.8570986562
2050,424009.0336256035,300067.65973174904,10428081.070822734,5712959.922675693,352579.38208389183,279794.70590608916,6583251.206505342,3606593.5859380662
