Year,Mineral,Total_Minerals_Exported,Scenario
2035,Cobalt,0,Decreasing Batt Cap - Benchmark Chemistry
2035,Copper,0,Decreasing Batt Cap - Benchmark Chemistry
2035,Graphite,0,Decreasing Batt Cap - Benchmark Chemistry
2035,Lithium,0,Decreasing Batt Cap - Benchmark Chemistry
2035,Manganese,0,Decreasing Batt Cap - Benchmark Chemistry
2035,Nickel,0,Decreasing Batt Cap - Benchmark Chemistry
2035,Cobalt,0,Decreasing Batt Cap - High LFP Chemistry
2035,Copper,0,Decreasing Batt Cap - High LFP Chemistry
2035,Graphite,0,Decreasing Batt Cap - High LFP Chemistry
2035,Lithium,0,Decreasing Batt Cap - High LFP Chemistry
2035,Manganese,0,Decreasing Batt Cap - High LFP Chemistry
2035,Nickel,0,Decreasing Batt Cap - High LFP Chemistry
2035,Cobalt,0,Increasing Batt Cap - Benchmark Chemistry
2035,Copper,0,Increasing Batt Cap - Benchmark Chemistry
2035,Graphite,0,Increasing Batt Cap - Benchmark Chemistry
2035,Lithium,0,Increasing Batt Cap - Benchmark Chemistry
2035,Manganese,0,Increasing Batt Cap - Benchmark Chemistry
2035,Nickel,0,Increasing Batt Cap - Benchmark Chemistry
2035,Cobalt,0,Increasing Batt Cap - High LFP Chemistry
2035,Copper,0,Increasing Batt Cap - High LFP Chemistry
2035,Graphite,0,Increasing Batt Cap - High LFP Chemistry
2035,Lithium,0,Increasing Batt Cap - High LFP Chemistry
2035,Manganese,0,Increasing Batt Cap - High LFP Chemistry
2035,Nickel,0,Increasing Batt Cap - High LFP Chemistry
2036,Cobalt,0,Decreasing Batt Cap - Benchmark Chemistry
2036,Copper,0,Decreasing Batt Cap - Benchmark Chemistry
2036,Graphite,0,Decreasing Batt Cap - Benchmark Chemistry
2036,Lithium,0,Decreasing Batt Cap - Benchmark Chemistry
2036,Manganese,0,Decreasing Batt Cap - Benchmark Chemistry
2036,Nickel,0,Decreasing Batt Cap - Benchmark Chemistry
2036,Cobalt,0,Decreasing Batt Cap - High LFP Chemistry
2036,Copper,0,Decreasing Batt Cap - High LFP Chemistry
2036,Graphite,0,Decreasing Batt Cap - High LFP Chemistry
2036,Lithium,0,Decreasing Batt Cap - High LFP Chemistry
2036,Manganese,0,Decreasing Batt Cap - High LFP Chemistry
2036,Nickel,0,Decreasing Batt Cap - High LFP Chemistry
2036,Cobalt,1621.038845891725,Increasing Batt Cap - Benchmark Chemistry
2036,Copper,8846.284045881936,Increasing Batt Cap - Benchmark Chemistry
2036,Graphite,17968.539182286753,Increasing Batt Cap - Benchmark Chemistry
2036,Lithium,1695.248305200431,Increasing Batt Cap - Benchmark Chemistry
2036,Manganese,740.2973934381928,Increasing Batt Cap - Benchmark Chemistry
2036,Nickel,8326.884144228905,Increasing Batt Cap - Benchmark Chemistry
2036,Cobalt,1603.9681918395752,Increasing Batt Cap - High LFP Chemistry
2036,Copper,9081.702922088321,Increasing Batt Cap - High LFP Chemistry
2036,Graphite,18332.75676975509,Increasing Batt Cap - High LFP Chemistry
2036,Lithium,1723.1029961992651,Increasing Batt Cap - High LFP Chemistry
2036,Manganese,727.0831903222869,Increasing Batt Cap - High LFP Chemistry
2036,Nickel,8234.279550594434,Increasing Batt Cap - High LFP Chemistry
2037,Cobalt,928.7835023992118,Decreasing Batt Cap - Benchmark Chemistry
2037,Copper,4665.492212472641,Decreasing Batt Cap - Benchmark Chemistry
2037,Graphite,9622.018677228616,Decreasing Batt Cap - Benchmark Chemistry
2037,Lithium,915.9487277251582,Decreasing Batt Cap - Benchmark Chemistry
2037,Manganese,422.62914753329244,Decreasing Batt Cap - Benchmark Chemistry
2037,Nickel,4796.7562332807165,Decreasing Batt Cap - Benchmark Chemistry
2037,Cobalt,944.8616775988176,Decreasing Batt Cap - High LFP Chemistry
2037,Copper,4918.891683950829,Decreasing Batt Cap - High LFP Chemistry
2037,Graphite,10079.668083189772,Decreasing Batt Cap - High LFP Chemistry
2037,Lithium,955.8528158627158,Decreasing Batt Cap - High LFP Chemistry
2037,Manganese,426.901111598417,Decreasing Batt Cap - High LFP Chemistry
2037,Nickel,4878.124146682992,Decreasing Batt Cap - High LFP Chemistry
2037,Cobalt,4173.961609454278,Increasing Batt Cap - Benchmark Chemistry
2037,Copper,22696.482468430673,Increasing Batt Cap - Benchmark Chemistry
2037,Graphite,46238.257250453185,Increasing Batt Cap - Benchmark Chemistry
2037,Lithium,4364.2768193692655,Increasing Batt Cap - Benchmark Chemistry
2037,Manganese,1953.4511429622928,Increasing Batt Cap - Benchmark Chemistry
2037,Nickel,21711.21364664457,Increasing Batt Cap - Benchmark Chemistry
2037,Cobalt,4063.0040979128876,Increasing Batt Cap - High LFP Chemistry
2037,Copper,23106.383415812943,Increasing Batt Cap - High LFP Chemistry
2037,Graphite,46718.08297098651,Increasing Batt Cap - High LFP Chemistry
2037,Lithium,4389.439094858427,Increasing Batt Cap - High LFP Chemistry
2037,Manganese,1886.100220591006,Increasing Batt Cap - High LFP Chemistry
2037,Nickel,21124.609995813367,Increasing Batt Cap - High LFP Chemistry
2038,Cobalt,4239.014748725117,Decreasing Batt Cap - Benchmark Chemistry
2038,Copper,21162.231609547318,Decreasing Batt Cap - Benchmark Chemistry
2038,Graphite,43724.317875670546,Decreasing Batt Cap - Benchmark Chemistry
2038,Lithium,4164.692242294857,Decreasing Batt Cap - Benchmark Chemistry
2038,Manganese,1970.1372688683452,Decreasing Batt Cap - Benchmark Chemistry
2038,Nickel,21956.933501798878,Decreasing Batt Cap - Benchmark Chemistry
2038,Cobalt,4153.3108282640305,Decreasing Batt Cap - High LFP Chemistry
2038,Copper,21597.26685445179,Decreasing Batt Cap - High LFP Chemistry
2038,Graphite,44294.849792269466,Decreasing Batt Cap - High LFP Chemistry
2038,Lithium,4200.646200425836,Decreasing Batt Cap - High LFP Chemistry
2038,Manganese,1915.9848235325587,Decreasing Batt Cap - High LFP Chemistry
2038,Nickel,21503.32911223493,Decreasing Batt Cap - High LFP Chemistry
2038,Cobalt,7938.499761460208,Increasing Batt Cap - Benchmark Chemistry
2038,Copper,42683.787309318635,Increasing Batt Cap - Benchmark Chemistry
2038,Graphite,87174.51713802727,Increasing Batt Cap - Benchmark Chemistry
2038,Lithium,8237.136615617053,Increasing Batt Cap - Benchmark Chemistry
