Year,State_Province,Tonnes_Scrap_proj_down,Tonnes_Scrap_15_down,Tonnes_Prod_proj_down,Tonnes_Prod_15_down,Tonnes_Scrap_proj_mid,Tonnes_Scrap_15_mid,Tonnes_Prod_proj_mid,Tonnes_Prod_15_mid
2025,AL,7020.573343984605,7020.573343984605,133390.89353570747,133390.89353570747,0,0,0,0
2026,AL,7020.573343984604,7020.573343984604,133390.89353570747,133390.89353570747,0,0,0,0
2027,AL,7020.573343984605,7020.573343984605,133390.89353570747,133390.89353570747,0,0,0,0
2028,AL,7020.573343984605,7020.573343984605,133390.89353570747,133390.89353570747,0,0,0,0
2029,AL,7020.573343984605,7020.573343984605,133390.89353570747,133390.89353570747,0,0,0,0
2030,AL,7020.573343984606,7020.573343984606,133390.8935357075,133390.8935357075,0,0,0,0
2031,AL,7020.573343984606,7020.573343984606,133390.8935357075,133390.8935357075,0,0,0,0
2032,AL,7020.573343984606,7020.573343984606,133390.8935357075,133390.8935357075,0,0,0,0
2033,AL,7020.573343984606,7020.573343984606,133390.8935357075,133390.8935357075,0,0,0,0
2034,AL,7554.30261018685,7020.573343984606,144366.12631010366,133390.8935357075,0,0,0,0
2035,AL,8178.332665866656,7020.573343984606,159732.26303215232,133390.8935357075,0,0,0,0
2036,AL,8498.692450142871,7020.573343984606,168964.9587173405,133390.8935357075,0,0,0,0
2037,AL,8752.753444481961,7020.573343984606,177082.2456594674,133390.8935357075,0,0,0,0
2038,AL,8972.38852200574,7020.573343984606,184755.42151044199,133390.8935357075,0,0,0,0
2039,AL,9160.313169710844,7020.573343984606,191868.98057142537,133390.8935357075,0,0,0,0
2040,AL,9318.767183777212,7020.573343984606,198306.9235870971,133390.8935357075,0,0,0,0
2041,AL,9408.115541362986,7020.573343984606,202131.28767180096,133390.8935357075,0,0,0,0
2042,AL,9543.613737275371,7020.573343984606,208220.94284881323,133390.8935357075,0,0,0,0
2043,AL,9674.266883960725,7020.573343984606,214450.7276402371,133390.8935357075,0,0,0,0
2044,AL,9801.715485940482,7020.573343984606,220897.68812357064,133390.8935357075,0,0,0,0
2045,AL,9918.673999637918,7020.573343984606,227164.76791654568,133390.8935357075,0,0,0,0
2046,AL,10035.895136828618,7020.573343984606,233813.16742025613,133390.8935357075,0,0,0,0
2047,AL,10135.887569076029,7020.573343984606,239799.8501447685,133390.8935357075,0,0,0,0
2048,AL,10226.761047339563,7083.732264866775,245512.81378368707,134601.80672541898,0,0,0,0
2049,AL,10304.264420055306,7222.3022872750325,250604.77808680397,137337.13463116123,0,0,0,0
2050,AL,10368.835331700395,7337.938358347596,255011.2070122972,139706.3175477852,0,0,0,0
2025,AZ,1914.7018210867104,1914.7018210867104,36379.33460064749,36379.33460064749,0,0,0,0
2026,AZ,1930.657669595766,1930.657669595766,36682.49572231955,36682.49572231955,0,0,0,0
2027,AZ,4270.848784257301,4270.848784257301,81146.1269008887,81146.1269008887,11878.722133636436,11878.722133636436,95565.89346755676,95565.89346755676
2028,AZ,4270.848784257301,4270.848784257301,81146.12690088869,81146.12690088869,11161.92257179157,11161.92257179157,96282.69302940162,96282.69302940162
2029,AZ,4270.848784257301,4270.848784257301,81146.12690088869,81146.12690088869,15493.579916742192,15493.579916742192,137614.9973149581,137614.9973149581
2030,AZ,4270.848784257301,4270.848784257301,81146.1269008887,81146.1269008887,14472.140541113264,14472.140541113264,138636.43669058703,138636.43669058703
2031,AZ,4270.848784257301,4270.848784257301,81146.1269008887,81146.1269008887,13450.701165484332,13450.701165484332,139657.87606621598,139657.87606621598
2032,AZ,4270.848784257301,4270.848784257301,81146.1269008887,81146.1269008887,13247.552875478332,12429.2617898554,150593.78622038505,140679.31544184493
2033,AZ,4270.848784257301,4270.848784257301,81146.1269008887,81146.1269008887,14733.099796504956,12124.621976071332,179629.17902553617,140983.95525562897
2034,AZ,4595.534087863666,4270.848784257301,87822.72683864638,81146.1269008887,15285.091347858619,11819.982162287266,199886.78201443306,141288.59506941304
2035,AZ,4975.1523717355485,4270.848784257301,97170.46001122598,81146.1269008887,16088.824532492239,11819.982162287266,221162.46281206314,141288.59506941304
2036,AZ,5170.0379071702455,4270.848784257301,102787.01655304879,81146.1269008887,16501.43893672051,11819.982162287266,233945.8897626943,141288.59506941304
2037,AZ,5324.591678726525,4270.848784257301,107725.03277617597,81146.1269008887,16828.662361638555,11819.982162287266,245184.9415196435,141288.59506941304
2038,AZ,5458.203017553491,4270.848784257301,112392.8814188522,81146.1269008887,17111.54617261642,12014.332395138435,255809.084924223,143650.57173593968
2039,AZ,5572.523844907429,4270.848784257301,116720.29651428376,81146.1269008887,17353.587840636137,12317.838148946237,265658.39283122664,147501.33036407505
2040,AZ,5668.91670346447,4270.848784257301,120636.71184881737,81146.1269008887,17557.67216026847,12562.974393389666,274572.2547258839,150765.56752601956
2041,AZ,5723.270287662482,4270.848784257301,122963.20000034556,81146.1269008887,17672.750335318822,12774.13866909186,279867.4015146879,153695.51531617192
2042,AZ,5805.698356842517,4270.848784257301,126667.74023302802,81146.1269008887,17847.268205927037,13091.840197691889,288299.0302355128,158324.70810605126
2043,AZ,5885.179021076106,4270.848784257301,130457.52598114422,81146.1269008887,18015.545789213353,13397.755432293074,296924.679938999,163053.56500916774
2044,AZ,5962.710253947125,4270.848784257301,134379.42694183878,81146.1269008887,18179.696008924653,13695.045105026904,305851.02725969703,167927.82692216345
2045,AZ,6033.860016446399,4270.848784257301,138191.90048256525,81146.1269008887,18330.335289562583,13966.76823468473,314528.3149619007,172644.9725546829
2046,AZ,6105.169541570742,4270.848784257301,142236.34351398912,81146.1269008887,18481.312821883548,14238.174147050853,323733.57118307584,177628.7964229974
2047,AZ,6165.9982711879165,4270.848784257301,145878.24217140084,81146.1269008887,18610.10026613882,14469.120974822345,332022.62606963376,182101.97358787272
2048,AZ,6221.279637131566,4309.2704611272875,149353.62838507627,81882.76575796319,18727.14275378618,14679.009959957793,339932.6943573701,186367.27802669923
2049,AZ,6268.427522200311,4393.567224758977,152451.24000280572,83546.75690062308,18826.964921013063,14857.484256814561,346982.93796158023,190154.5646070612
2050,AZ,6307.70816011774,4463.91250132812,155131.81759914744,84988.0098415693,18910.13044161394,15006.420268494998,353084.00142157904,193434.89331928483
2025,CA,11749.470043394027,11749.470043394027,223239.93082448645,223239.93082448645,1832.9358430998122,1770.9833563064924,15917.82900409078,15031.463758295933
