Country,Year,Scenario,Mineral,Recycling Scenario,Tonnes,Type
CA,2050,Increasing Batt Cap - Benchmark Chemistry,Cobalt,Minerals Demand,0.014893990178470545,Demand
CA,2050,Increasing Batt Cap - Benchmark Chemistry,Copper,Minerals Demand,0.07855525281639557,Demand
CA,2050,Increasing Batt Cap - Benchmark Chemistry,Graphite,Minerals Demand,0.17625345970286738,Demand
CA,2050,Increasing Batt Cap - Benchmark Chemistry,Lithium,Minerals Demand,0.018755596434744132,Demand
CA,2050,Increasing Batt Cap - Benchmark Chemistry,Manganese,Minerals Demand,0.009826607788833708,Demand
CA,2050,Increasing Batt Cap - Benchmark Chemistry,Nickel,Minerals Demand,0.09203349171171164,Demand
MX,2050,Increasing Batt Cap - Benchmark Chemistry,Cobalt,Minerals Demand,3.927039091695965e-5,Demand
MX,2050,Increasing Batt Cap - Benchmark Chemistry,Copper,Minerals Demand,0.0016602015411693416,Demand
MX,2050,Increasing Batt Cap - Benchmark Chemistry,Graphite,Minerals Demand,0.003091831280400636,Demand
MX,2050,Increasing Batt Cap - Benchmark Chemistry,Lithium,Minerals Demand,2.9390015903757986e-4,Demand
MX,2050,Increasing Batt Cap - Benchmark Chemistry,Manganese,Minerals Demand,3.661149290646128e-5,Demand
MX,2050,Increasing Batt Cap - Benchmark Chemistry,Nickel,Minerals Demand,3.1299028009295114e-4,Demand
US,2050,Increasing Batt Cap - Benchmark Chemistry,Cobalt,Minerals Demand,0.12305896336766305,Demand
US,2050,Increasing Batt Cap - Benchmark Chemistry,Copper,Minerals Demand,0.728324675891862,Demand
US,2050,Increasing Batt Cap - Benchmark Chemistry,Graphite,Minerals Demand,1.599590718786036,Demand
US,2050,Increasing Batt Cap - Benchmark Chemistry,Lithium,Minerals Demand,0.16830118675725236,Demand
US,2050,Increasing Batt Cap - Benchmark Chemistry,Manganese,Minerals Demand,0.08177448546973075,Demand
US,2050,Increasing Batt Cap - Benchmark Chemistry,Nickel,Minerals Demand,0.7642474325089704,Demand
CA,2050,Increasing Batt Cap - Benchmark Chemistry,Cobalt,Current NA Recycling Capacity,5.376909499028626e-4,Recycling
CA,2050,Increasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.007718969560005822,Recycling
CA,2050,Increasing Batt Cap - Benchmark Chemistry,Copper,Current NA Recycling Capacity,0.0025791435489425783,Recycling
CA,2050,Increasing Batt Cap - Benchmark Chemistry,Copper,All Material is Recycled in NA,0.0370503282092829,Recycling
CA,2050,Increasing Batt Cap - Benchmark Chemistry,Graphite,Current NA Recycling Capacity,0.005496527054368564,Recycling
CA,2050,Increasing Batt Cap - Benchmark Chemistry,Graphite,All Material is Recycled in NA,0.07901488198215727,Recycling
CA,2050,Increasing Batt Cap - Benchmark Chemistry,Lithium,Current NA Recycling Capacity,5.256698718016964e-4,Recycling
CA,2050,Increasing Batt Cap - Benchmark Chemistry,Lithium,All Material is Recycled in NA,0.00755020370166796,Recycling
