Year,Scenario,Mineral,Recycling Scenario,Recycle_v_Demand
2026,Increasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.00678550401397562
2026,Increasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.00678550401397562
2027,Increasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.008066492432493431
2027,Increasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.008066492432493431
2028,Increasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.010923246076723882
2028,Increasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.010923246076723882
2029,Increasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.014160073853000695
2029,Increasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.014160073853000695
2030,Increasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.017941257727859525
2030,Increasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.017941257727859525
2031,Increasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.022484812620862164
2031,Increasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.022484812620862164
2032,Increasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.02821705946758411
2032,Increasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.02821705946758411
2033,Increasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.0325289053503255
2033,Increasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.0325289053503255
2034,Increasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.039311301644463344
2034,Increasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.039311301644463344
2035,Increasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.048570898695314266
2035,Increasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.048570898695314266
2036,Increasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.06298418573699843
2036,Increasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.06298418573699843
2037,Increasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.06568023020223163
2037,Increasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.08202412246656508
2038,Increasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.06339691611865686
2038,Increasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.10466632265406538
2039,Increasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.06269109801373637
2039,Increasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.14076683385821823
2040,Increasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.05882927412834932
2040,Increasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.16395642894131685
2041,Increasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.056355891253580544
