State_Province,Year,Cumulative_black_mass_cap,Delay_Cumulative_black_mass_cap,Cumulative_refining_cap,Delay_Cumulative_refining_cap
AL,2025,0,0,0,0
AL,2026,0,0,0,0
AL,2027,0,0,0,0
AL,2028,0,0,0,0
AL,2029,18000,18000,0,0
AL,2030,18000,18000,0,0
AL,2031,18000,18000,0,0
AL,2032,18000,18000,0,0
AL,2033,18000,18000,0,0
AL,2034,18000,18000,0,0
AL,2035,18000,18000,0,0
AL,2036,18000,18000,0,0
AL,2037,18000,18000,0,0
AL,2038,18000,18000,0,0
AL,2039,18000,18000,0,0
AL,2040,18000,18000,0,0
AL,2041,18000,18000,0,0
AL,2042,18000,18000,0,0
AL,2043,18000,18000,0,0
AL,2044,18000,18000,0,0
AL,2045,18000,18000,0,0
AL,2046,18000,18000,0,0
AL,2047,18000,18000,0,0
AL,2048,18000,18000,0,0
AL,2049,18000,18000,0,0
AL,2050,18000,18000,0,0
AZ,2025,9100,9100,0,0
AZ,2026,9100,9100,0,0
AZ,2027,9100,9100,0,0
AZ,2028,9100,9100,0,0
AZ,2029,14100,14100,0,0
AZ,2030,14100,14100,0,0
AZ,2031,14100,14100,0,0
AZ,2032,14100,14100,0,0
AZ,2033,14100,14100,0,0
AZ,2034,14100,14100,0,0
AZ,2035,14100,14100,0,0
AZ,2036,14100,14100,0,0
AZ,2037,14100,14100,0,0
AZ,2038,14100,14100,0,0
AZ,2039,14100,14100,0,0
AZ,2040,14100,14100,0,0
AZ,2041,14100,14100,0,0
AZ,2042,14100,14100,0,0
AZ,2043,14100,14100,0,0
AZ,2044,14100,14100,0,0
AZ,2045,14100,14100,0,0
AZ,2046,14100,14100,0,0
AZ,2047,14100,14100,0,0
AZ,2048,14100,14100,0,0
AZ,2049,14100,14100,0,0
AZ,2050,14100,14100,0,0
BC,2025,0,0,0,0
BC,2026,0,0,0,0
BC,2027,0,0,0,0
BC,2028,250000,0,250000,0
BC,2029,250000,0,250000,0
BC,2030,250000,0,250000,0
BC,2031,250000,0,250000,0
BC,2032,250000,0,250000,0
BC,2033,250000,250000,250000,250000
BC,2034,250000,250000,250000,250000
BC,2035,250000,250000,250000,250000
BC,2036,250000,250000,250000,250000
BC,2037,250000,250000,250000,250000
BC,2038,250000,250000,250000,250000
BC,2039,250000,250000,250000,250000
BC,2040,250000,250000,250000,250000
BC,2041,250000,250000,250000,250000
BC,2042,250000,250000,250000,250000
BC,2043,250000,250000,250000,250000
BC,2044,250000,250000,250000,250000
BC,2045,250000,250000,250000,250000
BC,2046,250000,250000,250000,250000
BC,2047,250000,250000,250000,250000
BC,2048,250000,250000,250000,250000
BC,2049,250000,250000,250000,250000
BC,2050,250000,250000,250000,250000
CA,2025,45823.36185,45823.36185,45823.36185,45823.36185
CA,2026,45823.36185,45823.36185,45823.36185,45823.36185
CA,2027,45823.36185,45823.36185,45823.36185,45823.36185
CA,2028,45823.36185,45823.36185,45823.36185,45823.36185
CA,2029,45823.36185,45823.36185,45823.36185,45823.36185
CA,2030,45823.36185,45823.36185,45823.36185,45823.36185
CA,2031,45823.36185,45823.36185,45823.36185,45823.36185
CA,2032,45823.36185,45823.36185,45823.36185,45823.36185
CA,2033,45823.36185,45823.36185,45823.36185,45823.36185
CA,2034,45823.36185,45823.36185,45823.36185,45823.36185
CA,2035,45823.36185,45823.36185,45823.36185,45823.36185
CA,2036,45823.36185,45823.36185,45823.36185,45823.36185
CA,2037,45823.36185,45823.36185,45823.36185,45823.36185
CA,2038,45823.36185,45823.36185,45823.36185,45823.36185
CA,2039,45823.36185,45823.36185,45823.36185,45823.36185
CA,2040,45823.36185,45823.36185,45823.36185,45823.36185
CA,2041,45823.36185,45823.36185,45823.36185,45823.36185
CA,2042,45823.36185,45823.36185,45823.36185,45823.36185
CA,2043,45823.36185,45823.36185,45823.36185,45823.36185
CA,2044,45823.36185,45823.36185,45823.36185,45823.36185
CA,2045,45823.36185,45823.36185,45823.36185,45823.36185
CA,2046,45823.36185,45823.36185,45823.36185,45823.36185
CA,2047,45823.36185,45823.36185,45823.36185,45823.36185
CA,2048,45823.36185,45823.36185,45823.36185,45823.36185
CA,2049,45823.36185,45823.36185,45823.36185,45823.36185
CA,2050,45823.36185,45823.36185,45823.36185,45823.36185
FL,2025,15,15,0,0
FL,2026,15,15,0,0
FL,2027,15,15,0,0
FL,2028,15,15,0,0
FL,2029,15,15,0,0
FL,2030,15,15,0,0
FL,2031,15,15,0,0
FL,2032,15,15,0,0
FL,2033,15,15,0,0
FL,2034,15,15,0,0
FL,2035,15,15,0,0
FL,2036,15,15,0,0
FL,2037,15,15,0,0
FL,2038,15,15,0,0
FL,2039,15,15,0,0
FL,2040,15,15,0,0
FL,2041,15,15,0,0
FL,2042,15,15,0,0
FL,2043,15,15,0,0
FL,2044,15,15,0,0
FL,2045,15,15,0,0
FL,2046,15,15,0,0
FL,2047,15,15,0,0
FL,2048,15,15,0,0
