Year,Policy scenario,Capacity scenario,Recycling step,Annual capacity deficit (million metric tonnes/year)
2025,Baseline Policy,Decrease LIB Capacity,Materials recovery (refining),0
2026,Baseline Policy,Decrease LIB Capacity,Materials recovery (refining),0
2027,Baseline Policy,Decrease LIB Capacity,Materials recovery (refining),0
2028,Baseline Policy,Decrease LIB Capacity,Materials recovery (refining),0
2029,Baseline Policy,Decrease LIB Capacity,Materials recovery (refining),0
2030,Baseline Policy,Decrease LIB Capacity,Materials recovery (refining),0
2031,Baseline Policy,Decrease LIB Capacity,Materials recovery (refining),0
2032,Baseline Policy,Decrease LIB Capacity,Materials recovery (refining),0
2033,Baseline Policy,Decrease LIB Capacity,Materials recovery (refining),0
2034,Baseline Policy,Decrease LIB Capacity,Materials recovery (refining),0
2035,Baseline Policy,Decrease LIB Capacity,Materials recovery (refining),0
2036,Baseline Policy,Decrease LIB Capacity,Materials recovery (refining),0
2037,Baseline Policy,Decrease LIB Capacity,Materials recovery (refining),0.0810012093909272
2038,Baseline Policy,Decrease LIB Capacity,Materials recovery (refining),0.438756738165629
2039,Baseline Policy,Decrease LIB Capacity,Materials recovery (refining),0.809508392182524
2040,Baseline Policy,Decrease LIB Capacity,Materials recovery (refining),1.22127901175774
2041,Baseline Policy,Decrease LIB Capacity,Materials recovery (refining),1.66364738042256
2042,Baseline Policy,Decrease LIB Capacity,Materials recovery (refining),2.13366837673566
2043,Baseline Policy,Decrease LIB Capacity,Materials recovery (refining),2.62520055655357
2044,Baseline Policy,Decrease LIB Capacity,Materials recovery (refining),3.13022055807349
2045,Baseline Policy,Decrease LIB Capacity,Materials recovery (refining),3.6429407137048
2046,Baseline Policy,Decrease LIB Capacity,Materials recovery (refining),4.1609580511036
2047,Baseline Policy,Decrease LIB Capacity,Materials recovery (refining),4.6719244618264
2048,Baseline Policy,Decrease LIB Capacity,Materials recovery (refining),5.1681711486813
2049,Baseline Policy,Decrease LIB Capacity,Materials recovery (refining),5.6352445445934
2050,Baseline Policy,Decrease LIB Capacity,Materials recovery (refining),6.0670980894918
2025,Baseline Policy,Decrease LIB Capacity,Preprocessing (black mass production),0
2026,Baseline Policy,Decrease LIB Capacity,Preprocessing (black mass production),0
2027,Baseline Policy,Decrease LIB Capacity,Preprocessing (black mass production),0
2028,Baseline Policy,Decrease LIB Capacity,Preprocessing (black mass production),0
