"Year","Scenario","Mineral","Recycling Scenario","Tonne"
2025,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",121.429826945185
2025,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",121.429826945185
2025,"Decreasing Batt Cap - Benchmark Chemistry","Copper","Recycling Limited to NA 2025 Online or Planned",289.238961738941
2025,"Decreasing Batt Cap - Benchmark Chemistry","Copper","All Material is Recycled in NA",305.30779294666
2025,"Decreasing Batt Cap - Benchmark Chemistry","Graphite","Recycling Limited to NA 2025 Online or Planned",0
2025,"Decreasing Batt Cap - Benchmark Chemistry","Graphite","All Material is Recycled in NA",686.759249074798
2025,"Decreasing Batt Cap - Benchmark Chemistry","Lithium","Recycling Limited to NA 2025 Online or Planned",0
2025,"Decreasing Batt Cap - Benchmark Chemistry","Lithium","All Material is Recycled in NA",72.1168343260857
2025,"Decreasing Batt Cap - Benchmark Chemistry","Manganese","Recycling Limited to NA 2025 Online or Planned",0
2025,"Decreasing Batt Cap - Benchmark Chemistry","Manganese","All Material is Recycled in NA",53.9175781124588
2025,"Decreasing Batt Cap - Benchmark Chemistry","Nickel","Recycling Limited to NA 2025 Online or Planned",489.436481892914
2025,"Decreasing Batt Cap - Benchmark Chemistry","Nickel","All Material is Recycled in NA",489.436481892914
2025,"Decreasing Batt Cap - High LFP Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",121.429826945185
2025,"Decreasing Batt Cap - High LFP Chemistry","Cobalt","All Material is Recycled in NA",121.429826945185
2025,"Decreasing Batt Cap - High LFP Chemistry","Copper","Recycling Limited to NA 2025 Online or Planned",289.238961738941
2025,"Decreasing Batt Cap - High LFP Chemistry","Copper","All Material is Recycled in NA",305.30779294666
2025,"Decreasing Batt Cap - High LFP Chemistry","Graphite","Recycling Limited to NA 2025 Online or Planned",0
2025,"Decreasing Batt Cap - High LFP Chemistry","Graphite","All Material is Recycled in NA",686.759249074798
2025,"Decreasing Batt Cap - High LFP Chemistry","Lithium","Recycling Limited to NA 2025 Online or Planned",0
2025,"Decreasing Batt Cap - High LFP Chemistry","Lithium","All Material is Recycled in NA",72.1168343260857
2025,"Decreasing Batt Cap - High LFP Chemistry","Manganese","Recycling Limited to NA 2025 Online or Planned",0
2025,"Decreasing Batt Cap - High LFP Chemistry","Manganese","All Material is Recycled in NA",53.9175781124588
2025,"Decreasing Batt Cap - High LFP Chemistry","Nickel","Recycling Limited to NA 2025 Online or Planned",489.436481892914
2025,"Decreasing Batt Cap - High LFP Chemistry","Nickel","All Material is Recycled in NA",489.436481892914
2025,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",121.455070982468
2025,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",121.455070982468
2025,"Increasing Batt Cap - Benchmark Chemistry","Copper","Recycling Limited to NA 2025 Online or Planned",289.298041426307
2025,"Increasing Batt Cap - Benchmark Chemistry","Copper","All Material is Recycled in NA",305.370154838879
2025,"Increasing Batt Cap - Benchmark Chemistry","Graphite","Recycling Limited to NA 2025 Online or Planned",0
