"Year","Tonnes_Scrap_proj_down","Tonnes_Scrap_15_down","Tonnes_Prod_proj_down","Tonnes_Prod_15_down","Tonnes_Scrap_proj_mid","Tonnes_Scrap_15_mid","Tonnes_Prod_proj_mid","Tonnes_Prod_15_mid"
2025,131417.270138079,131417.270138079,2496928.13262351,2496928.13262351,84420.6282278492,82166.6483952489,751044.948471434,716582.745149979
2026,197999.11671954,197999.11671954,3761983.21767125,3761983.21767125,102593.253993404,98669.559554048,1098239.01602767,1000720.67481456
2027,252625.13418585,252625.13418585,4799877.54953115,4799877.54953115,179581.018703559,179581.018703559,1530843.24762879,1530843.24762879
2028,280281.938268214,280281.938268214,5325356.82709606,5325356.82709606,201975.303405289,174394.476007694,1901372.96861532,1594437.54300391
2029,280281.938268214,280281.938268214,5325356.82709606,5325356.82709606,282998.965941188,282998.965941188,2571710.45654386,2571710.45654386
2030,287089.766965411,287089.766965411,5454705.5723428,5454705.5723428,292530.363705056,264850.228234892,2892121.81307287,2589859.19425016
2031,287089.766965411,287089.766965411,5454705.5723428,5454705.5723428,309544.005392199,249820.73342191,3423271.39886507,2604888.68906314
2032,325392.99962674,287089.766965411,6294513.31041406,5454705.5723428,315610.167013383,260312.988152263,3973728.44185972,2929615.03423379
2033,363067.27492002,287089.766965411,7417807.75292967,5454705.5723428,327736.497681348,277369.405118917,4682864.61405945,3358747.53252279
2034,388727.455007099,309332.349752461,8444176.8499825,5912806.49815861,331860.245333086,285235.402921621,5330811.78196152,3732756.79853957
2035,409925.31476197,334361.116601149,9533941.71274833,6529899.450867,344308.706322732,299933.567327735,6018780.71880488,4122327.79418612
2036,417989.495642713,345388.233128359,10026184.5684434,6844622.7900111,349044.403334988,306409.250793171,6329533.80478877,4321012.74763675
2037,425134.961422572,355152.327483707,10506857.9504439,7149751.74559852,353240.584130693,312143.223424717,6632983.07800585,4513640.76341148
2038,431646.53726551,364092.694267403,10986860.5043504,7454013.56000075,357064.512527205,317393.461346231,6936008.85721387,4705721.35265444
2039,437825.534473186,372600.670835194,11484739.4125419,7768622.79893865,360693.133840128,322389.777749383,7250319.98509872,4904334.27460521
2040,443928.004548583,381417.64411178,12022815.847584,8123961.39661696,364276.814530185,327567.552729949,7590007.82566356,5128659.65489295
2041,446397.269932987,384801.659590591,12255144.827105,8269129.41696353,365726.892706298,329554.818669222,7736677.19123048,5220304.27662172
2042,449881.995089234,389313.883712893,12598722.1164903,8470963.37141466,367773.300488442,332204.626084337,7953577.65350274,5347722.12225699
2043,453222.074616998,393686.544091964,12946619.0883348,8676182.67627414,369734.765003469,334772.474573726,8173205.13281362,5477277.14078235
2044,456336.375084518,397759.60907619,13288765.9068208,8876492.5669206,371563.640575261,337164.385415234,8389202.53830964,5603732.84440772
2045,459043.32712888,401276.391285871,13601196.314576,9057036.9495511,373153.300442566,339229.618728999,8586439.96337709,5717710.5759489
2046,461443.9398061,404402.165129495,13890822.7147526,9223786.20121825,374563.062258579,341065.232050569,8769281.21052979,5822979.43651551
2047,463527.29073001,407169.182983052,14152357.9308453,9376605.35854191,375786.511842827,342690.165614899,8934388.48340122,5919454.22367869
2048,465459.188120356,409911.631159046,14403837.1102944,9533147.53037613,376921.020211965,344300.670615393,9093147.37684244,6018279.35119713
2049,467002.391176017,412115.628438225,14611232.5014246,9662794.11118078,377827.267505779,345594.969873356,9224076.15938728,6100125.28274532
2050,468363.324192469,414244.278988829,14799151.8076577,9791400.60268013,378626.476565596,346845.021701523,9342709.68276349,6181314.60555336
