"Year","Metric","Tonnes"
2025,"LIB Demand (Increasing Batt Cap - Benchmark Chemistry)",1.25370053916181
2025,"LIB Demand (Decreasing Batt Cap - Benchmark Chemistry)",1.19779253696492
2025,"Pack Manufacturing",2.49692813262351
2025,"Decreasing Batt Cap Pack Manufacturing",2.49692813262351
2025,"Cell Manufacturing",0.751044948471434
2025,"Decreasing Batt Cap Cell Manufacturing",0.716582745149979
2025,"EoL Batteries (Increasing Batt Cap - Benchmark Chemistry)",0.00432549191812401
2025,"EoL Batteries (Decreasing Batt Cap - Benchmark Chemistry)",0.00432549191812401
2025,"Black Mass",0.32242336185
2025,"Refining",0.18232836185
2026,"LIB Demand (Increasing Batt Cap - Benchmark Chemistry)",1.82051079480743
2026,"LIB Demand (Decreasing Batt Cap - Benchmark Chemistry)",1.66294601477593
2026,"Pack Manufacturing",3.76198321767125
2026,"Decreasing Batt Cap Pack Manufacturing",3.76198321767125
2026,"Cell Manufacturing",1.09823901602767
2026,"Decreasing Batt Cap Cell Manufacturing",1.00072067481456
2026,"EoL Batteries (Increasing Batt Cap - Benchmark Chemistry)",0.00926080055108866
2026,"EoL Batteries (Decreasing Batt Cap - Benchmark Chemistry)",0.00923851619794411
2026,"Black Mass",0.49552836185
2026,"Refining",0.369437987779
2027,"LIB Demand (Increasing Batt Cap - Benchmark Chemistry)",2.39201041526182
2027,"LIB Demand (Decreasing Batt Cap - Benchmark Chemistry)",2.09589620056035
2027,"Pack Manufacturing",4.79987754953115
2027,"Decreasing Batt Cap Pack Manufacturing",4.79987754953115
2027,"Cell Manufacturing",1.53084324762879
2027,"Decreasing Batt Cap Cell Manufacturing",1.53084324762879
2027,"EoL Batteries (Increasing Batt Cap - Benchmark Chemistry)",0.0191670376090215
2027,"EoL Batteries (Decreasing Batt Cap - Benchmark Chemistry)",0.0190670742705422
2027,"Black Mass",0.53452836185
2027,"Refining",0.556941492483
2028,"LIB Demand (Increasing Batt Cap - Benchmark Chemistry)",3.13216552145959
2028,"LIB Demand (Decreasing Batt Cap - Benchmark Chemistry)",2.64094290431722
2028,"Pack Manufacturing",5.32535682709606
2028,"Decreasing Batt Cap Pack Manufacturing",5.32535682709606
2028,"Cell Manufacturing",1.90137296861532
2028,"Decreasing Batt Cap Cell Manufacturing",1.59443754300391
2028,"EoL Batteries (Increasing Batt Cap - Benchmark Chemistry)",0.0346618149095164
2028,"EoL Batteries (Decreasing Batt Cap - Benchmark Chemistry)",0.0343833592129598
2028,"Black Mass",0.78652836185
2028,"Refining",0.845347182743
2029,"LIB Demand (Increasing Batt Cap - Benchmark Chemistry)",3.86204407126091
2029,"LIB Demand (Decreasing Batt Cap - Benchmark Chemistry)",3.14124439856913
2029,"Pack Manufacturing",5.32535682709606
2029,"Decreasing Batt Cap Pack Manufacturing",5.32535682709606
2029,"Cell Manufacturing",2.57171045654386
2029,"Decreasing Batt Cap Cell Manufacturing",2.57171045654386
2029,"EoL Batteries (Increasing Batt Cap - Benchmark Chemistry)",0.0585929118430754
2029,"EoL Batteries (Decreasing Batt Cap - Benchmark Chemistry)",0.0579543890010478
2029,"Black Mass",0.83752836185
2029,"Refining",0.845347182743
2030,"LIB Demand (Increasing Batt Cap - Benchmark Chemistry)",4.7521909918565
2030,"LIB Demand (Decreasing Batt Cap - Benchmark Chemistry)",3.74193893399151
2030,"Pack Manufacturing",5.4547055723428
2030,"Decreasing Batt Cap Pack Manufacturing",5.4547055723428
2030,"Cell Manufacturing",2.89212181307287
2030,"Decreasing Batt Cap Cell Manufacturing",2.58985919425016
2030,"EoL Batteries (Increasing Batt Cap - Benchmark Chemistry)",0.0941118214032188
2030,"EoL Batteries (Decreasing Batt Cap - Benchmark Chemistry)",0.0928163392166345
2030,"Black Mass",0.91838736185
2030,"Refining",1.402880881403
2031,"LIB Demand (Increasing Batt Cap - Benchmark Chemistry)",5.63844089963234
2031,"LIB Demand (Decreasing Batt Cap - Benchmark Chemistry)",4.32824465435063
2031,"Pack Manufacturing",5.4547055723428
2031,"Decreasing Batt Cap Pack Manufacturing",5.4547055723428
2031,"Cell Manufacturing",3.42327139886507
2031,"Decreasing Batt Cap Cell Manufacturing",2.60488868906314
2031,"EoL Batteries (Increasing Batt Cap - Benchmark Chemistry)",0.146898370561724
2031,"EoL Batteries (Decreasing Batt Cap - Benchmark Chemistry)",0.14445489315147
2031,"Black Mass",0.91838736185
2031,"Refining",1.402880881403
2032,"LIB Demand (Increasing Batt Cap - Benchmark Chemistry)",6.55005993617829
2032,"LIB Demand (Decreasing Batt Cap - Benchmark Chemistry)",4.89237206490703
2032,"Pack Manufacturing",6.29451331041406
2032,"Decreasing Batt Cap Pack Manufacturing",5.4547055723428
2032,"Cell Manufacturing",3.97372844185972
2032,"Decreasing Batt Cap Cell Manufacturing",2.92961503423379
2032,"EoL Batteries (Increasing Batt Cap - Benchmark Chemistry)",0.217620713183367
2032,"EoL Batteries (Decreasing Batt Cap - Benchmark Chemistry)",0.213233609977992
2032,"Black Mass",0.91838736185
2032,"Refining",1.402880881403
2033,"LIB Demand (Increasing Batt Cap - Benchmark Chemistry)",7.72034680901876
2033,"LIB Demand (Decreasing Batt Cap - Benchmark Chemistry)",5.62119691337805
2033,"Pack Manufacturing",7.41780775292967
2033,"Decreasing Batt Cap Pack Manufacturing",5.4547055723428
2033,"Cell Manufacturing",4.68286461405945
2033,"Decreasing Batt Cap Cell Manufacturing",3.35874753252279
2033,"EoL Batteries (Increasing Batt Cap - Benchmark Chemistry)",0.31083803565364
2033,"EoL Batteries (Decreasing Batt Cap - Benchmark Chemistry)",0.303243479963529
2033,"Black Mass",0.91838736185
2033,"Refining",1.402880881403
2034,"LIB Demand (Increasing Batt Cap - Benchmark Chemistry)",8.79524945828523
2034,"LIB Demand (Decreasing Batt Cap - Benchmark Chemistry)",6.26501671946591
2034,"Pack Manufacturing",8.4441768499825
2034,"Decreasing Batt Cap Pack Manufacturing",5.91280649815861
2034,"Cell Manufacturing",5.33081178196152
2034,"Decreasing Batt Cap Cell Manufacturing",3.73275679853957
2034,"EoL Batteries (Increasing Batt Cap - Benchmark Chemistry)",0.436145290948643
2034,"EoL Batteries (Decreasing Batt Cap - Benchmark Chemistry)",0.423317612800132
2034,"Black Mass",0.91838736185
2034,"Refining",1.402880881403
2035,"LIB Demand (Increasing Batt Cap - Benchmark Chemistry)",9.93958160380158
2035,"LIB Demand (Decreasing Batt Cap - Benchmark Chemistry)",6.93971440079282
2035,"Pack Manufacturing",9.53394171274833
2035,"Decreasing Batt Cap Pack Manufacturing",6.529899450867
2035,"Cell Manufacturing",6.01878071880488
2035,"Decreasing Batt Cap Cell Manufacturing",4.12232779418612
2035,"EoL Batteries (Increasing Batt Cap - Benchmark Chemistry)",0.604624919928602
2035,"EoL Batteries (Decreasing Batt Cap - Benchmark Chemistry)",0.583457227540522
2035,"Black Mass",0.91838736185
2035,"Refining",1.402880881403
