"Year","State_Province","Origin","Metric Tonnes (millions)","Region"
2050,"AB","LIB Demand",0.321447559952533,"Canada-Mountain"
2050,"AB","Pack Manufacturing",0,"Canada-Mountain"
2050,"AB","Cell Manufacturing",0,"Canada-Mountain"
2050,"AB","End of Life Batteries",0.18576979464548,"Canada-Mountain"
2050,"AB","Black Mass",0,"Canada-Mountain"
2050,"AB","Refining",0,"Canada-Mountain"
2050,"AK","LIB Demand",0.0222569572262151,"US-West"
2050,"AK","Pack Manufacturing",0,"US-West"
2050,"AK","Cell Manufacturing",0,"US-West"
2050,"AK","End of Life Batteries",0.0133708448944402,"US-West"
2050,"AK","Black Mass",0,"US-West"
2050,"AK","Refining",0,"US-West"
2050,"AL","LIB Demand",0.167215660605315,"US-South"
2050,"AL","Pack Manufacturing",0.361902591627173,"US-South"
2050,"AL","Cell Manufacturing",0,"US-South"
2050,"AL","End of Life Batteries",0.0973618470143521,"US-South"
2050,"AL","Black Mass",0.018,"US-South"
2050,"AL","Refining",0,"US-South"
2050,"AR","LIB Demand",0.0911844211884099,"US-South"
2050,"AR","Pack Manufacturing",0,"US-South"
2050,"AR","Cell Manufacturing",0,"US-South"
2050,"AR","End of Life Batteries",0.0543643938854262,"US-South"
2050,"AR","Black Mass",0,"US-South"
2050,"AR","Refining",0,"US-South"
2050,"AZ","LIB Demand",0.294830601622846,"US-Mountain"
2050,"AZ","Pack Manufacturing",0.22015740990653,"US-Mountain"
2050,"AZ","Cell Manufacturing",0.501083919697693,"US-Mountain"
2050,"AZ","End of Life Batteries",0.163130034260039,"US-Mountain"
2050,"AZ","Black Mass",0.0141,"US-Mountain"
2050,"AZ","Refining",0,"US-Mountain"
2050,"BC","LIB Demand",0.288790841220925,"Canada-West"
2050,"BC","Pack Manufacturing",0,"Canada-West"
2050,"BC","Cell Manufacturing",0,"Canada-West"
2050,"BC","End of Life Batteries",0.177830034916722,"Canada-West"
2050,"BC","Black Mass",0.25,"Canada-West"
2050,"BC","Refining",0.25,"Canada-West"
2050,"CA","LIB Demand",1.97329703645415,"US-West"
2050,"CA","Pack Manufacturing",1.24174307359037,"US-West"
2050,"CA","Cell Manufacturing",0.0426800426339,"US-West"
2050,"CA","End of Life Batteries",1.26531225988648,"US-West"
2050,"CA","Black Mass",0.04582336185,"US-West"
2050,"CA","Refining",0.04582336185,"US-West"
2050,"CO","LIB Demand",0.307536592532979,"US-Mountain"
2050,"CO","Pack Manufacturing",0,"US-Mountain"
2050,"CO","Cell Manufacturing",0.00659320946970649,"US-Mountain"
2050,"CO","End of Life Batteries",0.189558279580885,"US-Mountain"
2050,"CO","Black Mass",0,"US-Mountain"
2050,"CO","Refining",0,"US-Mountain"
2050,"CT","LIB Demand",0.104578393686521,"US-East"
2050,"CT","Pack Manufacturing",0,"US-East"
2050,"CT","Cell Manufacturing",0,"US-East"
2050,"CT","End of Life Batteries",0.0658608734707914,"US-East"
2050,"CT","Black Mass",0,"US-East"
2050,"CT","Refining",0,"US-East"
2050,"DC","LIB Demand",0.0272703621458217,"US-East"
2050,"DC","Pack Manufacturing",0,"US-East"
2050,"DC","Cell Manufacturing",0,"US-East"
2050,"DC","End of Life Batteries",0.0163870427163439,"US-East"
2050,"DC","Black Mass",0,"US-East"
2050,"DC","Refining",0,"US-East"
2050,"DE","LIB Demand",0.0416082695871245,"US-East"
2050,"DE","Pack Manufacturing",0,"US-East"
2050,"DE","Cell Manufacturing",0,"US-East"
2050,"DE","End of Life Batteries",0.0234552958263864,"US-East"
2050,"DE","Black Mass",0,"US-East"
2050,"DE","Refining",0,"US-East"
2050,"FL","LIB Demand",0.932637480720632,"US-East"
2050,"FL","Pack Manufacturing",0,"US-East"
2050,"FL","Cell Manufacturing",0.013186418939413,"US-East"
2050,"FL","End of Life Batteries",0.50761604638997,"US-East"
2050,"FL","Black Mass",1.5e-05,"US-East"
2050,"FL","Refining",0,"US-East"
2050,"GA","LIB Demand",0.414317528018333,"US-East"
2050,"GA","Pack Manufacturing",1.38771000422179,"US-East"
2050,"GA","Cell Manufacturing",1.20435959646639,"US-East"
2050,"GA","End of Life Batteries",0.230385957970363,"US-East"
2050,"GA","Black Mass",0.032,"US-East"
2050,"GA","Refining",0.129143,"US-East"
2050,"HI","LIB Demand",0.0528130293122779,"US-West"
2050,"HI","Pack Manufacturing",0,"US-West"
2050,"HI","Cell Manufacturing",0,"US-West"
2050,"HI","End of Life Batteries",0.0306257861990788,"US-West"
2050,"HI","Black Mass",0,"US-West"
2050,"HI","Refining",0,"US-West"
2050,"IA","LIB Demand",0.106662339442287,"US-Midwest"
2050,"IA","Pack Manufacturing",0,"US-Midwest"
2050,"IA","Cell Manufacturing",0,"US-Midwest"
2050,"IA","End of Life Batteries",0.0623945556032426,"US-Midwest"
2050,"IA","Black Mass",0,"US-Midwest"
2050,"IA","Refining",0,"US-Midwest"
2050,"ID","LIB Demand",0.0957948926605181,"US-West"
2050,"ID","Pack Manufacturing",0,"US-West"
2050,"ID","Cell Manufacturing",0,"US-West"
2050,"ID","End of Life Batteries",0.0484527554445713,"US-West"
2050,"ID","Black Mass",0,"US-West"
2050,"ID","Refining",0,"US-West"
2050,"IL","LIB Demand",0.353380148972324,"US-Midwest"
2050,"IL","Pack Manufacturing",0.109667452008234,"US-Midwest"
2050,"IL","Cell Manufacturing",0.791185136364779,"US-Midwest"
2050,"IL","End of Life Batteries",0.225386053392759,"US-Midwest"
2050,"IL","Black Mass",0.024,"US-Midwest"
2050,"IL","Refining",0,"US-Midwest"
2050,"IN","LIB Demand",0.220377083989552,"US-Midwest"
2050,"IN","Pack Manufacturing",0.410814275222845,"US-Midwest"
2050,"IN","Cell Manufacturing",0.914785836556877,"US-Midwest"
2050,"IN","End of Life Batteries",0.129490528582422,"US-Midwest"
2050,"IN","Black Mass",5e-06,"US-Midwest"
2050,"IN","Refining",5e-06,"US-Midwest"
2050,"KS","LIB Demand",0.0897000127094101,"US-Midwest"
2050,"KS","Pack Manufacturing",0,"US-Midwest"
2050,"KS","Cell Manufacturing",0.26372837878826,"US-Midwest"
2050,"KS","End of Life Batteries",0.0540121845177949,"US-Midwest"
2050,"KS","Black Mass",0,"US-Midwest"
2050,"KS","Refining",0,"US-Midwest"
2050,"KY","LIB Demand",0.139749245830431,"US-South"
2050,"KY","Pack Manufacturing",0.625104476446935,"US-South"
2050,"KY","Cell Manufacturing",0.228564594949825,"US-South"
2050,"KY","End of Life Batteries",0.0825874358308168,"US-South"
2050,"KY","Black Mass",0.00027,"US-South"
2050,"KY","Refining",0.00027,"US-South"
2050,"LA","LIB Demand",0.133850286742252,"US-South"
2050,"LA","Pack Manufacturing",0,"US-South"
2050,"LA","Cell Manufacturing",0,"US-South"
2050,"LA","End of Life Batteries",0.0812648496111485,"US-South"
2050,"LA","Black Mass",0,"US-South"
2050,"LA","Refining",0,"US-South"
2050,"MA","LIB Demand",0.34446695244408,"US-East"
2050,"MA","Pack Manufacturing",0.12066709744466,"US-East"
2050,"MA","Cell Manufacturing",0,"US-East"
2050,"MA","End of Life Batteries",0.21605561781249,"US-East"
2050,"MA","Black Mass",0.03,"US-East"
2050,"MA","Refining",0,"US-East"
2050,"MB","LIB Demand",0.0726238797811891,"Canada-Midwest"
2050,"MB","Pack Manufacturing",0,"Canada-Midwest"
2050,"MB","Cell Manufacturing",0,"Canada-Midwest"
2050,"MB","End of Life Batteries",0.0441905209107241,"Canada-Midwest"
2050,"MB","Black Mass",0,"Canada-Midwest"
2050,"MB","Refining",0,"Canada-Midwest"
2050,"MD","LIB Demand",0.289293674833642,"US-East"
2050,"MD","Pack Manufacturing",0,"US-East"
2050,"MD","Cell Manufacturing",0.00175818919192173,"US-East"
2050,"MD","End of Life Batteries",0.182356229994406,"US-East"
2050,"MD","Black Mass",0,"US-East"
2050,"MD","Refining",0,"US-East"
2050,"ME","LIB Demand",0.0448543239814361,"US-East"
2050,"ME","Pack Manufacturing",0,"US-East"
2050,"ME","Cell Manufacturing",0,"US-East"
2050,"ME","End of Life Batteries",0.027256332230496,"US-East"
2050,"ME","Black Mass",0,"US-East"
2050,"ME","Refining",0,"US-East"
2050,"MI","LIB Demand",0.29743366626223,"US-Midwest"
2050,"MI","Pack Manufacturing",2.22846455829772,"US-Midwest"
2050,"MI","Cell Manufacturing",1.42000150085559,"US-Midwest"
2050,"MI","End of Life Batteries",0.181761394900419,"US-Midwest"
2050,"MI","Black Mass",0.02268,"US-Midwest"
2050,"MI","Refining",0,"US-Midwest"
2050,"MN","LIB Demand",0.210199272209103,"US-Midwest"
2050,"MN","Pack Manufacturing",0,"US-Midwest"
2050,"MN","Cell Manufacturing",0,"US-Midwest"
2050,"MN","End of Life Batteries",0.11982063550964,"US-Midwest"
2050,"MN","Black Mass",0,"US-Midwest"
2050,"MN","Refining",0,"US-Midwest"
2050,"MO","LIB Demand",0.191357294804591,"US-Midwest"
2050,"MO","Pack Manufacturing",0,"US-Midwest"
2050,"MO","Cell Manufacturing",0.00175818919192173,"US-Midwest"
2050,"MO","End of Life Batteries",0.115851498182514,"US-Midwest"
2050,"MO","Black Mass",0,"US-Midwest"
2050,"MO","Refining",0.2060853314,"US-Midwest"
2050,"MS","LIB Demand",0.0833193702269537,"US-South"
2050,"MS","Pack Manufacturing",0,"US-South"
2050,"MS","Cell Manufacturing",0.184609865151782,"US-South"
2050,"MS","End of Life Batteries",0.0518541752030652,"US-South"
2050,"MS","Black Mass",0,"US-South"
2050,"MS","Refining",0,"US-South"
2050,"MT","LIB Demand",0.0380798620880922,"US-Mountain"
2050,"MT","Pack Manufacturing",0,"US-Mountain"
2050,"MT","Cell Manufacturing",0,"US-Mountain"
2050,"MT","End of Life Batteries",0.0209754094249697,"US-Mountain"
2050,"MT","Black Mass",0,"US-Mountain"
2050,"MT","Refining",0,"US-Mountain"
2050,"NB","LIB Demand",0.0438119780905046,"Canada-East"
2050,"NB","Pack Manufacturing",0,"Canada-East"
2050,"NB","Cell Manufacturing",0,"Canada-East"
2050,"NB","End of Life Batteries",0.0274027710921777,"Canada-East"
2050,"NB","Black Mass",0,"Canada-East"
2050,"NB","Refining",0,"Canada-East"
2050,"NC","LIB Demand",0.38255949234865,"US-East"
2050,"NC","Pack Manufacturing",0.752976725488535,"US-East"
2050,"NC","Cell Manufacturing",0.272519324747868,"US-East"
2050,"NC","End of Life Batteries",0.21375695225142,"US-East"
2050,"NC","Black Mass",0.038,"US-East"
2050,"NC","Refining",0.028504625929,"US-East"
2050,"ND","LIB Demand",0.0364674023790629,"US-Midwest"
2050,"ND","Pack Manufacturing",0,"US-Midwest"
2050,"ND","Cell Manufacturing",0,"US-Midwest"
2050,"ND","End of Life Batteries",0.018911065606144,"US-Midwest"
2050,"ND","Black Mass",0,"US-Midwest"
2050,"ND","Refining",0,"US-Midwest"
2050,"NE","LIB Demand",0.0711851816583128,"US-Midwest"
2050,"NE","Pack Manufacturing",0,"US-Midwest"
2050,"NE","Cell Manufacturing",0,"US-Midwest"
2050,"NE","End of Life Batteries",0.0403419009337393,"US-Midwest"
2050,"NE","Black Mass",0,"US-Midwest"
2050,"NE","Refining",0,"US-Midwest"
2050,"NH","LIB Demand",0.0510288209320319,"US-East"
2050,"NH","Pack Manufacturing",0.000109667452008234,"US-East"
2050,"NH","Cell Manufacturing",0,"US-East"
2050,"NH","End of Life Batteries",0.0300746856890148,"US-East"
2050,"NH","Black Mass",0,"US-East"
2050,"NH","Refining",0,"US-East"
2050,"NJ","LIB Demand",0.422133752063098,"US-East"
2050,"NJ","Pack Manufacturing",0,"US-East"
2050,"NJ","Cell Manufacturing",0,"US-East"
2050,"NJ","End of Life Batteries",0.270500611513913,"US-East"
2050,"NJ","Black Mass",5e-04,"US-East"
2050,"NJ","Refining",5e-04,"US-East"
2050,"NL","LIB Demand",0.0244769343747173,"Canada-East"
2050,"NL","Pack Manufacturing",0,"Canada-East"
2050,"NL","Cell Manufacturing",0,"Canada-East"
2050,"NL","End of Life Batteries",0.0160925903158002,"Canada-East"
2050,"NL","Black Mass",0,"Canada-East"
