"Year","State_Province","Mineral","Demanded Minerals (kg)","Demand Minerals (Tonne)","Scenario","Country"
2026,"AB","Cobalt",445118.250364414,445.118250364414,"Decreasing Batt Cap - High LFP Chemistry","CA"
2026,"AB","Copper",2151261.41936451,2151.26141936451,"Decreasing Batt Cap - High LFP Chemistry","CA"
2026,"AB","Graphite",4660197.40347829,4660.19740347829,"Decreasing Batt Cap - High LFP Chemistry","CA"
2026,"AB","Lithium",500960.603639733,500.960603639733,"Decreasing Batt Cap - High LFP Chemistry","CA"
2026,"AB","Manganese",228772.85803338,228.77285803338,"Decreasing Batt Cap - High LFP Chemistry","CA"
2026,"AB","Nickel",2151594.58207516,2151.59458207516,"Decreasing Batt Cap - High LFP Chemistry","CA"
2026,"AK","Cobalt",26939.2432438506,26.9392432438506,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"AK","Copper",178272.878271821,178.272878271821,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"AK","Graphite",369687.859754281,369.687859754281,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"AK","Lithium",38482.9940547921,38.4829940547921,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"AK","Manganese",14382.8056347262,14.3828056347262,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"AK","Nickel",134244.778400853,134.244778400853,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"AL","Cobalt",204410.098467615,204.410098467615,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"AL","Copper",1314590.43280474,1314.59043280474,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"AL","Graphite",2735643.07856019,2735.64307856019,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"AL","Lithium",285529.86773552,285.52986773552,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"AL","Manganese",108708.320004338,108.708320004338,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"AL","Nickel",1015432.67463805,1015.43267463805,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"AR","Cobalt",107930.749552064,107.930749552064,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"AR","Copper",719837.772693288,719.837772693288,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"AR","Graphite",1491338.70493037,1491.33870493037,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"AR","Lithium",155130.572124132,155.130572124132,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"AR","Manganese",57686.5257754698,57.6865257754698,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"AR","Nickel",538313.848913623,538.313848913623,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"AZ","Cobalt",329111.286203957,329.111286203957,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"AZ","Copper",2060077.19797594,2060.07719797594,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"AZ","Graphite",4301556.85679607,4301.55685679607,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"AZ","Lithium",450126.380454623,450.126380454623,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"AZ","Manganese",174395.190074632,174.395190074632,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"AZ","Nickel",1630170.05586163,1630.17005586163,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"BC","Cobalt",376899.178982266,376.899178982266,"Decreasing Batt Cap - High LFP Chemistry","CA"
2026,"BC","Copper",1859077.5168509,1859.0775168509,"Decreasing Batt Cap - High LFP Chemistry","CA"
2026,"BC","Graphite",4014374.65606409,4014.37465606409,"Decreasing Batt Cap - High LFP Chemistry","CA"
2026,"BC","Lithium",430554.646833485,430.554646833485,"Decreasing Batt Cap - High LFP Chemistry","CA"
2026,"BC","Manganese",194130.189336524,194.130189336524,"Decreasing Batt Cap - High LFP Chemistry","CA"
2026,"BC","Nickel",1824982.77586181,1824.98277586181,"Decreasing Batt Cap - High LFP Chemistry","CA"
2026,"CA","Cobalt",4290333.61923016,4290.33361923016,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"CA","Copper",22543244.7935378,22543.2447935378,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"CA","Graphite",48214132.0151038,48214.1320151038,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"CA","Lithium",5135613.14318641,5135.61314318641,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"CA","Manganese",2225258.73837797,2225.25873837797,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"CA","Nickel",20889886.8964762,20889.8868964762,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"CO","Cobalt",680442.132982128,680.442132982128,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"CO","Copper",3552912.38334603,3552.91238334603,"Decreasing Batt Cap - High LFP Chemistry","US"
