"Year","State_Province","Mineral","Available Recycled Minerals (w Scrap) (Tonne)","Available Recycled Minerals No R Restraint (Tonne)","Minerals Recoverable in Exported Scrap/Batts (Tonne)","Minerals Recoverable in Exported BM (Tonne)","Minerals Lost to Pyrometalurgy (Tonne)","Scrap_min","Batt_min","Battery_Scenario","Chemistry_Scenario","Scenario","Country"
2025,"AB","Cobalt",0.446947645818341,0.446947645818341,0,0,0,0.0141576444915308,0.43279000132681,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","CA"
2025,"AB","Copper",1.53172770211849,1.61682368556952,0,0,0.0850959834510272,0.0349744967488428,1.58184918882068,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","CA"
2025,"AB","Graphite",0,3.34364083732561,0,0,3.34364083732561,0,3.34364083732561,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","CA"
2025,"AB","Lithium",0,0.338944075270201,0,0,0.338944075270201,0.00882404562559042,0.33012002964461,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","CA"
2025,"AB","Manganese",0,0.211109842452468,0,0,0.211109842452468,0.0131201831018811,0.197989659350587,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","CA"
2025,"AB","Nickel",1.9127855352673,1.9127855352673,0,0,0,0.0581428504646009,1.8546426848027,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","CA"
2025,"AK","Cobalt",0.167729283618359,0.167729283618359,0,0,0,0.0141576444915308,0.153571639126829,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","US"
2025,"AK","Copper",0.395467419187431,0.417437831364511,0,0,0.0219704121770795,0.0349744967488428,0.382463334615668,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","US"
2025,"AK","Graphite",0,0.877534802080874,0,0,0.877534802080874,0,0.877534802080874,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","US"
2025,"AK","Lithium",0,0.100385502060437,0,0,0.100385502060437,0.00882404562559042,0.0915614564348463,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","US"
