"Year","Mineral","Total_Minerals_Exported","Scenario"
2035,"Cobalt",997.16286530728,"Decreasing Batt Cap - Benchmark Chemistry"
2035,"Copper",6589.66629678945,"Decreasing Batt Cap - Benchmark Chemistry"
2035,"Graphite",13004.0722808944,"Decreasing Batt Cap - Benchmark Chemistry"
2035,"Lithium",1203.90799556868,"Decreasing Batt Cap - Benchmark Chemistry"
2035,"Manganese",451.230202554744,"Decreasing Batt Cap - Benchmark Chemistry"
2035,"Nickel",5142.79922936052,"Decreasing Batt Cap - Benchmark Chemistry"
2035,"Cobalt",991.628806623932,"Decreasing Batt Cap - High LFP Chemistry"
2035,"Copper",6723.01556051134,"Decreasing Batt Cap - High LFP Chemistry"
2035,"Graphite",13218.958327007,"Decreasing Batt Cap - High LFP Chemistry"
2035,"Lithium",1220.93849223154,"Decreasing Batt Cap - High LFP Chemistry"
2035,"Manganese",446.336286244053,"Decreasing Batt Cap - High LFP Chemistry"
2035,"Nickel",5113.72115041506,"Decreasing Batt Cap - High LFP Chemistry"
2035,"Cobalt",1970.02955459998,"Increasing Batt Cap - Benchmark Chemistry"
2035,"Copper",12795.7452168931,"Increasing Batt Cap - Benchmark Chemistry"
2035,"Graphite",25315.5399988308,"Increasing Batt Cap - Benchmark Chemistry"
2035,"Lithium",2347.42153660199,"Increasing Batt Cap - Benchmark Chemistry"
2035,"Manganese",902.119042602174,"Increasing Batt Cap - Benchmark Chemistry"
2035,"Nickel",10160.7086328047,"Increasing Batt Cap - Benchmark Chemistry"
2035,"Cobalt",1934.91572343673,"Increasing Batt Cap - High LFP Chemistry"
2035,"Copper",12988.4709095245,"Increasing Batt Cap - High LFP Chemistry"
2035,"Graphite",25574.5814008428,"Increasing Batt Cap - High LFP Chemistry"
2035,"Lithium",2364.24424313775,"Increasing Batt Cap - High LFP Chemistry"
2035,"Manganese",880.161051403462,"Increasing Batt Cap - High LFP Chemistry"
2035,"Nickel",9976.69375468872,"Increasing Batt Cap - High LFP Chemistry"
2036,"Cobalt",3390.62198716877,"Decreasing Batt Cap - Benchmark Chemistry"
2036,"Copper",22627.5953614106,"Decreasing Batt Cap - Benchmark Chemistry"
2036,"Graphite",44703.5057348993,"Decreasing Batt Cap - Benchmark Chemistry"
2036,"Lithium",4135.41851396689,"Decreasing Batt Cap - Benchmark Chemistry"
2036,"Manganese",1589.35258692541,"Decreasing Batt Cap - Benchmark Chemistry"
2036,"Nickel",17757.2815963754,"Decreasing Batt Cap - Benchmark Chemistry"
2036,"Cobalt",3322.86750214479,"Decreasing Batt Cap - High LFP Chemistry"
2036,"Copper",22869.4182593345,"Decreasing Batt Cap - High LFP Chemistry"
2036,"Graphite",44984.7459193702,"Decreasing Batt Cap - High LFP Chemistry"
2036,"Lithium",4149.8367462048,"Decreasing Batt Cap - High LFP Chemistry"
2036,"Manganese",1549.16603215208,"Decreasing Batt Cap - High LFP Chemistry"
2036,"Nickel",17405.3508944065,"Decreasing Batt Cap - High LFP Chemistry"
2036,"Cobalt",4528.80702645423,"Increasing Batt Cap - Benchmark Chemistry"
2036,"Copper",29596.8821940894,"Increasing Batt Cap - Benchmark Chemistry"
2036,"Graphite",58647.8737516995,"Increasing Batt Cap - Benchmark Chemistry"
2036,"Lithium",5435.73454891275,"Increasing Batt Cap - Benchmark Chemistry"
2036,"Manganese",2148.26536532133,"Increasing Batt Cap - Benchmark Chemistry"
2036,"Nickel",23704.1530534618,"Increasing Batt Cap - Benchmark Chemistry"
2036,"Cobalt",4403.23532578194,"Increasing Batt Cap - High LFP Chemistry"
2036,"Copper",29943.1108609313,"Increasing Batt Cap - High LFP Chemistry"
2036,"Graphite",58994.5638932648,"Increasing Batt Cap - High LFP Chemistry"
2036,"Lithium",5448.01105940843,"Increasing Batt Cap - High LFP Chemistry"
2036,"Manganese",2074.61636297291,"Increasing Batt Cap - High LFP Chemistry"
2036,"Nickel",23046.5046848945,"Increasing Batt Cap - High LFP Chemistry"
2037,"Cobalt",6221.56879950567,"Decreasing Batt Cap - Benchmark Chemistry"
2037,"Copper",41967.76665059,"Decreasing Batt Cap - Benchmark Chemistry"
2037,"Graphite",82952.7910454782,"Decreasing Batt Cap - Benchmark Chemistry"
2037,"Lithium",7666.8948783033,"Decreasing Batt Cap - Benchmark Chemistry"
2037,"Manganese",2995.14771665202,"Decreasing Batt Cap - Benchmark Chemistry"
2037,"Nickel",32991.4262126891,"Decreasing Batt Cap - Benchmark Chemistry"
2037,"Cobalt",6051.45489777826,"Decreasing Batt Cap - High LFP Chemistry"
2037,"Copper",42380.0538613855,"Decreasing Batt Cap - High LFP Chemistry"
2037,"Graphite",83328.3250603435,"Decreasing Batt Cap - High LFP Chemistry"
2037,"Lithium",7675.77062656443,"Decreasing Batt Cap - High LFP Chemistry"
2037,"Manganese",2896.6121023552,"Decreasing Batt Cap - High LFP Chemistry"
2037,"Nickel",32105.0146208156,"Decreasing Batt Cap - High LFP Chemistry"
2037,"Cobalt",7637.20772988344,"Increasing Batt Cap - Benchmark Chemistry"
2037,"Copper",50216.5414504346,"Increasing Batt Cap - Benchmark Chemistry"
2037,"Graphite",99613.0082447046,"Increasing Batt Cap - Benchmark Chemistry"
2037,"Lithium",9227.98045665049,"Increasing Batt Cap - Benchmark Chemistry"
2037,"Manganese",3722.10447603987,"Increasing Batt Cap - Benchmark Chemistry"
2037,"Nickel",40445.0378497898,"Increasing Batt Cap - Benchmark Chemistry"
2037,"Cobalt",7362.78670276749,"Increasing Batt Cap - High LFP Chemistry"
2037,"Copper",50805.1235237625,"Increasing Batt Cap - High LFP Chemistry"
2037,"Graphite",100084.687116653,"Increasing Batt Cap - High LFP Chemistry"
2037,"Lithium",9231.16341447391,"Increasing Batt Cap - High LFP Chemistry"
2037,"Manganese",3563.00218859858,"Increasing Batt Cap - High LFP Chemistry"
2037,"Nickel",39003.2591037021,"Increasing Batt Cap - High LFP Chemistry"
2038,"Cobalt",10198.4666610702,"Decreasing Batt Cap - Benchmark Chemistry"
2038,"Copper",68463.253093259,"Decreasing Batt Cap - Benchmark Chemistry"
2038,"Graphite",135479.3498371,"Decreasing Batt Cap - Benchmark Chemistry"
2038,"Lithium",12526.4420777472,"Decreasing Batt Cap - Benchmark Chemistry"
2038,"Manganese",5016.96421378352,"Decreasing Batt Cap - Benchmark Chemistry"
2038,"Nickel",54196.9391057791,"Decreasing Batt Cap - Benchmark Chemistry"
2038,"Cobalt",9859.04530447503,"Decreasing Batt Cap - High LFP Chemistry"
2038,"Copper",69140.3612984862,"Decreasing Batt Cap - High LFP Chemistry"
2038,"Graphite",135979.550137235,"Decreasing Batt Cap - High LFP Chemistry"
2038,"Lithium",12523.5347213908,"Decreasing Batt Cap - High LFP Chemistry"
2038,"Manganese",4821.52636071724,"Decreasing Batt Cap - High LFP Chemistry"
2038,"Nickel",52420.671583336,"Decreasing Batt Cap - High LFP Chemistry"
2038,"Cobalt",12118.2412500081,"Increasing Batt Cap - Benchmark Chemistry"
2038,"Copper",78951.1064088964,"Increasing Batt Cap - Benchmark Chemistry"
2038,"Graphite",156890.049736811,"Increasing Batt Cap - Benchmark Chemistry"
2038,"Lithium",14545.5372962717,"Increasing Batt Cap - Benchmark Chemistry"
2038,"Manganese",6035.23808197625,"Increasing Batt Cap - Benchmark Chemistry"
2038,"Nickel",64291.1468445639,"Increasing Batt Cap - Benchmark Chemistry"
2038,"Cobalt",11599.4599018926,"Increasing Batt Cap - High LFP Chemistry"
2038,"Copper",79917.5959527015,"Increasing Batt Cap - High LFP Chemistry"
2038,"Graphite",157529.984889318,"Increasing Batt Cap - High LFP Chemistry"
2038,"Lithium",14530.7009494958,"Increasing Batt Cap - High LFP Chemistry"
2038,"Manganese",5735.27008707605,"Increasing Batt Cap - High LFP Chemistry"
2038,"Nickel",61554.1492847041,"Increasing Batt Cap - High LFP Chemistry"
2039,"Cobalt",13984.8293432322,"Decreasing Batt Cap - Benchmark Chemistry"
2039,"Copper",95928.2306262722,"Decreasing Batt Cap - Benchmark Chemistry"
2039,"Graphite",189269.559066136,"Decreasing Batt Cap - Benchmark Chemistry"
2039,"Lithium",17463.9949044906,"Decreasing Batt Cap - Benchmark Chemistry"
2039,"Manganese",7131.13561544796,"Decreasing Batt Cap - Benchmark Chemistry"
2039,"Nickel",74282.7471978058,"Decreasing Batt Cap - Benchmark Chemistry"
2039,"Cobalt",13361.1118472885,"Decreasing Batt Cap - High LFP Chemistry"
2039,"Copper",97054.1055887095,"Decreasing Batt Cap - High LFP Chemistry"
2039,"Graphite",189989.649705236,"Decreasing Batt Cap - High LFP Chemistry"
2039,"Lithium",17442.2097431235,"Decreasing Batt Cap - High LFP Chemistry"
2039,"Manganese",6774.58788299173,"Decreasing Batt Cap - High LFP Chemistry"
2039,"Nickel",71020.9078932451,"Decreasing Batt Cap - High LFP Chemistry"
2039,"Cobalt",16698.3190886462,"Increasing Batt Cap - Benchmark Chemistry"
2039,"Copper",110090.94185993,"Increasing Batt Cap - Benchmark Chemistry"
2039,"Graphite",218404.216777806,"Increasing Batt Cap - Benchmark Chemistry"
2039,"Lithium",20224.2873678601,"Increasing Batt Cap - Benchmark Chemistry"
2039,"Manganese",8611.16683736919,"Increasing Batt Cap - Benchmark Chemistry"
2039,"Nickel",88510.8233983015,"Increasing Batt Cap - Benchmark Chemistry"
2039,"Cobalt",15772.3447517448,"Increasing Batt Cap - High LFP Chemistry"
2039,"Copper",111687.68449391,"Increasing Batt Cap - High LFP Chemistry"
2039,"Graphite",219329.646203258,"Increasing Batt Cap - High LFP Chemistry"
2039,"Lithium",20179.8891238924,"Increasing Batt Cap - High LFP Chemistry"
2039,"Manganese",8078.36928781744,"Increasing Batt Cap - High LFP Chemistry"
2039,"Nickel",83625.5767715914,"Increasing Batt Cap - High LFP Chemistry"
2040,"Cobalt",18076.8358918946,"Decreasing Batt Cap - Benchmark Chemistry"
2040,"Copper",126395.714397445,"Decreasing Batt Cap - Benchmark Chemistry"
2040,"Graphite",248764.934907278,"Decreasing Batt Cap - Benchmark Chemistry"
2040,"Lithium",22912.0004823596,"Decreasing Batt Cap - Benchmark Chemistry"
2040,"Manganese",9550.73433129373,"Decreasing Batt Cap - Benchmark Chemistry"
2040,"Nickel",96017.0155275741,"Decreasing Batt Cap - Benchmark Chemistry"
2040,"Cobalt",16982.5638321079,"Decreasing Batt Cap - High LFP Chemistry"
2040,"Copper",128250.165706931,"Decreasing Batt Cap - High LFP Chemistry"
2040,"Graphite",249826.534153874,"Decreasing Batt Cap - High LFP Chemistry"
2040,"Lithium",22857.1331996352,"Decreasing Batt Cap - High LFP Chemistry"
2040,"Manganese",8927.81991786367,"Decreasing Batt Cap - High LFP Chemistry"
2040,"Nickel",90300.3238896789,"Decreasing Batt Cap - High LFP Chemistry"
2040,"Cobalt",21999.1848521406,"Increasing Batt Cap - Benchmark Chemistry"
2040,"Copper",146063.340301469,"Increasing Batt Cap - Benchmark Chemistry"
2040,"Graphite",289518.835280467,"Increasing Batt Cap - Benchmark Chemistry"
2040,"Lithium",26789.3715226998,"Increasing Batt Cap - Benchmark Chemistry"
2040,"Manganese",11731.8479408405,"Increasing Batt Cap - Benchmark Chemistry"
2040,"Nickel",116570.387444674,"Increasing Batt Cap - Benchmark Chemistry"
2040,"Cobalt",20402.9192149871,"Increasing Batt Cap - High LFP Chemistry"
