"Year","State_Province","Tonnes_Scrap_proj_down","Tonnes_Scrap_15_down","Tonnes_Prod_proj_down","Tonnes_Prod_15_down","Tonnes_Scrap_proj_mid","Tonnes_Scrap_15_mid","Tonnes_Prod_proj_mid","Tonnes_Prod_15_mid"
2025,"AL",7020.5733439846,7020.5733439846,133390.893535707,133390.893535707,0,0,0,0
2026,"AL",7020.5733439846,7020.5733439846,133390.893535707,133390.893535707,0,0,0,0
2027,"AL",7020.5733439846,7020.5733439846,133390.893535707,133390.893535707,0,0,0,0
2028,"AL",7020.5733439846,7020.5733439846,133390.893535707,133390.893535707,0,0,0,0
2029,"AL",7020.5733439846,7020.5733439846,133390.893535707,133390.893535707,0,0,0,0
2030,"AL",7020.57334398461,7020.57334398461,133390.893535707,133390.893535707,0,0,0,0
2031,"AL",7020.57334398461,7020.57334398461,133390.893535707,133390.893535707,0,0,0,0
2032,"AL",7957.25129336958,7020.57334398461,153927.786516241,133390.893535707,0,0,0,0
2033,"AL",8878.54854361188,7020.57334398461,181397.142543554,133390.893535707,0,0,0,0
2034,"AL",9506.04975421023,7564.49967569168,206496.259102198,144593.421520707,0,0,0,0
2035,"AL",10024.4281371029,8176.56013060812,233145.67342168,159683.984936948,0,0,0,0
2036,"AL",10221.6318686425,8446.22031797826,245183.117695603,167380.317372897,0,0,0,0
2037,"AL",10396.369084513,8684.99420840246,256937.638828509,174842.026073691,0,0,0,0
2038,"AL",10555.6049788239,8903.62443472685,268675.755343844,182282.529461756,0,0,0,0
2039,"AL",10706.7079023008,9111.68086994725,280851.025219632,189976.071659395,0,0,0,0
2040,"AL",10855.9394099113,9327.29359698562,294009.296643977,198665.62097116,0,0,0,0
2041,"AL",10916.3235152739,9410.0472566416,299690.734397406,202215.600285355,0,0,0,0
2042,"AL",11001.5399575096,9520.39044556808,308092.669391306,207151.30417863,0,0,0,0
2043,"AL",11083.2191951476,9627.32070373815,316600.239106524,212169.7943763,0,0,0,0
2044,"AL",11159.3771685876,9726.92457244736,324967.192965528,217068.228387634,0,0,0,0
2045,"AL",11225.5737299174,9812.92494682105,332607.453416891,221483.311145545,0,0,0,0
2046,"AL",11284.2789828042,9889.36349340468,339690.058297891,225561.043917974,0,0,0,0
2047,"AL",11335.2258281661,9957.02892080862,346085.713517586,229298.126272727,0,0,0,0
2048,"AL",11382.4689865181,10024.0935144553,352235.455608603,233126.252264139,0,0,0,0
2049,"AL",11420.2069050494,10077.9906794848,357307.160427708,236296.665960722,0,0,0,0
2050,"AL",11453.487541135,10130.0452945698,361902.591627173,239441.645022942,0,0,0,0
2025,"AZ",1914.70182108671,1914.70182108671,36379.3346006475,36379.3346006475,0,0,0,0
2026,"AZ",1930.65766959577,1930.65766959577,36682.4957223196,36682.4957223196,0,0,0,0
2027,"AZ",4270.8487842573,4270.8487842573,81146.1269008887,81146.1269008887,11878.7221336364,11878.7221336364,95565.8934675568,95565.8934675568
2028,"AZ",4270.8487842573,4270.8487842573,81146.1269008887,81146.1269008887,13059.7328606196,11276.3552307087,116006.793934709,97280.0132042063
2029,"AZ",4270.8487842573,4270.8487842573,81146.1269008887,81146.1269008887,15493.5799167422,15493.5799167422,137614.997314958,137614.997314958
2030,"AZ",4270.8487842573,4270.8487842573,81146.1269008887,81146.1269008887,15984.6588175407,14472.1405411133,154816.703367393,138636.436690587
2031,"AZ",4270.8487842573,4270.8487842573,81146.1269008887,81146.1269008887,16666.2864889835,13450.7011654843,183534.449963644,139657.876066216
2032,"AZ",4840.6612034665,4270.8487842573,93639.4034640469,81146.1269008887,16665.6389153518,13745.6987098198,213421.781421006,157344.335082776
2033,"AZ",5401.11703069722,4270.8487842573,110349.928380662,81146.1269008887,17447.6580558399,14766.2728133865,251320.381485594,180257.551895287
2034,"AZ",5782.84693381122,4601.73730271243,125618.557620504,87960.9980917637,17798.8868507957,15298.2248818247,285911.063661117,200201.49093803
2035,"AZ",6098.19378340427,4974.07407945327,141830.284664855,97141.0908366433,18466.5436483096,16086.5415568643,322809.370812812,221095.617816365
2036,"AZ",6218.15938675753,5138.11736010344,149153.063264825,101823.026401846,18720.5365156872,16433.856304273,339476.202992157,231751.823418437
2037,"AZ",6324.45785974539,5283.37147677816,156303.730287343,106362.232528162,18945.5931418982,16741.3903687164,355751.304800528,242083.173151594
2038,"AZ",6421.3263621179,5416.3715311255,163444.417834172,110888.538755901,19150.684501325,17022.9799595726,372003.693065909,252385.162384255
2039,"AZ",6513.24730723299,5542.93919588458,170851.040341943,115568.776926132,19345.3008227476,17290.9508044721,388861.356132943,263037.504671773
2040,"AZ",6604.02980769605,5674.10360483292,178855.655458419,120854.919424122,19537.5068130965,17568.6539410002,407080.06573685,275068.900771947
